0;Думаю, ты можешь рассказать мне о том, что творится вокруг планеты.;;
;Ты про блокаду?;1;
1;Про что же еще? У нас полностью блокирована возможность запуска в космос — они все перехватывают, досматривают и спускают вниз. Кто они? Какого черта?;;
;Это борки. Борки в большинстве своем очень агрессивные и не очень умные.;2;
2;А от нас-то им чего надо?;;
;Они хотят грабить корабли клисков, но основные торговые точки уже заняты. И вот — они тут.;3;bork_blockade.communicated
;А черт их знает. Грабить, небось, хотят. Надо связаться и выяснить.;4;!bork_blockade.communicated
3;А ничего, что эти клиски — кто бы они ни были — с нами вообще пока не торгуют?;;
;Я же сказал. Борки не очень умные. ;4;
4;В общем, не мне тебе говорить, что с этим делать. Их тут быть не должно.;;
;Мои полномочия?;5;
5;Какие угодно. Но учти, полномасштабное фаер-шоу на близкой к Земле орбите ввергнет население в панику. А оно нам надо?;;
;Я постараюсь обойтись без этого, но обещать не буду. Ладно, мне пора идти.;-1;
