0;*в кабинет заходит Генри. Он, как обычно, холоден и спокоен, в его руках небольшой планшет* Капитан. Разрешите доложить?;
;Давай без подобного официоза, Лишкевич. Мы не в армии.;1
1;Я это обязательно учту. У нас возникла небольшая проблема: Земля находится в блокаде.;
;Что?!;2
2;Земля находится в блокаде. *Генри спокойно показывает планшет* Вот. Семь кораблей находятся на орбите планеты и, исходя из расчетов аналитического отдела, находятся они там с целью блокирования космических полётов в околоземном пространстве.;
;Что… Откуда… Так, степень опасности? Что они делают, кроме того, что просто торчат на орбите?;3
3;Опасность неизвестна, нам такой тип кораблей незнаком. Но, судя по их линейным размерам и активности бортовых систем, ничего особо серьёзного из себя они не представляют. Их действия нам тоже непонятны - они лишь осмотрели один спутник, причём по завершении осмотра вернули его на место.;
;Хм… Странно. Есть какие-нибудь предложения?;4
4;Я уже санкционировал активацию боевых систем - нужно только навестись и отдать приказ. Однако,я считаю что с этим торопиться не стоит, пострелять мы всегда успеем. Я бы посоветовал попытаться решить все мирным путём, капитан.;
;Что же, я приму твои слова к сведению, но, на всякий случай, будьте готовы к небольшой встряске. Спасибо за доклад, Генри.;-1
