0;Думаю, ты модешь рассказать мне о том, что творится вокруг планеты.;
;Ты про блокаду?;1
1;Про что же еще? У нас полностью блокирована возможность запуска в космос - они все перехватывают, досматривают, и спускают вниз. Кто они? Какого черта?;
;Это борки. Борки - в большинстве своем очень агрессивные, и не очень умные. Вот эти хотят грабить корабли клисков, но основные торговые точки уже заняты. И вот - они тут.;2
2;А ничего, что эти - кто бы они ни были - клиски, с нами вообще пока не торгуют?;
;Я же сказал. Борки - не очень умные. ;3
3;В общем, не мне тебе говорить, что с этим делать. Их тут быть не должно.;
;Мои полномочия?;4
4;Какие угодно. Но учти, полномасштабное файер-шоу на близкой к Земле орбите, ввергнет население в панику. А оно нам надо?;
;Я постараюсь, но обещать не буду. Ладно. Мне пора идти.;-1
