0;*первые несколько секунд связи заняты странной мелодией. Потом звучит голос клиска, металлический и безжизненный* Вас приветствует торговый бот компании "Хаказар". "Хаказар" - будь впереди! Рад вас приветствовать. Список товаров будет предоставлен по требованию. Прошу формулировать фразы проще и как можно короче для лучшей их обработки искусственным интеллектом.;;;
;Значит это ты забиваешь все линии связи?;1;;
1;*писк* Стандартное рекламное оповещение с определенной частотой транслируется по всем возможным каналам.;;;
;Ну надо же, буду знать. Ладно, конец связи.;-1;;
;Это оповещение можно отменить?;3;;
3;*писк* Отмена рекламного оповещения не входит в стандартный функционал торгового бота.;;;
;Ну тогда возможно вернуть бот назад?;4;;
4;Возвращение на товарный склад невозможно до полной продажи всех пробников.;;;
;Но их никто не купит, эта планета еще недостаточно развита.;5;;
5;*писк. Долгий писк.* Запрос не понят.;;;
;Здесь твой товар не купят, у покупателей нет кредитов.;6;;
6;"*снова долгий писк* Запрос не понят. В случае если переформулировка невозможна, обратитесь к ближайшему к вам представителю компании "Хаказар".;;;
;У меня нет на это времени. Я буду вынужден атаковать.;7;;
;"К представителю компании "Хаказар"?.. Хорошо. Где мне его найти?";8;;
;Все пробники?.. Сколько они стоят?;10;;
7;Бот оборудован системами защиты. Продвинутый искусственный интеллект способен вести бой на уровне опытного капитана.;;;
;Да-да-да, иди к черту, железяка. *переключить линию* Лишкевич, энергию на орудия.;-1;;
;Хей, нет, такое меня не устраивает. Это шутка была.;6;;
8;Этот торговый бот не располагает такой информацией.;;;
;А кто располагает?;9;;
9;"Запрос не понят. В случае если переформулировка невозможна, обратитесь к ближайшему к вам представителю компании "Хаказар".";;;
;Знакомой бюрократией повеяло, прямо как дома оказался. Конец связи, черт возьми.;-1;;
;Хей, но тогда как я его должен искать?;6;;
10;В случае оптовой закупки цена за все пробники составит десять кредитов. ;;;
;Покупаю.;-1;credits>9;1
;А скидку сделать никак?;6;;
;С этим придется погодить, но я еще вернусь. Конец связи.;-1;;
