0;"Конечно, мне есть что сказать. Подожди минутку. *Мартан выкладывает на стол мобильник и рацию. Через пару минут все они начинают трезвонить, а рация помигивает огоньком. Мартан включает все их разом, и из всех них слышится непонятная речь сопровождаемая музыкой. Явно слышатся слова ""купить"" и ""скидка"". Судя по всему, язык клисков."". И как тебе?";;
;Я даже не знаю, что и сказать.;1;
1;Еще бы. *Мартан отключает приборы* И так уже неделю. Раз в два часа. По всему миру, и на всем, что хотя бы отдаленно является средством голосовой связи. Причина, как мы выяснили, летает на орбите Земли, и штука это инопланетная. Тебе что-нибудь об этом известно?;;
;Да. Мне сразу показалось, что просто так это дело не закончится.;2;klisk_trader_drone.communicated
;К сожалению, нет.;5;
2;И что же это? ;;
;Ты будешь смеяться, но это - торговый бот народа клисков.;3;
3;Тогда, смею предположить, что связь он нам забивает рекламой. Это было бы весело в другой ситуации.;;
;Что, вообще ничего не помогает?;4;
4;А ты как думаешь? Надо что-то делать.;;
;И делать это придется мне.;6;
5;В таком случае, спешу обрадовать - тебе нужно будет узнать. И что-то с этой штукой сделать.;;
;Ты меня совсем не удивил.;6;
6;Конечно. Сразу скажу - поторопись! Не буду говорить, что это настолько прямо важно, но мешает очень сильно.;;
;Мои полномочия?;7;
7;Как обычно - полный карт-бланш. Если прижмет - то можешь уничтожить объект, но мне кажется, что это чревато. Поэтому постарайся решить все миром.;;
;Тут уж как выйдет. Вижу, что у тебя все. Мне пора идти.;-1;
