0;*No matter how much of a hero and a celebrity you are, you can't get through to Martan. How does it feel, waiting in line for the first time in years? Admit it, it feels peculiar. Finally, you are let through. Martan is already waiting. As always, he's wearing his shirt and vest, without a jacket. As always, he smells of the same cologne. If it wasn't for the wrinkles and some more gray in his hair, it's as if he hasn't changed at all, as if the years never happened.* There you are. *Martan extends his hand.* If someone else had gone instead, we'd be worried by now. But you were handling the Aurora. Everybody knew you'd be back.;;;;
;How could I not? *shake his hand*;1;;;
1;*Martan sits in his chair.* Exactly. The space explorer's burden, how could you not have it? Huh? Okay. I understand it you're done with your objectives. Report.;;;;
;I delivered Josepf to the Unity station and talked to every ambassador.;2;!reply_unity_used;;reply_unity_used
;About the colony?;12;!reply_colony_used;;reply_colony_used
;That's it.;29;reply_colony_used && reply_unity_used;;
2;And?;;;;
;And what? It all started with an ambassador conference, they even called me there. And there was a Gardener there, too. Not personally, of course. But it wasn't a direct connection either. He sent over a recording.;3;;;
3;*Martan listens to your tale attentively. It turns out very long, you can't just summarize it. Sometimes he interrupts you.* So they allowed us to have our little fisticuffs and promised not to involve themselves? Very noble. I'm sure that if we begin to win, they'll start to help the Zorsan. And if they start to win, they'll help us... great. What happened next? *And he listens to you again. All you have left to do is tell him. By the end you're surprised, since Martan doesn't seem fazed at all by what the Gardener did. Martan nods and reclines in his chair, stretching his neck in side-to-side movements.*;;;;
;Don't you get it? It turns out he knew what we were going to say! He just sent over a recording he had made earlier!;4;;;
4;So what? *Your boss looks at you lazily and sceptically.* First, it could have been a montage of some sort, have you thought about it? Second, even if the Gardener can really... *Martan squints, annoyed, and wiggles his fingers in the air* SEE THE FUTURE, then he hasn't used it to help us or anybody else yet. That's not what we should be thinking about right now. What about the ambassadors?;;;;
;I talked to the Klisk ambassador. He offered a shady job, I refused.;5;!reply_klisk_pirate_used && klisk_pirate.quest_result=rejected;;reply_klisk_pirate_used
;I talked to the Klisk ambassador. And I accepted a certain job.;6;!reply_klisk_pirate_used && klisk_pirate.started;;reply_klisk_pirate_used
;Talking to the Bork ambassador wasn't bad.;7;!reply_bork_used;;reply_bork_used
;They didn't let me through to the Zorsan ambassador.;8;!reply_zorsan_used && unity_zorsan_ambassador_visited;;reply_zorsan_used
