0;*На вызов долго не отвечают. Потом, всё-таки… Эй, это ребёнок! Маленькая девочка сидит на стуле так, что видно только верхнюю часть её головы. Интересно, как она смогла дотянуться и принять вызов?* Это кто?! *Говорит девочка излишне громко, с надрывом.*;;
;Ты Джоди, ведь так? Где твоя мама? Это капитан корабля.;1;;0;;
1;Мамы нету, дядя капитан! Она отошла, я захотела шоколадку и она пошла за шоколадкой! Она скоро будет!! *Девочка подпрыгивает и на долю секунды её лицо появляется в кадре целиком.* Дядя капитан, а хотите я вам на гитаре поиграю?! Хотите?! *Не дожидаясь ответа, она отбегает куда-то за пределы кадра и тут же возвращается назад. Она снова устраивается на стуле так, что её почти не видно. Зато видно верхнюю часть грифа гитары. Девочка, еле дотягиваясь до колков, подкручивает их и начинает играть. Композиция кажется грустной.*;;
;Хм… Удивительно неплохо. Действительно. Что это за музыка?;2;;0;;
2;*Девочка хочет ответить, но не успевает - слышно, как открывается дверь. Женский голос.* Джоди! Ты что делаешь? *Девочка спрыгивает и убегает.* Капитан позвонил, мама, я ответила, я ответила!! *Дальнейший разговор расслышать невозможно, но уже через несколько секунд к камере подходит мать девочки.* Капитан, добрый день. Извините - меня не было, а Джоди, как оказалось, умеет пользоваться вашей техникой... *Женщина усмехается.*;;
;Всё в порядке. Очень милый ребёнок. И даже неплохо играет на гитаре.;3;;0;;
3;Спасибо, капитан. Да, вот уж что она действительно любит, так это играть на своей гитаре. Даже с собой её взяла… А вы что хотели, капитан?;;
;Как протекает полёт? Всё в порядке?;4;;0;;
;Как вам Аврора-2?;8;;0;;
;Не скучаете по Земле?;15;;0;;
;Ваша дочь действительно хорошо играет на гитаре. Правда, мелодия детской не кажется.;20;;0;;
;Ладно. Я надеюсь, вам понравится полёт. Приятного отдыха, мэм.;21;;0;;
4;Удивительно, но это переносится проще, чем полёт на самолёте. *Женщина поворачивает голову в сторону иллюминатора.* Хотя как-то неловко понимать, что открытый космос совсем рядом.  Долго ещё лететь?;;
;Не очень, мэм. В "Единстве" мы уже были, так что… летим в колонию.;5;Видна, если игрок выполнил первый квест с "Единством";0;;
;На самом деле да. Сперва нам нужно доставить посла Земли на инопланетную станцию "Единство".;6;Видна, если квест "Единство" ещё в процессе выполнения;0;;
8;Очень большой корабль! *На заднем фоне проходит девочка, сосредоточенно кусающая плитку твёрдого корабельного шоколада.* Знаете, он размером с тот район, в котором я жива. Район из металла и пластика, словно бункер какой-то! Иногда это очень непривычно. И как вы тут живёте?;;
;Да, весь этот металл, за которым только космос и больше ничего, иногда очень напрягает, но куда денешься?;9;;0;;
;Никогда не воспринимал это в таком духе. Знаете, пожалуй, я привык. Этот корабль - мой дом.;10;;0;;
