0;*Теперь понятно, почему связист колонии говорил ориентироваться по радиобуйку. Кто там говорил про песчаную бурю, которая кончится через полчаса? Она ещё не кончилась, а лишь ослабла, шаттл трясёт из стороны в сторону. Иногда из кабины пилотов слышны взрявкивания системы экстренного оповещения. Даже представлять не хочется каково сейчас женщине и ребёнку. Выглядят они неважно, но вроде бы держатся.*;sandstorm_dialog;;;
;*подбодрить женщину и её дочь*;1;;0;
;*выглянуть в окно*;2;;0;
;*терпеть и ждать посадки*;3;;0;
1;*Говорить нет смысла - слишком неудобно. Ты улыбаешься и с несколько виноватым видом пожимаешь плечами. Женщина улыбается в ответ и крепче прижимает девочку к себе.*;sandstorm_dialog;;;
;*выглянуть в окно*;2;;0;
;*терпеть и ждать посадки*;3;;0;
2;*Ничего не видно, кроме слабого света сигнальных огней астропорта. Свистит ветер, песчинки бьются об обшивку шаттла.*;sandstorm_dialog;;;
;*подбодрить женщину и её дочь*;1;;0;
;*терпеть и ждать посадки*;3;;0;
3;*Шаттл мотает туда и сюда ещё почти двадцать минут, прежде чем наконец ему удаётся приземлиться. Когда он касается посадочного места и замирает, к нему сразу подбегают люди в закрытых защитных костюмах, которые фиксируют крылья шаттла и некоторые места его корпуса магнитными якорями. Какой же силы тут бывают бури, если колонистам приходится прибегать к таким мерам?.. Пилот кричит из кабины:* Капитан, они послали к нам транспорт! Через минуту будет!;sandstorm_dialog;;;
;Мы приземлились. Готовимся к выходу.;4;;0;
4;*Сквозь свист ветра совершенно не слышен шум подъехавшей машины. Лишь только пара гудков сигнала даёт понять, что можно выходить. К машине, которая оказалась военным бронетранспортёром с демонтированными системами вооружения, приходится бежать: слишком сильный ветер, слишком больно песчинки бьют по коже. Когда вы все: ты, пилоты, женщина с девочкой, забираетесь в транспортёр, он начинает двигаться. Человек, встречающий вас, снимает со своего закрытого защитного костюма каску, а затем защитную маску.* Капитан, рад приветствовать. Меня зовут Мэтью.  Извините, что вот так - у нас тут сейчас осень, циклон на циклоне. *Затем обращается к женщине.* Син? И, я так полагаю, Джоди? *Женщина кивает, девочка молчит.* Сейчас мы приедем и Рич встретит вас лично. Он просил его извинить - важное совещание. *Бронетранспортер заводится и начинает ехать.*;;;;
;Кто вы такой?;5;;0;
;Почему нам дали добро на полёт в такую бурю?;6;;0;
;С нашим шаттлом точно ничего не случится?;7;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;Надо же. Бронетранспортёр.;10;;0;
;*осмотреться*;11;;0;
;*посмотреть в окно*;12;;0;
;Скоро там уже?;13;;0;
5;Я кто-то типа секретаря мистера Рича. *Человек улыбается и перчаткой утирает пот со лба.*;;;;
;Почему нам дали добро на полёт в такую бурю?;6;;0;
;С нашим шаттлом точно ничего не случится?;7;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;Надо же. Бронетранспортёр.;10;;0;
;*осмотреться*;11;;0;
;*посмотреть в окно*;12;;0;
;Скоро там уже?;13;;0;
6;Это ещё что, сэр, она ещё более  менее ослабла. Полчаса назад я не мог выйти из здания - меня бы подхватило и унесло! *Мэтью похохатывает.* И я сейчас серьёзно, сэр. У нас полгода назад унесло солдата в полном боевом снаряжении, подняло на один километр вверх, а потом ветер утих и он упал вниз. Простите, конечно, что я это всё при девочке, мэм, но-о-о... *Он пожимает плечами.*;;;;
;Кто вы такой?;5;;0;
;С нашим шаттлом точно ничего не случится?;7;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;Надо же. Бронетранспортёр.;10;;0;
;*осмотреться*;11;;0;
;*посмотреть в окно*;12;;0;
;Скоро там уже?;13;;0;
7;Его зафиксировали - значит не должно. Земная техника выдерживает здешние бури. Наши магнитные якоря тоже. Впрочем, должен предупредить, если ветер достигнет показателя супершторма, то наши якоря всё равно выдержат, но вашему шаттлу оторвёт крылья и нос. Но не беспокойтесь. Супершторма у нас бывают нечасто. Последний был три года назад, но тогда у нас были землетрясения, ужасное времечко, скажу я вам!;;;;
;Кто вы такой?;5;;0;
;Почему нам дали добро на полёт в такую бурю?;6;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;Надо же. Бронетранспортёр.;10;;0;
;*осмотреться*;11;;0;
;*посмотреть в окно*;12;;0;
;Скоро там уже?;13;;0;
8;Да, это ведь именно вы нашли эту планету и помогли основать колонию, капитан. *Мэтью улыбается. Становится видно, что у него выбиты несколько зубов.* Скажу я вам - уж могли бы найти планету поспокойнее, ха-ха-ха! *Он жизнерадостно хохочет, но тут же становится серьёзным.* Впрочем, в каждой шутке есть доля правды. Поначалу было очень тяжело. Агрессивная флора, фауна, ещё эта погода... да вы и сами видите. Но мы привыкли. Спасибо поставкам с Земли и тем инопланетянам, с которыми мы торгуем.;;;;
;Вы торгуете с инопланетянами?;9;;0;
10;У нас есть подходящий легковой транспорт. Но в песчаную бурю лучше ехать на этой штуке. *Мэтью стучит ладонью по стенке.* Уж поверьте моему опыту, сэр.;;;;
;Кто вы такой?;5;;0;
;Почему нам дали добро на полёт в такую бурю?;6;;0;
;С нашим шаттлом точно ничего не случится?;7;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;*осмотреться*;11;;0;
;*посмотреть в окно*;12;;0;
;Скоро там уже?;13;;0;
11;*Обычный земной колёсный бронетранспортёр. Старый образец, странно, что в колонии до сих пор такие используются. Похоже, что внутрь поставили только более мягкие сиденья, в остальном убранство ничем не отличается от стандартного образца. Аскетично.*;;;;
;Кто вы такой?;5;;0;
;Почему нам дали добро на полёт в такую бурю?;6;;0;
;С нашим шаттлом точно ничего не случится?;7;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;Надо же. Бронетранспортёр.;10;;0;
;*посмотреть в окно*;12;;0;
;Скоро там уже?;13;;0;
12;*Сквозь забранные укреплённым стеклом окна можно увидеть приземистые толстостенные дома с плоскими крышами, какие-то горящие огоньки, твёрдое покрытие дорог… больше ничего. Ветер всё ещё слишком силён.*;;;;
;Кто вы такой?;5;;0;
;Почему нам дали добро на полёт в такую бурю?;6;;0;
;С нашим шаттлом точно ничего не случится?;7;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;Надо же. Бронетранспортёр.;10;;0;
;*осмотреться*;11;;0;
;Скоро там уже?;13;;0;
13;Почти, сэр. *Мэтью указывает в окно пальцем.* Видите эти красные с зелёным огни? Это наша ратуша. Мистер Рич приказал сразу доставить вас сюда. Он очень хочет увидеть семью. И поговорить с вами, конечно же.;;;;
;Сразу к делам? Внушает уважение.;14;;0;
9;А что делать - приходится! Если мы будем ждать, пока нам привезут оружие или оборудование с Земли - не будет у вас больше колонии!;;;;
;Кто вы такой?;5;;0;
;Почему нам дали добро на полёт в такую бурю?;6;;0;
;С нашим шаттлом точно ничего не случится?;7;;0;
;Я давно не был в колонии… Как вы тут вообще? Что изменилось за эти пять лет?;8;colony_established;0;
;Надо же. Бронетранспортёр.;10;;0;
;*осмотреться*;11;;0;
;*посмотреть в окно*;12;;0;
;Скоро там уже?;13;;0;
14;*Проехав через блокпост, бронетраспортёр мягко замедляет ход и останавливается прямо перед входом в ратушу. Мэтью снова натягивает на себя маску, открывает дверь бронетранспортёра и бежит к дверям ратуши.  Открыв одну из них так, чтобы она давала какой-то заслон от ветра, он машет вам рукой. Что поделаешь - придётся бежать!*;;;;
;*внутрь*;15;;0;
15;*Песок с вас так и сыплется. Лучше всего пилотам шаттла - они в своих шлемофонах, им удобно. А вот тебе потом придётся вымывать песок из ушей… впрочем, сейчас не до этого. Ратуша.*;;;;
;Куда теперь, Мэтью?;18;;0;
;*осмотреться*;16;;0;
18;*Мэтью не успевает ответить.* Пока что никуда, капитан! Син! Джоди! *На лестнице стоит плотный, но стройный чернокожий мужчина пожилых лет. Девочка вскрикивает и бросается к нему. Мужчина подхватывает её и крепко прижимает к себе.* Дочка, гоподи… Син, иди же сюда! *Его жена не двигается с места. По щекам у неё текут слёзы. Мужчина подходит к ней и обнимает. Затем опускает девочку на пол, подходит ближе.* Капитан... надеюсь, вы меня помните. Уж я-то вас помню - это точно.;colony_leader_dialog;;;
;Конечно, я вас помню. Мы общались на Земле.;19;;0;
;"Конечно. Вы раньше служили на ""Авроре-2"".";19;;0;
;Конечно, я помню. Я привёз вас сюда.;20;;0;metropole_burden.knowledge_proof
16;"*Стандартная приёмная стандартного правительственного здания мелкого пошибка. Серые стены, дешёвый ворсистый ковёр на полу, охрана у входа. Глаз абсолютно ни за что не цепляется, настолько всё сухо и безлико. Мебель, рабочий стол секретарей на ресепшене, да и сами секретари, всё словно взято из типового набора ""Тут-тебе-не-рады-4000"". Впрочем, охрана. Что-то в них не так...*";;;;
;Куда теперь, Мэтью?;18;;0;
;*охрана*;17;;0;
19;Вы меня с кем-то путаете... всё в порядке. У вас множество забот, тут немудрено забыть чьё-то имя. *Мужчина дежурно улыбается.* Я -  Рич Донахью, здешний управляющий секретарь. Вы привезли меня сюда… Капитан, изначально я хотел, чтобы встреча наша прошла сразу после вашего прилёта. Но сейчас… я не могу. Мне нужно время, чтобы побыть с семьёй. Согласитесь ли вы перенести наш разговор на завтрашнее утро? Я знаю, что он очень важен, но...;colony_leader_dialog;;;
;Конечно. Я понимаю. Вы и ваши родные слишком давно не виделись.;22;;0;
;Чем раньше мы начнём - тем скорее закончим, не так ли?.;21;;0;
20;Надо же, вы меня помните! *Мужчина довольно улыбается.* Но вот моё имя вы назвать не сможете, и не спорьте - нас с вами не представляли. Я - Рич Донахью, управляющий секретарь. И… капитан, я надеюсь, что вы поймёте… Я хотел провести нашу с вами деловую встречу сразу же после вашего прилёта, но... *Теперь он улыбается виновато.* Син... Джоди... Я так давно их не видел... Согласитесь ли вы перенести разговор на завтрашнее утро?;colony_leader_dialog;;;
;Конечно. Я понимаю. Вы и ваши родные слишком давно не виделись.;22;;0;
;Чем раньше мы начнём - тем скорее закончим, не так ли?.;21;;0;
17;*Один из охранников в своём тяжёлом защитном костюме выглядит абсолютно нормально: кевлар с металлическими нашлёпками, какой-то борковский лучемёт в руках. У другого… у него нет шлема. Голову лысого молодого парня пересекает ужасный шрам, который пульсирует невероятным, невозможным для человека сосудом. Этот сосуд светится, он большой - если присмотреться можно увидеть мелькающие в нём твёрдые частички чего-то и прожилки... аугментация! Солдат, недовольно щурится. Внимание ему неприятно.*;colony_stukov_dialog;;;
;Куда теперь, Мэтью?;18;;0;
