0;*Now you see why the colony's radio operator told you to go by the radio beacon. What was he saying about the sandstorm that would be over in half an hour? It's not over yet, it just let up a little. The shuttle is getting rattled side to side. Sometimes you hear you can hear the urgent alarm system barking something in the cockpit. You don't even want to imagine how the woman and the child are feeling. They don't look so hot, but they seem to be holding on.*;;;;
;*comfort the woman and her daughter*;1;;0;
;*look out the window*;2;;0;
;*bear through it and wait for the landing*;3;;0;
1;*There's no point in talking, it's too hard to do. You smile and shrug looking somewhat guilty. The woman smiles back and holds the girl tighter.*;;;;
;*look out the window*;2;;0;
;*bear through it and wait for the landing*;3;;0;
2;*You can't see anything except the weakly glowing airport lights. The wind is howling, sand drums on the hull of the shuttle.*;;;;
;*comfort the woman and her daughter*;1;;0;
;*bear through it and wait for the landing*;3;;0;
3;*The shuttle gets thrown around for almost twenty more minutes before it finally manages to land. As soon as it touches the landing pad and stops moving, people wearing anti-exposure suits run up to it, lock in the shuttle's wings and some parts of its hull with magnet anchors. How strong do these storms get if the colonists have to use measures like these? The pilot yells out from the cockpit.* Captain, they've sent a transport for us! It'll be here in a minute!;;;;
;We've landed. Get ready to exit.;4;;0;
4;*Through the howl the of the wind, you can't hear the noise from the car that just arrived. Only a couple of honks make you realize it's time for you to get out. The car turns out to be a military armored transport with the weapon systems taken off, and you have to run towards it: the wind is too strong, the sand whips you in the face too hard. When everybody is in -- you, the pilots, the woman with the girl -- the transport starts to move. The man meeting you takes off first his protection suit's helmet, then the mask.* Glad to meet you, Captain. My name is Matthew. Sorry about all this, it's fall, we're having one cyclone after another. *Then he turns to the woman.* Sinn? And Jodie, I suppose? *The woman nods, the girl keeps silent.* We're about to get there and Rich will meet you personally. He said he was sorry, he had an important meeting. *The transport starts and begins moving.*      ;;;;
;Who are you?;5;;0;
;Why was our request to land approved in such a storm?;6;;0;
;Are you sure nothing is going to happen to our shuttle?;7;;0;
;I haven't been to the colony in a long time… How are you doing? What's changed in these five years?;8;;0;
;Wow. An armored transport.;10;;0;
;*look around*;11;;0;
;*look out the window*;12;;0;
;We almost there?;13;;0;
5;I'm something like Mr Rich's secretary. *The man smiles and wipes the sweat off his forehead with a glove.*;;;;
;Why was our request to land approved in such a storm?;6;;0;
