0;*На следующий день, руководствуясь каким-то врождённым чутьём, ты поднимаешься достаточно рано для того, чтобы успеть привести себя в порядок. Ты еле успел - Мэтью уже стучится в двери, остаётся лишь его впустить.* Капитан, доброе утро! А я уж думал, что мне придётся вас будить.;;;;
;Ни в коем разе, Мэтью.;3;;0;
;Ошиблись, мистер Виллкс.;1;metropole_burden.matthew_surname;0;metropole_burden.matthew_surname_reply
3;Отлично. В таком случае двинемся, капитан. Рич ждёт.;;;;
;Надеюсь, он приятно провёл время со своей семьёй.;4;;0;
;Ну и комната у вас тут, конечно. Если это вы считаете люксом, то где же ночевали мои люди?;5;;0;
;Буря прошла?;6;;0;
;Да, я понимаю. Давайте не будем задерживаться.;7;;0;
1;А разве я вам называл свою фамилию? *Мэтью щурится.* Наверняка такое было… Да. Это неважно, капитан. Пройдёмте, Рич ждёт.;;;;
;А что не так с фамилией?;2;;0;
;Надеюсь, он приятно провёл время со своей семьёй.;4;;0;
;Ну и комната у вас тут, конечно. Если это вы считаете люксом, то где же ночевали мои люди?;5;;0;
;Буря прошла?;6;;0;
;Да, я понимаю. Давайте не будем задерживаться.;7;;0;
4;Да, он очень по ним скучал. Теперь ему будет гораздо радостнее жить.;;;;
;Ну и комната у вас тут, конечно. Если это вы считаете люксом, то где же ночевали мои люди?;5;;0;
;Буря прошла?;6;;0;
;Да, я понимаю. Давайте не будем задерживаться.;7;;0;
5;А что, на Авроре с этим получше? *Мэтью улыбается так, словно сказал лучшую шутку на свете.* Уж простите, капитан - так уж мы тут живём. А ваши люди ночевали в казарме. Вроде бы они были довольны.;;;;
;Надеюсь, он приятно провёл время со своей семьёй.;4;;0;
;Буря прошла?;6;;0;
;Да, я понимаю. Давайте не будем задерживаться.;7;;0;
6;А вы что, не видели окно? Нет, не прошла, но она порядочно утихла. Теперь там просто сильный ветер. И песок.;;;;
;Надеюсь, он приятно провёл время со своей семьёй.;4;;0;
;Ну и комната у вас тут, конечно. Если это вы считаете люксом, то где же ночевали мои люди?;5;;0;
;Да, я понимаю. Давайте не будем задерживаться.;7;;0;
7;"Как скажете, капитан. *Мэтью быстро проводит тебя на второй этаж ратуши, прямо к кабинету с табличкой ""Рич Донахью - управляющий секретарь"".* Вам сюда, капитан. Вы уж там помягче с нашем Ричем. *Мэтью улыбается.*";;;;
;Уж постараюсь, Мэтью. *войти*;8;;0;
2;Хоть у нас здесь и пять тысяч с лишком населения, но это же немного. Многие друг друга знают настолько хорошо, что привыкли обходиться без фамилий. Я постоянно забываю представляться полностью… а с вами, оказывается, не забыл. *Мэтью улыбается.* Я исправляюсь!;;;;
;Надеюсь, он приятно провёл время со своей семьёй.;4;;0;
;Ну и комната у вас тут, конечно. Если это вы считаете люксом, то где же ночевали мои люди?;5;;0;
;Буря прошла?;6;;0;
;Да, я понимаю. Давайте не будем задерживаться.;7;;0;
8;*Что же, вот и кабинет. Рич Донахью встаёт из-за своего стола и приветствует тебя.* Капитан! Рад вас видеть. Надеюсь, ночь прошла хорошо? Впрочем, зачем я вас спрашиваю об этом? Я же знаю, что нет! *Рич похохатывает, легко шлёпая ладонью о стол.* Обстановка у нас тут не самая лучшая, капитан. *Даже мимолётного взора хватает, чтобы понять - кабинет Донахью безвкусен и провинциален. Типовая мебель, типовое декарирование, типовое... абсолютно всё. Даже массивный деревянный стол в этом окружении выглядит совсем не величественно, а скорее нелепо. Полуповёрнутая фотография семьи, так, чтобы видно было и сидящему за столом, и посетителю, не выглядит мило. Странное зрелище.* Так что же, капитан... говорите.;colony_leader_dialog;;;
;Как встреча с семьёй, Рич?;9;;0;
;Вы знаете зачем я сюда прибыл.;10;;0;
9;Превосходно… *Он мягко улыбается, глядя на семейную фотографию чуть-чуть осоловелым взглядом. Это продлилось всего лишь пару секунд. Вот, он снова смотрит пристально и твёрдо.* Кстати, спасибо вам, что согласились повременить с разговором. Это было очень важно для меня. Время, когда можно хотя бы немного забыть обо всём... *Он покачивает головой.*;colony_leader_dialog;;;
;Вы знаете зачем я сюда прибыл.;10;;0;
10;"Да-да… *Донахью отвлекает звук уведомления на его планшете. Мельком окинув взглядом экран, управляющий секретарь отодвигает планшет в сторону. Наверное что-то неважное.* Сначала они пытались меня просить, потом они пытались на меня давить… а теперь послали вас. И мою семью. Знаете, я очень боялся, что они будут давить через неё, но... Наверное в ""Авроре"" посчитали, что если прилетите лично вы, капитан, с моей семьёй впридачу, то я... *Рич Донахью морщится.* ...размякну... да... и соглашусь это подписать?";colony_leader_dialog;;;
;"Это нужно не ""Авроре"", это нужно Земле, Рич. Я не понимаю ваших мотивов.";-1;metropole_burden.documents_readed;1;
;Рич, признаться честно - мне всё равно, вот уж извините. Вы должны подписать эти документы потому что так велит наше с вами общее начальство.;-1;metropole_burden.documents_readed;2;
;К стыду своему… Я не читал документов. О чём идёт речь?;-1;!metropole_burden.documents_readed;3;
