0;*Рич хмурится и качает головой, теперь уже раздражённо.* Слушайте, я понимаю, что вам глубоко плевать, но могли уж сделать вид, что не настолько! Документы, касаются регулировки торговых отношений нашей колонии с инопланетянами, налогов, которыми облагаются коммерсанты нашей колонии, и торговых пошлин - это только малая часть! Хотите знать моё мнение? Земля нас душит! А вы ей в этом помогаете, и даже не знаете об этом! Героический поступок! *Он выглядит злым. Но не настолько, чтобы его нельзя было уговорить, хотя это и будет нелегко. К некоторым встречам лучше готовиться заранее...*;;;;
;Торговые отношения колонии с инопланетянами, Рич. Что с ними не так?;-1;;1;
;Налоги. Вас не устраивают налоги? Они всех не устраивают.;4;;;
;Пошлины. Вы считаете, что они слишком велики?;12;;;
1;"Капитан, будем честны? ни одно из требований ""Авроры"" не нужно непосредственно Земле. Но нужно самой ""Авроре"". Не надо пудрить мне мозги, пожалуйста. *Рич откидывается на спину своего кресла.* Я изучил документы, посланные вами, хотя мог не изучать - всё то же самое. Строгая регуляция торговли для колониальных коммерсантов, увеличение налогов и пошлин... и это далеко не всё. Я не буду это подписывать. *Он выглядит серьёзным, немного усталым и раздражённым, но не закрытым. Его всё ещё можно уговорить, если хорошо постараться.*";;;;
;Торговые отношения колонии с инопланетянами, Рич. Что с ними не так?;-1;;1;
;Налоги. Вас не устраивают налоги? Они всех не устраивают.;4;;;
;Пошлины. Вы считаете, что они слишком велики?;12;;;
2;Уважаю вашу серьёзную и честную позицию, капитан. Нет, серьёзно? *Рич кивает и трёт ладони друг о друга.* Это куда лучше всех этих унылых попыток давления сентиментами. Но тогда вы поймёте меня. Капитан, я не могу подписать эти документы. Я не могу испортить наши отношения с инопланетянами, они и так шаткие. Я не могу снова изменить налоги и пошлины для колониальных коммерсантов... и всё остальное тоже... нет, капитан. Извините. *Рич кивает и откидывается на спинку кресла. Он выглядит довольным собой, но... кажется, он немного обескуражен твоей прямотой. Что же, тем лучше. Можно попытаться его уговорить.*;;;;
;Торговые отношения колонии с инопланетянами, Рич. Что с ними не так?;-1;;1;
;Налоги. Вас не устраивают налоги? Они всех не устраивают.;4;;;
;Пошлины. Вы считаете, что они слишком велики?;12;;;
3;*Рич молча смотрит на тебя. Разговор ещё не окончен.*;;;;
;Торговые отношения колонии с инопланетянами, Рич. Что с ними не так?;-1;!metropole_burden.embargo_signed;1;
;Налоги. Вас не устраивают налоги? Они всех не устраивают.;4;!metropole_burden.taxes_signed;;
;Пошлины. Вы считаете, что они слишком велики?;12;!metropole_burden.dues_signed;;
;Что ещё не так? Вы не закончили.;19;metropole_burden.taxes_signed && metropole_burden.dues_signed && metropole_burden.embargo_signed;;
4;"Земных коммерсантов с ""Авроры"" они устраивают. *Рич говорит очень вкрадчиво.* А знаете почему? Потому что налоги с них почти не взымаются.";;;;
;Это ещё почему?;5;;;
