0;Что же? *Усталый, Рич, тем не менее, выглядит довольным разговором.* Это был непростой разговор. Я не ожидал такого от вас? я вас недооценил, капитан! И всё же, я рад, что мы пришли к согласию, к компромиссу.;
;Я тоже этому рад.;3
1;*Рич облегчённо выдыхает - разговор его порядочно утомил. Он утирает пот со лба и говорит ворчливо.* А вам палец в рот не клади, капитан, да? Всё-таки порой вы слишком сильно давили? но, я понимаю - так уж вам приказали на Земле. Разговор закончен и в какой-то мере мы пришли к компромиссу. Я рад.;
;Я тоже этому рад.;3
2;К чему мы пришли? *Рич едко и грустно усмехается.* К тому, что это было попусту потраченное время, капитан. Вы зря сюда прилетели. Я зря с вами говорил.;
;Мне жаль.;3
3;*С делами покончено. Прощание занимает гораздо меньше времени, чем приветствие. Рич услужливо провожает тебя до выхода из кабинета и жмёт руку, добавляя в самый последний момент.* Несмотря на то, что мы уладили все наши дела, вам придётся остаться здесь до вечера - поучаствовать со мной в пресс-конференции. Колонистам будет приятно посмотреть на вас, капитан. Всё-таки вы герой.;
;Как же я тогда могу отказаться?;4
4;Вот и отлично. *Рич улыбается.* Не представляю, что сделали бы со мной мои люди, если бы узнали, что на пресс-конференцию вы не придёте! *Он похохатывает.* Вас проводят до комнаты, в которой вы ночевали. Надеюсь, вы успеете отдохнуть. *Рич кивает и закрывает дверь кабинета.*;
;Я тоже на это надеюсь. Это был непростой разговор.;-1
