0;*И каково это было? Интересно, те, кто занимаются этим постоянно, точно так же себя ощущают?*;;;
;Бремя героя. Вот оно какое, значит.;1;;0
1;*Стоило только выйти назад, в общую залу, и взглянуть на космос через ее прозрачный верх… Стало ли немного полегче?*;;;
;Пожалуй.;2;;0
2;*Вроде бы все дела сделаны. Можно улетать, путь до Земли неблизкий.*;;;
;Стоило бы навестить Джозефа. После всех этих разговоров с послами, нам найдется что обсудить.;3;;0
;Вот и все. Cras ingens interabimus aequor! Хотя, говоря «завтра», я имею в виду «сейчас».;-1;;0
3;*Посольство Земли охраняют, что вполне закономерно, земляне. Два дюжих охранника стоят на входе и выглядят немного смущенными таким количеством инопланетян вокруг. Один из них замечает тебя и совсем уж вытягивается в струнку, хотя, казалось бы, куда уж больше?* Капитан! Рады приветствовать!;etf_cap_3_dialog;;
;*молча кивнуть и зайти в посольство*;4;;0
;Откуда вы? Как служится на новом месте?;5;;0
4;*Внутри немного пустовато — посетители еще не успели заполонить посольство. Отличная возможность осмотреться… Что же, неизвестный архитектор явно попытался стилизовать эту секцию «под Землю», и результаты оказались своеобазными. При общей темно-фиолетовой гамме (немного давит на глаза) и отсутствии круглой общей залы, которая есть во всех остальных посольствах, у земного посольства есть одна особенная черта: земные растения. Некоторые участки стен буквально увиты плющом! Смотрится необычно, но скорее красиво, чем нет. Дверь в кабинет посла видна сразу. Перед ней за небольшим столом сидит секретарь, она что-то делает с планшетом.*;;;
;*осмотреться*;6;;0
;*к послу*;7;;0
5;*Отвечает тот, что поприветствовал тебя, — азиат с резкими чертами лица и узкой челюстью.* Мы оба из «Авроры», капитан! С «Вояджера»! *он стреляет глазами из стороны в сторону* Много инопланетян, но все в порядке! Мы привыкли! *его напарник, голубоглазый брюнет, кивает, добавляя* Нас к этому готовили. Вы к послу, капитан?;etf_cap_3_dialog;;
;*молча кивнуть и зайти в посольство*;4;;0
6;*Все-таки тут не на что смотреть. Земное посольство выглядит не так торжественно и внушительно, как остальные: скорее уж более деловито и сухо. Может, в этом и был замысел архитектора?*;;;
;*к послу*;7;;0
7;Вам к… ох! Это вы! Капитан, посол приказал пустить вас сразу, как только вы придете! *секретарь ослепительно улыбается и нажимает на кнопку коммуникатора* К вам капитан «Авроры-2»… уже заходит.;etf_cap_3_dialog;;
;*зайти*;8;;0
8;*Внутри — все те же фиолетовые тона, только теперь щедро разбавленные темно-зелеными. Словно бы мягкая ночь опустилась на луг.* Капитан? Вы засмотрелись? *Джозеф сидит за громоздким столом из резного дерева и с любопытством смотрит на тебя*;earth_diplomat_dialog;;
;Извините, Джозеф. Тут очень необычный вид. Да, я засмотрелся.;9;;0
9;Ничего страшного. *Джозеф кивает и откидывается на спинку своего кресла* Я тоже долго привыкал… до сих пор не привык. Рад, что вы зашли ко мне. Я знаю, что вы заходили к послам бродяг, борков и клисков. Нам есть что обсудить.;earth_diplomat_dialog;;
;Посол клисков дал мне кое-какое задание…;10;klisk_pirate.started;0
;Посол борков, знаете, такой старый, битый жизнью ветеран. Мы говорили о многом. Даже о нашей колонии.;11;;0
;Посольство бродяг очень необычное. Вы же знаете, что Фиршэ — не посол?..;12;unity_zorsan_ambassador_visited;0
;Я пытался зайти к зорсанам. Меня не пустили.;13;unity_zorsan_ambassador_visited;0
;Интересно, как все-таки садовники сделали свою запись?;14;;0
;Я зашел попрощаться. Мне пора улетать.;15;;0
10;Да-да? *Джозеф внимательно выслушивает твой рассказ о разговоре с послом клисков* Надо же. Знаете, капитан… пахнет это все очень нехорошо. *посол Земли загибает пальцы на руке по одному* Если его предложение серьезно, значит оно негласно санкционировано правительством клисков, и это не так хорошо, как может показаться. Вы-то свои обязательства можете выполнить, а вот выполнят ли они свои? Они-то смогут давить на вас. А сможете ли вы давить на них?;earth_diplomat_dialog;;
;Это было первое. А что дальше?;16;;0
