0;*Хоть ты и давно уже не был на космических станциях инопланетян, но все равно понятно: «Единство» не похожа ни на одну из них. Даже в оформлении: в росписи стен, в подобранных красках, в цвете ламп… Все смотрится гармонично не только для людей. Инопланетян, буквально толпящихся вокруг, ничуть не смущает оформление. Шумно. Даже толкотня.* Капитан! *Джозеф немного смущен* Похоже, что вон тот борк двигается именно к нам. *И правда. Борк в униформе, которую носят здешние служащие, приближается к вам и козыряет.* Капитан людей. Господин представитель. Мне приказано сопроводить вас. Позвольте.;;;;
;Вы кто? Сопроводить куда?;1;;0;
;Ведите.;2;;0;
1;Майор Хры Окрарр. *борк кивает головой и скалит зубы* Скоро начнется совещание, на котором вам необходимо присутствовать. Не хотите же вы идти вместе со всеми через досмотровый пункт? *Хры красноречиво указывает лапой на длинную очередь инопланетян, стоящих перед досмотровой пристройкой. Что-то типа таможни, наверное.*;;;;
;Ведите.;2;;0;
2;*Борк проводит вас по особому коридору для дипломатических персон. Пройдя, вы оказываетесь в большой зале со стеклянным потолком, через который видно сияние звезды этой системы.* Это — центр станции, господа. *борк говорит во время ходьбы* Отсюда проще всего попасть в любую часть станции. Мы следуем в дипломатический корпус, вход куда, конечно, ограничен.;;;;
;А какие еще корпуса есть на станции?;3;;0;
;Красиво. Я могу осмотреться?;4;;0;
;*молча идти дальше, желая поскорее прийти на совещание*;5;;0;
3;Только служебные: жилые — для проживания персонала, технические, военные… По сути, «Единство» была задумана как место, где могут спокойно встретиться и обсудить дела политики любого из народов, без опасений за себя.;;;;
;Красиво. Я могу осмотреться?;4;;0;
;*молча идти дальше, желая поскорее прийти на совещание*;5;;0;
4;*Хры остановился и раздумывает* Вполне. Некоторое время у вас еще есть. Кажется, два часа… Вы ведь так называете эти промежутки, да? Если хотите, можете остаться и осмотреть станцию. После подойдите к любому служащему, он проводит вас в дипломатический корпус. *Джозеф смотрит на тебя немного обиженно. Кажется, ему неприятно оставаться одному в окружении инопланетян.*;;;;
;А какие еще корпуса есть на станции?;3;;0;
;Конечно. Идите без меня, я хочу осмотреться.;6;;0;unity_look_around
;Нет, я просто спросил. Идем дальше. Поскорее бы прийти.;5;;0;
5;*Майор проводит вас в корпус станции, который не принадлежит ни одному из посольств. Кажется, что его отделка даже закончена не до конца, настолько он новый. В остальном он ничем не отличается от остальных помещений. Идете вы быстро, поэтому уже через пару минут оказываетесь перед нужной дверью. Майор входит первым.*;;;
;[ДАЛЕЕ];7;;0
6;*Хры кивает. Они с Джозефом быстро уходят. Ты остаешься один.*;interior_dialog;;
;*осмотреться вокруг*;8;;0
7;*Зал внутри маленький. Можно даже сказать, что компактный. За круглым столом, что расположен перед большим, прямо-таки огромным экраном пока никто не сидит, хотя все вроде бы в сборе: инопланетяне аккуратно скучковались в комнате и пока что общаются неформально. Несмотря на то, что Джозеф слегка не в своей тарелке, тем не менее он очень быстро вливается в общение, разговорившись с послом бродяг о религии — того очень интересует этот вопрос. Остальные инопланетяне не так общительны. Посол зорсан стоит в стороне, в своем черном балахоне похожий на какого-то культиста. Посол борков разговаривает с каким-то своим сородичем. От расслабленного лицезрения тебя отвлекает вопрос посла бродяг.* Я пытался прочесть, но мало что понял. К примеру, «берешит». Что это?;rogues_dialog;;
;Берешит? «В начале». Иврит.;9;;0
;*дать ответить Джозефу*;10;;0
8;*Большая, очень большая зала, размером в несколько этажей: если поднять голову, можно увидеть сверху любопытные лица, глядящие вниз. Всюду снуют инопланетяне, поднимаясь или опускаясь на лифтах. В центре — стеклянный (вроде бы) памятник, высотой вплоть до прозрачного потолка, через который видно звезду местной системы. Из залы ведут несколько дверей.*;interior_dialog;;
;*инопланетяне*;11;;0
;*памятник*;12;;0
;*верхние этажи*;13;;0
;*нижние этажи*;14;;0
;*прозрачный потолок*;15;;0
;*выходы из залы*;16;;0
;Мне пора идти. Совещание не ждет.;17;;0
9;Капитан ответил верно. *Джозеф кивает* Так начинается книга Бытия. А что вы не поняли? *посол бродяг улыбается и отвечает* «В начале сотворил Бог небо и землю». Если был Бог, то какое же это «начало»? «Начало» должно начинаться от того момента, как появился Бог, не правда ли?;rogues_dialog;;
;В этом есть своя логика. Тем не менее, речь о разных категориях. Согласно канонам этой религии, Бог не принадлежит к категории предметов, которые создаются и появляются. Он просто есть. В это, по крайней мере, верят приверженцы христианства.;18;;0
;*дать ответить Джозефу*;19;;0
10;*Джозеф пространно рассказывает о начале книги Бытия.* А что вы не поняли, господин посол? *Посол бродяг улыбается и отвечает.* «В начале сотворил Бог небо и землю». Если был Бог, то какое же это «начало»? «Начало» должно начинаться от того момента, как появился Бог, не правда ли?;rogues_dialog;;
;В этом есть своя логика. Тем не менее, речь о разных категориях. Согласно канонам этой религии, Бог не принадлежит к категории предметов, которые создаются и появляются. Он просто есть. В это, по крайней мере, верят приверженцы христианства.;18;;0
;*дать ответить Джозефу*;19;;0
11;*Больше всего бродяг и борков. Оно и понятно — обслуживающий и охранный персонал. Однако других инопланетян тоже немало: клиски лениво планируют на гравиплатформах, есть и зорсаны. Группа плотных особей в черных балахонах неприязненно реагирует на твой взгляд. Неужели узнали? Отрывисто переговариваясь, они удаляются через один из проходов.*;zorsan_rebel_dialog;;
;*памятник*;12;;0
;*верхние этажи*;13;;0
;*нижние этажи*;14;;0
;*прозрачный потолок*;15;;0
;*выходы из залы*;16;;0
;Мне пора идти. Совещание не ждет.;17;;0
12;*Ты подходишь к памятнику. Вокруг него установлены местные подобия лавочек: можно присесть и расслабиться. Вблизи видно, что в действительности никакое это не стекло: пять длинных прозрачных столбов, сходящихся ближе к середине и вплотную идущих вплоть до потолка, состоят из непонятного минерала. Внутри него можно разглядеть какие-то кусочки, крошки, даже маленьких насекомых. А еще этот минерал слабенько светится.*;interior_dialog;;
;*инопланетяне*;11;;0
;*верхние этажи*;13;;0
;*нижние этажи*;14;;0
;*прозрачный потолок*;15;;0
;*выходы из залы*;16;;0
;Мне пора идти. Совещание не ждет.;17;;0
13;*Подняться на верхние этажи — дело пары минут, ведь здешние лифты очень быстры. Но ничего примечательного наверху не обнаружилось. Просто множество рабочих кабинетов. Ни в один из них заходить незачем. Слегка разочарованный, ты спускаешься обратно.*;interior_dialog;;
;*инопланетяне*;11;;0
;*памятник*;12;;0
;*нижние этажи*;14;;0
;*прозрачный потолок*;15;;0
;*выходы из залы*;16;;0
;Мне пора идти. Совещание не ждет.;17;;0
14;Прошу прощения, капитан, вход на нижние этажи «Единства» разрешен только техническому и охранному персоналу. *Борк вежливо улыбается. Да, они это умеют. Разве можно спорить с существом, у которого такая улыбка?*;bork_dialog;;
;*инопланетяне*;11;;0
;*памятник*;12;;0
;*верхние этажи*;13;;0
;*прозрачный потолок*;15;;0
;*выходы из залы*;16;;0
;Мне пора идти. Совещание не ждет.;17;;0
15;*Из чего бы ни был сделан этот потолок, со своей задачей он справляется. Зрелище просто… завораживает. Звезда здешней системы (интересно, называют ли они ее Солнцем?) выглядит так, словно ее можно коснуться, просто протянув руку. Укрощенное свечение сделалось ласковым — не режет глаз. Многочисленные завихрения смертоносного жара словно соревнуются друг с другом в скорости и силе. Видны маленькие вспышки. Этот вид напоминает тебе об умирающем Солнце Земли.*;interior_dialog;;
;*инопланетяне*;11;;0
;*памятник*;12;;0
;*верхние этажи*;13;;0
;*нижние этажи*;14;;0
;*выходы из залы*;16;;0
;Мне пора идти. Совещание не ждет.;17;;0
16;*В большинство из них пройти нельзя: они для служебного персонала. Другие — посольские. Задумавшись, ты не заметил, как оказался возле входа в посольство зорсан. Охранник-зорсанин сразу же начинает говорить.* Это вы! И вам… *видно, что он сдерживает себя усилием воли* Кхм… вы… вы хотите посетить посольство Зорсанской Империи?;zorsan_dialog;;
;Нет, я здесь не затем. Однако… вы хотели что-то сказать. Договаривайте.;20;;0
;Нет. Извините.;8;;0
17;*Хры Окрарр не обманул: ближайший служащий (бродяга, из головы которого выходил целый пучок фосфорецирующих проводов, тянущихся ему куда-то в нижнюю часть позвоночника) спокойно отводит тебя туда, где пройдет совещание. Этот зал расположен в корпусе, не относящемся ни к одному из посольств. Остановившись перед дверью, бродяга кивает и уходит назад. Осталось лишь войти.*;interior_dialog;;
;[ДАЛЕЕ];21;;0
18;*Джозеф снова кивает, он доволен* Я сам не ответил бы лучше. Тем не менее, вы задаете необычные вопросы, господин Фиршэ. Вам трудно понять, о чем мы говорим, потому что ваш, с позволения сказать, Бог — это Пожиратель? Он же Опустошитель. Слишком разные категории, господин посол, слишком разные категории.;earth_diplomat_dialog;;
;Простите, что беспокою… А когда начнется совещание?;22;;0
19;*Джозеф вкратце объясняет суть заблуждений посла. Простой вопрос.* Вы задаете необычные вопросы, господин Фиршэ. Вам трудно понять, о чем мы говорим, потому что ваш, с позволения сказать, Бог — это Пожиратель? Он же Опустошитель. Слишком разные категории, господин посол, слишком разные категории.;earth_diplomat_dialog;;
;Простите, что беспокою… А когда начнётся совещание?;22;;0
20;*На лице охранника читаются переживания, видные даже для незорсанина. В конце концов он решается.* После того, что вы сделали?! Напали на нашего дипломатического представителя!! Пренебрегли нашим гостеприимством!! Развязали войну!! Вы… и вправду просто жалкая пародия на нормальное существо!;zorsan_dialog;;
;Послушайте…;23;;0
21;*Зал маленький. Можно даже сказать, что компактный. За круглым столом, что расположен перед большим, прямо-таки огромным экраном пока никто не сидит, хотя все вроде бы в сборе: инопланетяне аккуратно скучковались в комнате и пока что общаются неформально. Видно, что Джозеф по-прежнему стоит рядом с майором Окрарр, о чем-то с ним беседуя. С ними рядом стоит посол бродяг, который по большей части кивает и улыбается. Борковский посол разговаривает со своими подчиненными. Представитель зорсан тоже в кругу своих. Один лишь посол клисков крейсирует туда и сюда, умудряясь говорить со всеми одновременно.*;interior_dialog;;
;Скучали без меня, Джозеф?;24;;0
22;*майор отвечает* Совещание? С минуты на ми… *Его прерывает экран. Он начал работать. Пока что на нем ничего не появилось, но инопланетяне быстро начали рассаживаться по своим местам. Видимо, совещание начинается.*;;;
;Ну, наконец-то.;-1;;0
23;*И слова замирают у тебя на губах. На тебя смотрит разумное существо, уверенное в неколебимости своей правоты. Глупо будет продолжать с ним разговор. Ты отходишь.*;zorsan_dialog;;
;*инопланетяне*;11;;0
;*памятник*;12;;0
;*верхние этажи*;13;;0
;*нижние этажи*;14;;0
;*прозрачный потолок*;15;;0
;Мне пора идти. Совещание не ждет.;17;;0
24;*Джозеф рад твоему появлению. Это прямо-таки ощущается.* А, капитан! Нет, что вы, не успел. Я тут рассказывал господину Фиршэ об особенностях книги Бытия, уж очень его это интересует. *посол бродяг кивает и, продолжая вежливо улыбаться, переспрашивает* Значит, как вы сказали? Берешит? Слово народа, который называется «евреи», означающее «в начале»? Интересно... Ваша религия кажется мне интересной, господа.;earth_diplomat_dialog;;
;Говорите о книге Бытия? Впереди ждет самое интересное.;25;;0
;Вас интересует только христианство?;26;;0
;Майор? А во что верят борки?;27;;0
;*не вмешиваться*;28;;0
25;*посол кивает* Я пытался читать книгу веры, о которой мы ведем речь… Библия, кажется? Однако без соответствующих истолкований мало что возможно понять, вы же представляете.;rogues_dialog;;
