0;*Все участники совещания расселись (каждый за своим сектором стола, конечно) и терпеливо чего-то ждут. Через пару секунд становится понятно чего же: на экране появляется… садовник!* Приветствую всех вас… Господин Урилэй. *зорсанский посол важно кивает* Господин Грорра. *Борк... Допустимо ли сказать, что он просто морщит лицо? Описать это можно только так.*  Господин Фиршэ. *бродяга улыбается* Конечно же, рад приветствовать вас, Фшиир. *клиск реагирует взволнованным потрескиванием* И вы, мистер Райт. Как и вы, капитан людей. Я рад знать, что все вы находитесь тут.;;;
;*Надо же, какие технологии. Неизвестно, где он находится, но транслировать видео даже из соседней системы…*;1;;0
1;Вы знаете, ради чего я собрал вас здесь. С выходом людей в открытый космос все мы шагнули в совершенно новую эру существования. Сложна она или проста, но жить как раньше уже нельзя…;;;
;*похоже, зорсанин хочет что-то сказать*;2;;0
2;*посол зорсан перебивает садовника* Проста?! Эти существа злоупотребили нашим гостеприимством! Они напали на нас! *садовник молчит, никак не комментируя слова зорсанина*;debates;;
;*нужно шептать, иначе будет неудобно* Джозеф!;3;;0
3;*Джозеф выжидает несколько секунд и отвечает* Безусловно, отношения Земли и Зорсана находятся в напряженной стадии, и мы, со своей стороны, готовы пойти на многое, чтобы их наладить. Однако признавать свою вину мы не собираемся. С нашей точки зрения, со стороны Зорсана была произведена провокация, которой подвергся лично наш представитель. *Джозеф кивает в твою сторону* И, конечно, он многое может рассказать о том, как все было на самом деле. И предъявить записи. *посол зорсан отвечает коротко* Ложь! Сфабрикованные данные!;debates;;
;Ложь?! Мы еле-еле выбрались живыми с вашей планеты!! Вы нас чуть не убили!;4;zorsan_escape_victims=0;0
;Ложь?! Мы еле-еле выбрались с вашей планеты! И у нас были потери!;5;zorsan_escape_victims > 0;0
;Я не собираюсь лгать.;6;;0
;*промолчать*;7;;0
4;*посол зорсан гневно фыркает* Ложь! Вы хотите сказать, что прошли через нашу лучшую охрану и не получили ни малейшей царапины?! Я знал, что вы — лживые существа, но чтобы настолько… Вы подло пытались убить нашего дипломатического представителя! А затем подло сбежали! Никаких столкновений с охраной не было!;debates;;
;*прошептать* Джозеф, заткните этому выскочке рот.;8;;0
5;*посол зорсан самодовольно улыбается* В своей лжи вы хотя бы знаете меру! Да будет вам известно: если бы вы действительно столкнулись с нашей военной охраной, то были бы мертвы!;debates;;
;Я не собираюсь с вами пререкаться! Джозеф?;8;;0
6;Однако только это вы и делаете!;debates;;
;Джозеф, мы пришли сюда, чтобы поскандалить?;8;;0
7;Ха! *зорсанин фыркает* Ваша ложь закрывает вам рот! Вам нечего сказать!;debates;;
;Эк же он пышет… Джозеф, скажите что-нибудь?;8;;0
8;*Джозеф немного повышает голос* Повторяю: у нас есть записи. И мы их уже предоставили. *зорсанин едва-едва не перебивает Джозефа* У нас тоже есть свои доказательства! Кому?! Кому вы поверите больше?! Нам, или… *из его уст это звучит очень презрительно* ...или им?!!;debates;;
;[ДАЛЕЕ];9;;0
9;А сейчас, я прошу вас, помолчите. Да, у вас обоих есть соответствующие доказательства. И даже если кто-то из вас действительно прав… остановит ли это войну? *садовник молча трясет капюшоном* Война идет. И я не против этого. Война — это закономерная стадия развития любого нормального вида. Все идет так, как идет. *Джозеф немного ошеломлен. Зорсанин тоже. Остальные молчат, ожидая дальнейшего. Только клиск тихо-тихо пощелкивает, в этих звуках слышится довольство.* Но если вы воюете — вы должны воевать разумно. С этой целью я... Господин Фшиир?;;;
;[ДАЛЕЕ];10;;0
10;*слово берет клиск* Да… да, господа, конечно. Мы… мы подготовили… *Джозеф легко касается твоей ноги своей и шепчет что-то про то, что он так и думал* Это договор, который будет регулировать вашу с зорсанами войну. Текст уже на ваших планшетах. *Следующие несколько минут клиск зачитывает текст договора. Читает быстро. Все вполне понятно, несмотря на тяжеленный язык политического канцелярита.* ...Иными словами, можно резюмировать по пунктам. Пункт первый: никакого оружия массового поражения с непоправимыми последствиями. Пункт второй — никакого геноцида и намеренных жертв среди мирного населения. Пункт третий — бережное отношение к объектам культурного наследия вражеской стороны. Пункт четвертый — @##%&&!&#& *На этом слове переводчик сбоит. В конце концов он подбирает ближайшую аналогию.* ...гуманное отношение к пленным!;klisk_vip_dialog;;
;*шептать* Джозеф… Это нормально?;11;;0
11;*Джозеф шепчет в ответ* Этого мы и ожидали… Помяните мое слово, капитан: они просто хотят регулировать нашу войну. Они не будут помогать никому из нас, пока успех одной из сторон не будет очевиден. А потом вмешаются, чтобы поживиться.;earth_diplomat_dialog;;
;Как мерзко.;12;;0
;Не могу их судить.;13;;0
;Но ведь у нас всегда были неплохие отношения! А зорсаны успели повоевать со всеми, с кем только можно!;14;;0
12;Это политика, капитан… прошу, помолчите. Слушаем дальше.;earth_diplomat_dialog;;
;[ДАЛЕЕ];15;;0
13;Я рад, что вы понимаете. Это политика, друг мой. Иначе в ней не бывает. Так. Молчите. Он читает что-то еще.;earth_diplomat_dialog;;
