0;Я вас слушаю. *Клиск-секретарь смотрит очень вежливо. По посольству разносятся тихие щелчки.*;klisk_dialog;;;
;Я капитан корабля «Аврора-2». Мне назначено у посла.;1;;0;
1;Конечно. *Секретарь утвердительно щелкает.* Господин посол ожидает вас. Проходите.;klisk_dialog;;;
;*в кабинет посла*;2;;0;
2;*Он мало чем по своему убранству отличается от посольства. Во-первых, слой песка на полу толще. Во-вторых, фонтан в центре комнаты гораздо больше. В остальном — никаких отличий. Хозяин кабинета стоит спиной, смотря в окно на открытый космос, но стоило только тебе войти, он сразу поворачивается.* Капитан людей! *щелчки-щелчки-щелчки*;klisk_int;;;
;Приветствую. Мне передали, что вы хотите со мной увидеться.;3;!unity_look_around;0;
;Приветствую. Мне передали, что вы хотите со мной увидеться. Извините, я… запоздал.;4;unity_look_around;0;
3;Конечно. Некоторые дела решаются с послом, а некоторые дела решаются не с послом… *щелчки смеха* И какая же у вас теперь должность?;;;;
;Капитан корабля «Аврора-2», не более того.;5;;0;
;Герой Земли. Вот уж не думал…;6;;0;
;Просто человек. Вот так.;7;;0;
;Человек. Который стареет.;8;;0;
4;Я понимаю, капитан людей. Но как говорят в моем народе: тот, кто опаздывает, не уважает ни свое, ни чужое время. *клиск разводит руками и примирительно щелкает* Впрочем, наверняка у вас была веская причина. Что же… вам интересно, зачем я хотел вас видеть? Все просто. Некоторые дела решаются с послом, но иные… *щелчки смеха* И какая же у вас теперь должность?;;;;
;Капитан корабля «Аврора-2», не более того.;5;;0;
;Герой Земли. Вот уж не думал…;6;;0;
;Просто человек. Вот так.;7;;0;
;Человек. Который стареет.;8;;0;
5;Скромны. С одной стороны — это хорошо, но с другой… *снова щелчки смеха* Как вам мой фонтан?;;;;
;Вы для этого хотели меня видеть?;9;;0;
6;К чему ложную скромность, не так ли? Мы, клиски, уважаем существ, знающих себе цену. *размеренные, басовитые щелчки* Как вам мой фонтан?;;;;
;Вы для этого хотели меня видеть?;9;;0;
7;Либо это слишком просто, либо это слишком глубоко. И то, и то… *щелчки смеха* Кто-то другой стал бы меньше вас уважать! Как вам мой фонтан?;;;;
;Вы для этого хотели меня видеть?;9;;0;
8;Все мы стареем. Неужели вас это так угнетает? Может быть, пора на покой? *Клиск щелкает. Он смеется.* Шучу, конечно же, я шучу! Старость дает тебе опыт, а для всего остального есть аугментации, как говорят бродяги. Как вам мой фонтан?;;;;
;Вы для этого хотели меня видеть?;9;;0;
9;*клиск не обратил внимания* Прекрасное творение, не так ли? Он земной. Я специально приказал установить именно такой, чтобы попытаться больше понимать вас… *медленные, тягучие щелчки* Пока что мне это не удается. *Клиск говорит правду? Или лжет? Очень трудно понять. Немного помолчав, клиск резко спрашивает.* Что вы собираетесь делать с зорсанами?;;;;
;Мы собираемся с ними воевать.;10;;0;
10;Хороший ответ, капитан. И действительно, что вам еще делать? Один на один, против самого технически развитого народа обитаемой Вселенной… Наверное, вы не отказались бы от помощи?;;;;
;А вы собираетесь ее предложить?;11;;0;
11;Кем бы я был, если бы так поступил? Какой ужас. *возмущенные щелчки, но клиск говорит спокойно и доброжелательно* Скажем так… если бы вы оказали услугу клискам, то друзья друзей клисков могли бы оказать услугу вам. Ничего противозаконного: о наемничестве наш дорогой садовник ничего не говорил. Что скажете?;;;;
;То есть вы хотите, чтобы я сделал для вас какое-то дельце. Не самое простое, судя по всему. И не самое чистое. Взамен вы обещаете помощь в войне с зорсанами…;12;;0;
12;*клиск молчит и ждет*;;;;
;Излагайте суть. Полагаю, мне придется вас слушать: документация тут ни к чему.;13;;0;
;Я думаю, вы меня поймете. *двинуться к выходу*;14;;0;klisk_pirate_quest_reject
;А если бы кто-то… не знаю, узнал бы об этом разговоре?;15;;0;
