0;*Inside, the Bork Embassy is... big. A big round hall with hallways leading from it to the offices. The architect seems to have gone overboard with gigantomania, there's too much empty space. You can see the ambassador's office door all the way from the entrance.*;bork_int;;;
;*take a better look around*;1;;;
;*to the ambassador*;2;;;
1;"*The paint on the walls is a pleasant orange hue, and the roof is transparent, like in the main hall. It's a beautiful, magestic sight. There is some kind of obelisk in the center of this room. If you walk up closer, you can read the plaque on it: ""Straight and unbending.""*";bork_int;;;
;*to the ambassador*;2;;;
2;*You're going to have to knock, there's no secretary next to the office. However, that's not a problem: the lock clicks after the first knock. You can come in.*;bork_int;;;
;*inside*;3;;;
3;*Like the entire embassy, the Bork ambassador's office is big, but this time it's justified: most of it is taken up by an enormous holographic map of the inhabited Universe. Hey, you can make out the Solar system!* A breathtaking sight, isn't it? *The Bork ambassador is old and beaten up by life: he's missing two eyes and almost half of his teeth. His face is disfigured, if you can say that about a Bork mug, by an old burn.* I really wanted to meet you, human captain. *When he moves, you can tell right away that one of his legs is prosthetic.* Come in.;bork_int;;;
;Hello. It really does look great.;4;;;
4;I like to stay informed about the situation at the fronts… *The Bork ambassador shakes his head.*;;;;
;And what is the situation?;5;;;
;I was told that you wanted to talk to me.;6;;;
5;You're one on one with the most developed people of the inhabited Universe, although you did manage to beat back their biggest attack, so... war of positions, are the Zorsan capable of it? *He speaks quietly, thinking out loud.* They really are, it's your problem after all, no one is going to help you, and if they are... *The ambassador smiles weakly.* Would I believe it if someone told me that one of the civilizations is going to help you now? Of course not...;;;;
;I was told that you wanted to talk to me.;6;;;
6;*The Bork roars quietly.* That's the operative word, to talk... to talk... I know that other ambassadors have called you, except the Zorsan one, of course, but when my colleague finally starts to think straight, he'll realize that it's better to try to mend your relations... the ambassadors called you because they wanted something from you, and I actually want to talk because we really do have things to discuss: your colony, your war, your problem with the Obliterator, and of course the Gardener.;;;;
;Why would the Zorsan ambassador have business with me?;7;;;
;What do you think the other ambassadors are going to want from me?;8;;;
;And you don't want anything from me, then? How altruistic of you.;9;;;
;What's our colony to you?;10;;;
;Yeah, we're fighting the Zorsan. Anything wrong with that?;11;;;
;The Obliterator?;12;;;
;The Gardener… yeah, it was… unforgettable.;13;;;
;I think it's time to wrap up this conversation.;14;;;
7;My esteemed colleagues think the Earth won't hold out against the Zorsan... *The Bork chuckles and bares his teth.* They think different on Sypsyar, and when the Zorsan get it, trust me, they'll try to settle it peacefully.;;;;
;What do you think the other ambassadors are going to want from me?;8;;;
;And you don't want anything from me, then? How altruistic of you.;9;;;
;What's our colony to you?;10;;;
;Yeah, we're fighting the Zorsan. Anything wrong with that?;11;;;
;The Obliterator?;12;;;
;The Gardener… yeah, it was… unforgettable.;13;;;
;I think it's time to wrap up this conversation.;14;;;
8;They'll want something, you can be sure of that, and you'll know what to do then, you're not a stupid creature.;;;;
;Why would the Zorsan ambassador have business with me?;7;;;
;And you don't want anything from me, then? How altruistic of you.;9;;;
;What's our colony to you?;10;;;
;Yeah, we're fighting the Zorsan. Anything wrong with that?;11;;;
;The Obliterator?;12;;;
;The Gardener… yeah, it was… unforgettable.;13;;;
;I think it's time to wrap up this conversation.;14;;;
9;"When we need something from you, trust me, you'll be the first to know. *The Bork bares his teeth again.* Although 'when' may not be the right word, I'd rather say ""if""…";;;;
;Why would the Zorsan ambassador have business with me?;7;;;
;What do you think the other ambassadors are going to want from me?;8;;;
;What's our colony to you?;10;;;
;Yeah, we're fighting the Zorsan. Anything wrong with that?;11;;;
;The Obliterator?;12;;;
;The Gardener… yeah, it was… unforgettable.;13;;;
;I think it's time to wrap up this conversation.;14;;;
10;Who told you it's yours, with all the trade stations in its orbit?.. considering how rare the flights from Earth to there are, I could disagree with your presumptuous statement already.;;;;
;Hm. So that's what you meant…;15;;;
11;Nothing's wrong. You do understand that should you or the Zorsan break one rule of the convention... *The Bork drums his strong fingers on the window.* Many people want you to be the one break it, not the Zorsan. Keep that in mind.;;;;
;Thank you for the advice.;16;;;
;Hm… What if some creature asked another creature for help, offering instead… some other kind of help? Covert.;17;unity_klisk_ambassador_visited;;
12;Yeah, many people think that your people are done for, unless you find a way, of course. But no one thinks you will.;;;;
;Is there really no way?;18;;;
13;Not just unforgettable. You are similar to him, human captain, to that Gardener. Not you as an individual, but you as a species.;;;;
;Really?;19;;;
14;If that's what you think… *The Bork presses a button in his desk, opening the door.* I'm not saying goodbye, I'm saying see you later. Because I will.;;;;
;In that case, see you later, Ambassador.;-1;;;unity_bork_ambassador_visited
15;Trust an old Bork, what I'm about to tell is something everybody from the Veteran Council would get behind. *The Bork lets a pregnant silence fall.* It'd be better if the colony really did stay yours, and the trade stations stayed trade stations, because it benefits us. There is one of ours among them, too.;;;;
;Does someone really want to capture our colony?;20;;;
;How strong is their influence?;21;;;
;What if the stations disappear?;22;;;
;Let's talk about something else.;16;;;
16;*The Bork stands next to the giant window and moves the fingers of one of his paws thoughtfully.*;;;;
;Why would the Zorsan ambassador have business with me?;7;;;
;What do you think the other ambassadors are going to want from me?;8;;;
;And you don't want anything from me, then? How altruistic of you.;9;;;
;What's our colony to you?;10;;;
;Yeah, we're fighting the Zorsan. Anything wrong with that?;11;;;
;The Obliterator?;12;;;
;The Gardener… yeah, it was… unforgettable.;13;;;
;I think it's time to wrap up this conversation.;14;;;
17;Oh, *the Bork bares his teeth so much you can see which are missing, walks up to the table and leans on it with one of his arms,* I think the creature that was asked to help should be careful and trust no one.;;;;
;That's reasonable.;16;;;
18;There is always a way, human captain, or you wouldn't get called to talk by the Rogue ambassador. He probably wants to talk about the Obliterator problem. After all, for the Rogues it's a special subject, a lot of them believe unconditionally in that... *the translator module bugs out, like it sometimes does when it has to translate rare words.* ...Behemoth that keeps eating star systems. And the others are curious to find out what he is, but satisfying that curiosity yourself is very, very difficult.;;;;
;In other words, the Rogue ambassador could help me while having his own secret goals. Hm.;23;;;
19;Definitely, the Gardeners find common ground with every people they contact too, did you know that? *The Bork starts counting on the fingers of the hand that has all of them.* With the Klisk, the Gardeners made a trade deal according to the Code. With the Rogues, they took part in one of their Masses to the Obliterator/Devourer...;;;;
;And what about the humans?;24;;;
;The Zorsan?;25;;;
;Very interetsting. But I'm more interested in something else: how could they have known? How could they make that recording?;26;;;
;I'll think about it when I have a minute.;16;;;
20;Not capture. Influence it, human captain, since Earth is so unpredictable, so strong…;;;;
;And how strong is that influence?;21;;;
;What if the stations disappear?;22;;;
;Let's talk about something else.;16;;;
21;I think you'll see for yourself when you get there, now that you have that planned. But keep in mind, it's not populated by humans, or if that sounds too drastic, not by humans like the ones you're used to.;;;;
;Does someone really want to capture our colony?;20;;;
;What if the stations disappear?;22;;;
;Let's talk about something else.;16;;;
22;Suspicions and losses, suspicions and losses… *The Bork turns to face the window and looks out at outer space.*;;;;
;Does someone really want to capture our colony?;20;;;
;And how strong is that influence?;21;;;
;Let's talk about something else.;16;;;
23;See? We think alike. *The Bork nods.*;;;;
;Why would the Zorsan ambassador have business with me?;7;;;
;What do you think the other ambassadors are going to want from me?;8;;;
;And you don't want anything from me, then? How altruistic of you.;9;;;
;What's our colony to you?;10;;;
;Yeah, we're fighting the Zorsan. Anything wrong with that?;11;;;
;The Obliterator?;12;;;
;The Gardener… yeah, it was… unforgettable.;13;;;
;I think it's time to wrap up this conversation.;14;;;
24;That's the thing, we know about your first contact with the Gardeners... *The ambassador frowns and screws up his face in a way that's definitely unpleasant.* They talked with you... as with equals, they didn't try to conform to you. And those taqlks about the so-called philosophy of the Path, the Gardeners didn't talk to anybody else like that.;;;;
;The Zorsan?;25;;;
;Very interetsting. But I'm more interested in something else: how could they have known? How could they make that recording?;26;;;
;I'll think about it when I have a minute.;16;;;
25;No one knows. The Zorsan are good at hiding what they want hidden.;;;;
;What about the humans?;24;;;
;Very interetsting. But I'm more interested in something else: how could they have known? How could they make that recording?;26;;;
;I'll think about it when I have a minute.;16;;;
26;That's exactly what gives me and my colleagues some pause, human captain. The Gardeners seem to see this world... differently, as if they saw it from a different perspective, just like you humans.;;;;
;I don't understand what you mean.;27;;;
