0;Капитан? *Гордон вызывает.* К-капитан, срочный доклад!;
;Я слушаю тебя, Гордон.;1
1;Эта станция транслирует сигнал по всем частотам, капитан. Похоже, там что-то произошло.;
;Гордон, расскажи мне то, что я не знаю.;2
2;*Гордон нервно поправляет очки.* Мы просканировали станцию, к-капитан. Странно, но нам удалось. *Он тут же торопливо поясняет.* Зорсаны сразу засекли бы это, понимаете? Но здесь? словно бы станция пустая. Но она не пустая. Там полно биологической активности, вот только на наше присутствие никто не реагирует. ;
;То есть, на станции кто-то есть, но это точно не зорсаны?;3
;И этот сигнал опасности?;4
;Это всё неважно. Твои предложения, Гордон?;5
3;Я этого не говорил. Я сказал, биологической активности достаточно много, но она либо не пользуется оборудованием станции, либо просто не обращает на нас внимание. ;
;И этот сигнал опасности?;4
;Это всё неважно. Твои предложения, Гордон?;5
4;*Гордон кивает.* Я не знаю, что там случилось. Но произошедшее определённо связано с этой активностью. ;
;То есть, на станции кто-то есть, но это точно не зорсаны?;3
;Это всё неважно. Твои предложения, Гордон?;5
5;Я? Что?.. Кхм? С одной стороны, станция зорсан - ценный приз, ведь так, капитан? На Земле обрадуются, если мы её захватим.;
;Определённо.;6
6;Но с другой, если там случилось что-то, что вывело из строя персонал целой станции? Стоит ли оно того?;
;Хм?;7
7;Решать, конечно, вам, капитан. На этом мой доклад окончен.;
;Что же? думаю, это того стоит. Надо захватить станцию.;-1
;Слишком неоправданный риск. Лучше её уничтожить.;-1
