0;"Да? Что? К?капита? Капитан! Я не сказал букву ""н""? Простите! *Конкретно сейчас Гордон очень дёрганый. В камеру он смотрит словно бы одной половиной лица, приблизив её к объективу и слегка дрожа, второй же глаз у него прищурен, почти закрыт.*";
;Гордон, что думаешь по поводу этого корабля?;1
;Гордон, что с тобой такое?;2
1;А? Ч-что? Я должен по этому поводу думать?;
;Мне просто интересно твоё мнение. Всё-таки мы летим на зорсанском скауте!;3
;Гордон, что с тобой такое?;2
3;Зорсанский? Мы? не на Авроре?;
;Так. Что с тобой такое, чёрт возьми?;2
2;*Гордон вздрагивает и нервно моргает.*  Ы-ы? кхм? Эксперимент. Очень важный. Я? я пятые стуки не суплю. Стуки не суплю. Стуки не су? *Гордон кашляет.* Сутки не сплю! Вот. Я принял немного лекарств, у меня? я работаю, капитан, я работаю, капитан.;
;Лекарств? Что за лекарства?;4
4;Лекарства. Чтобы не спать. *Зрачки у Гордона огромные.*;
;Ладно. Не злоупотребляй ими, Гордон. Ты нужен мне во вменяемом состоянии. Как только закончишь эксперимент - сразу же иди отдыхай. ;5
5;К?конечно? Чно-чно. *Гордон собирается отключить связь, но, сделав неловкий жест рукой, роняет? а, нет. Он упал и, схватившись за камеру, выломал её из терминала. Что же, это тоже отключило связь.*;
;Надо будет послать туда ремонтников и? врача, что ли? Совсем не бережёт себя человек! ;-1
