0;*Мартан злобно щурится, во всей его фигуре видно с трудом сдерживаемое раздражение.* Изволь ответить где ты был?!;
;Ну-у-у?;1
1;Замолчи! Признаюсь, я ожидал многого!.. Я думал, что ты провалишься во время разведки. Что не сможешь скрыться. Худший вариант - что тебя уничтожат? но я не думал, что ты попросто провалишь все сроки! Ты понимаешь, что теперь разведку совершить невозможно?! Зорсане узнали о наших планах и готовят оборону!;
;А откуда?;2
;Извини, Мартан. Я пытался? но мне не удалось.;3
2;Потому что когда готовишь для нападения целый флот - это невозможно скрыть! Поэтому командование и хотело, чтобы ты действовал как можно скорее!;
;Извини, Мартан. Я пытался? но мне не удалось.;3
3;*Мартан качает головой.* Если бы у командования не было запасного плана - тебя бы судили. Понимаешь? Ты понимаешь, что мог слететь со своего места? Тебя спасла личная протекция управляющего совета Авроры! За тебя поручились так, как? я даже описать это не могу!;
;Я понимаю.;4
4;И прошу запомнить, что второго шанса у тебя уже не будет. Ещё одна накладка и Земля найдёт себе нового героя. Ты должен понимать, что во время войны незаменимых нет.;
;Хорошо. Мне очень жаль, я постараюсь, чтобы больше такого не происходило. Что мне делать дальше?;5
5;Пока мы готовим нападение на системы - ничего. Конечно, нам всегда понадобится твоя помощь в конфликте? *Мартан смотрит в бумаги на своём столе.* Кое-где была бы кстати огневая поддержка, кое-что стоило бы разведать, а кое кому, с кем можно было бы договориться, пригодился бы твой недюжинный дипломатический талант... но я понимаю, что у тебя могут быть и другие дела. Так что решай сам. Войска пойдут в бой примерно через НАДО УКАЗАТЬ ВРЕМЯ. Вот тогда ты нам действительно понадобишься.;
;Хорошо, Мартан. Тогда я не буду более тебя отвлекать. Как ты и сказал - у меня действительно ещё есть дела.;-1
