0;Вижу, ты вернулся. *У Мартана круги под глазами, он устало вскидывает руку в приветствии.* Задание уже выполнено?;;;
;Да, я готов отчитаться.;1;;
1;*Мартан выжидающе смотрит.*;;;
;Всё прошло отлично. Данные из всех трёх систем уже отосланы.;2;warlineResult=3;
;Были накладки, но? я просканировал корабли в двух системах. Данные отосланы.;4;warlineResult=2;
;Зорсане в полной боевой готовности, они постоянно начеку. Я смог разведать только одну систему.;5;warlineResult=1;
;Это было слишком сложно, Мартан, а я - не профессионал.;6;warlineResult=0;
2;Замечательно! Я и не думал, что ты? *Мартан усмехается и встряхивает головой, давя неловкую ухмылку.* Я думал, что ты сможешь разведать одну систему. Ну, две. Командование было готово к некоторым неудачам. Но ты смог выполнить задание? так! Это просто отлично!;;;
;Вот такой вот я особенный.;3;;
3;И правда особенный. Отличная работа, друг. ;;;
;Что мне делать дальше?;8;;
4;В командовании вообще считали, что тебя хватит только на одну систему. Не переживай. Всё в порядке. Ты хорошо поработал.;;;
;Что мне делать дальше?;8;;
5;Не самый лучший результат, но командование примерно того и ожидало. Не переживай, мы понимаем, что ты старался. Неплохо поработал.;;;
;Что мне делать дальше?;8;;
6;Иными словами, ты - не смог. Ну, что? *Мартан вздыхает.* Нам придётся нападать на эти системы без разведки? я не хочу ничего такого сказать, но некоторые из тех, кто наверняка погибнут вов ремя штурма, погибнут из-за тебя.;;;
;Не надо мне об этом напоминать!;7;;
7;Нет! *Мартан злится.* Надо! В следующий раз будешь умнее! Тем не менее? что сделано - то сделано.;;;
;Что мне делать дальше?;8;;
8;Пока мы готовим нападение на системы - ничего. Конечно, нам всегда понадобится твоя помощь в конфликте? *Мартан смотрит в бумаги на своём столе.* Кое-где была бы кстати огневая поддержка, кое-что стоило бы разведать, а кое кому, с кем можно было бы договориться, пригодился бы твой недюжинный дипломатический талант... но я понимаю, что у тебя могут быть и другие дела. Так что решай сам. Войска пойдут в бой примерно через НАДО УКАЗАТЬ ВРЕМЯ. Вот тогда ты нам действительно понадобишься.;;;
;Хорошо, Мартан. Тогда я не буду более тебя отвлекать. Как ты и сказал - у меня действительно ещё есть дела.;-1;;1
