0;Да-да? по поводу твоего задания? они и это свалили на меня! Будто мало того, что я и так выдаю тебе львиную долю распоряжений! Что за кавардак?! *Мартан недоволен: он хватает чашку, нервно оттуда отхлёбывает и, видимо, немного остыв, объясняет уже более спокойным тоном.* В курс дела тебя вообще должен вводить не я. Но полковника Хатчета вызвали на доклад! Что это вообще такое? *Махнув рукой, Мартан садится в кресло.* Ладно. Слушай.;;;
;Успокойся. Я весь внимание.;1;;
1;"Странно, что они решили использовать для этого тебя? они хотят послать тебя на разведывательное задание. Наши войска планируют наступление, нужно уточнить данные о системах, которые будем брать. *Неодобрительно хмыкнув, Мартан продолжает.* Конечно, посылать тебя туда на ""Авроре-2"" - глупая затея, тебя разнесут сразу же, как ты выйдешь из гипера. Поэтому мы дадим тебе зорсанский корабль. Полетишь на нём. Вот такие вот дела. Сразу должен добавить, что времени у тебя [НЕ ПРИДУМАЛ СКОЛЬКО], так что затягивать нельзя. Вопросы?";;;
;Стоп-стоп-стоп! Зорсанский корабль?! Настоящий?!;2;;
;Что за системы?;4;;
;Всё-таки ты слишком давно сидишь на бумажной работе. Что конкретно мне нужно сделать? Разведка - понятие растяжимое.;5;;
;Почему я? У вас других капитанов нет?;12;;
;Хорошо. Я готов отправляться.;7;;
;Знаешь, я думаю, что смогу добыть информацию иным путём.;10;;
2;*Мартан кивает.* Именно.  После Битвы за Землю у нас в руках оказалось целое множество зорсанских кораблей. Что же, мы смогли собрать из нескольких разбитых один целый - лёгкий разведывательный скаут.  *Впрочем, немного помолчав, он сконфуженно улыбается, добавляя.* Почти смогли.;;;
;"""Почти""?";3;;
3;Снаружи - это обычное зорсанское судно, но в нём множество наших деталей. Если зорсане просканируют этот корабль, то сразу же поймут, что им оно не принадлежит. Тебе придётся быть аккуратнее: не приближайся к другим кораблям зорсан, не выходи с ними на связь и, конечно же, никуда, кроме зоны задания, на этом корабле не летай. Нам ещё не хватало, чтобы тебя раскрыли!;;;
;Что за системы?;4;;
;Всё-таки ты слишком давно сидишь на бумажной работе. Что конкретно мне нужно сделать? Разведка - понятие растяжимое.;5;;
;Почему я? У вас других капитанов нет?;12;;
;Хорошо. Я готов отправляться.;7;;
;Знаешь, я думаю, что смогу добыть информацию иным путём.;10;;
4;Ничего необычного, всё по среднему стандарту: звезда в центре и несколько планет в каждой. Координаты уже отправлены тебе на корабль.;;;
;Вы дадите мне настоящий зорсанский корабль?!;2;;
;Всё-таки ты слишком давно сидишь на бумажной работе. Что конкретно мне нужно сделать? Разведка - понятие растяжимое.;5;;
;Почему я? У вас других капитанов нет?;12;;
;Хорошо. Я готов отправляться.;7;;
;Знаешь, я думаю, что смогу добыть информацию иным путём.;10;;
5;*Кажется, Мартан недоволен тем, как ты его назвал.* Ну, да, куда уж мне до тебя! *Немного раздражён, но не злится.* Просто проверь, есть ли в системах силы зорсан. Если есть - постарайся их просканировать. Чем больше данных - тем лучше. Постарайся сделать всё тихо, всё-таки нам не нужен переполох прямо перед наступлением.;;;
;Просканировать?;6;;
6;Именно так. Одна из оружейных систем скаута демонтирована, вместо неё установлен сканер. Работает абсолютно незаметно, вражеский корабль даже не заметит, что ты его просвечиваешь. Если ты, конечно, не выдашь себя иным образом. Что же касается его характеристик... *Мартан роется в каких-то бумагах на столе.* Да, вот оно! Дальность действия у него не так уж велика, так что сканируй лишь объекты, которого того стоят - флагманские корабли или космические станции. Не разменивайся на мелочи.;;;
;Вы дадите мне настоящий зорсанский корабль?!;2;;
;Что за системы?;4;;
;Почему я? У вас других капитанов нет?;12;;
;Хорошо. Я готов отправляться.;7;;
;Знаешь, я думаю, что смогу добыть информацию иным путём.;10;;
7;Тогда я отдам приказ о подготовке зорсанского скаута. Ты точно готов? ;;;
;Конечно. Уже не терпится полетать на вражеском корабле!;9;;
;Я хочу ещё кое-что уточнить.;8;;
8;Что?;;;
;Вы дадите мне настоящий зорсанский корабль?!;2;;
;Расскажи ещё раз о системах?;4;;
;Всё-таки ты слишком давно сидишь на бумажной работе. Что конкретно мне нужно сделать? Разведка - понятие растяжимое.;5;;
;Почему я? У вас других капитанов нет?;12;;
;Хорошо. Я готов отправляться.;7;;
;Знаешь, я думаю, что смогу добыть информацию иным путём.;10;;
9;Вот и отлично. Остаётся лишь пожелать тебе удачи. Надеюсь, всё пройдёт нормально.;;;
;Я тоже на это надеюсь.;-1;;1
10;Иным путём? *Мартан выглядит удивлённым.* Вообще-то приказ, есть приказ. Впрочем? командование дало тебе полный карт-бланш, так что я тебе ничего запрещать не могу? ты уверен, что хочешь действовать самостоятельно? Времени у тебя не так уж и много. Нужно торопиться.;;;
;Я уверен. Смогу что-нибудь придумать.;11;;
;Погоди. Думаю, ваш план действительно лучше.;8;;
11;Тогда отправляйся. Остаётся лишь пожелать тебе удачи. Помни: если ничего не удастся выяснить - возвращайся и действуй по плану командования. Постарайся только успеть в срок!;;;
;Уж постараюсь. Всё будет в порядке.;-1;;
12;Ты - самый опытный капитан, тебе не привыкать действовать в дальнем космосе. Командование не хочет рисковать.;;;
;Вообще-то они рискуют мной.;13;;
13;Для героя Земли ты слишком осторожен! *Мартан улыбается.* Хотя я тебя понимаю. Думаю, что командование просто привыкло к твоим успехам.;;;
;Вы дадите мне настоящий зорсанский корабль?!;2;;
;Что за системы?;4;;
;Всё-таки ты слишком давно сидишь на бумажной работе. Что конкретно мне нужно сделать? Разведка - понятие растяжимое.;5;;
;Хорошо. Я готов отправляться.;7;;
;Знаешь, я думаю, что смогу добыть информацию иным путём.;10;;
