0;*Похоже, станции пришлось побывать в переделке - док, в котором стыкуется шаттл, выглядит так, словно бы в него попала торпеда и его чинили на скорую руку. Да и уже в самом доке, даже когда шлюз закрылся, без скафандра появляться нельзя, о чём заранее предупреждает радист. Хорошо, что теперь хотя бы не надо идти пешком - из дока в основную часть станции доставляют на небольшой гравиплатформе, подобной тем, на которых летают клиски.*;;;
;[ДАЛЬШЕ];1;;
1;*Зорсанские повстанцы, мужчины и женщины, рады видеть тебя и твоих людей. Они не ликуют, но в их взглядах не видно презрения или страха. Даже водитель, который управляет гравиплатформой, сидит так, словно бы лом проглотил - он действительно гордится тем, что доставляет вас!*;;;
;Похоже, приехали?;2;;
2;Ага! *Водитель останавливает платформу возле массивной железной двери, в проём от которой, будь дверь открыта, гравиплатформа могла бы спокойно влететь.* Сейчас откроют! *Он кивает, а затем улетает дальше по коридорам.*;;;
;[ДАЛЬШЕ];3;;
3;*Дверь со скрежетом уходит в стену, открывая? да это же капитанский мостик! Целая уйма зорсан работает за подобиями земных компьютеров, а в центре, в массивном кресле, сидит Фолие. Он сильно изменился, по крайней мере внешне. В основном дело в шрамах: на лице у него несколько свежих ожогов и рассечений, да и в общем выглядит Фолие далеко не так дружелюбно, как в первый раз. Тем не менее, стоило только двери открыться, Фолие сразу поворачивается.* Капитан людей, хо-хо, это ты! *Вот теперь он такой, каким был прежде.* Подходи сюда скорее! Ты снова нас нашёл!;;;
;Не так уж и трудно было? красные гиганты. К тому же, ты послал связного.;4;;
4;Ты вернулся в космос, наша борьба ещё не закончена, а ведь ты нам так помог в прошлый раз? *Фолие улыбается и кивает, сразу же вскрикивая и щурясь от боли.*;;;
;Что у вас тут случилось? Док разрушен.;5;;
;Ты ранен?;6;;
;Переехал из штурманской на капитанский мостик?;7;;
;Зачем ты хотел меня видеть?;8;;
5;Нам пришлось принять бой - нарвались на небольшой экспедиционный флот империи. Мы оказались сильнее, но станцию потрепало изрядно? *Фолие усмехается.* И меня тоже.;;;
;Ты ранен?;6;;
;Переехал из штурманской на капитанский мостик?;7;;
;Зачем ты хотел меня видеть?;8;;
6;А ты черт? *Переводчик сбоит, оборвавши воспроизведение на полуслове. Тем не менее, потом всё продолжается с того же самого. Очевидно, это - ближайший аналог.*?чертовски наблюдателен! Станция всё-таки бой приняла, он был тяжёлым? я лишь чудом выжил.;;;
;Что у вас тут случилось? Док разрушен.;5;;
;Переехал из штурманской на капитанский мостик?;7;;
;Зачем ты хотел меня видеть?;8;;
7;Её чинят. Во время боя с флотом империи туда попала направленная бомба. *Фолиё щурится и снова шипит от боли.* Эти говнюки знали, что я обитаю там? Но это другое дело. Не обращай внимания.;;;
;Что у вас тут случилось? Док разрушен.;5;;
;Ты ранен?;6;;
;Зачем ты хотел меня видеть?;8;;
8;Если ты думаешь, что я что-то от тебя хочу - это не так. Извини, минутку? *Фолие нажимает на одну из кнопок, расположенную на подлокотнике массивного капитанского кресла, и говорит.* Несите планшет! *После этого он снова обращается к тебе.* Мне стало известно, что вы активно воюете с империей. Судя по кое-каким данным от моих осведомителей в единстве и аналитиков, войска Земли хотят наступать... И я даже знаю на какие системы. Думаю, тебе пригодились бы кое-какие данные о войсках, которые там стоят. *Пришедший зорсанин отдаёт Фолие небольшой планшет, который тот сразу же передаёт тебе.* Держи. Считай это дружеским жестом. Вы возьмёте эти траханые системы, империя замечется, моим ребятам будет полегче.;;;
;Дружеский жест?;9;;
;Это очень кстати. Спасибо за данные, Фолие!;12;;
9;Именно. *Лидер повстанцев кивает.* Дружеский жест? *Дальше он говорит чуть тише, щурясь то ли от боли, то ли от каких-то не очень приятных мыслей.* Само собой, что было бы очень приятно, если бы потом, когда мне понадобится твоя помощь, ты оказал бы мне её точно так же, как и я тебе сейчас.;;;
;Спасибо за предложение, Фолие, но я не могу принять твой подарок. Ничего личного.;10;;
;Конечно! Спасибо за данные, Фолие!;12;;
10;Второй раз не предлагаю! *Фолие снова улыбается, забирая у тебя планшет, но видно, что он немного раздражён.*;;;
;Извини.;11;;
11;Ты сам сказал - ничего личного. В нашем деле нужно пытаться просчитывать свою тактику на несколько ходов вперёд? *Фолие задумчиво смотрит на экранчик, расположенный всё в том же подлокотнике кресла, и обращается сухо, деловито.* Сейчас мы снова уходим в гипер, капитан людей. Тебе нужно покинуть станцию. Я пошлю к тебе связного в следующий раз, как нам понадобится твоя помощь.;;;
;Отлично. Удачи в борьбе, Фолие.;-1;;2
12;Если вам не удастся взять эти системы, я перестану уважать землян! *Фолие усмехается и грозит тебе пальцем. Потом, посмотрев на экранчик, вмонтированный в подлокотник кресла, говорит уже более сухо и деловито.* Сейчас мы снова уходим в гипер, капитан людей. Тебе нужно покинуть станцию. Я пошлю к тебе связного в следующий раз, как нам понадобится твоя помощь.;;;
;Отлично. Удачи в борьбе, Фолие.;-1;;1
