0;*В Единстве всё так же, как и тогда, когда ты был тут в первый раз: полно самых разных инопланетян, хотя кое-где видны и люди. На тебя никто не обращает внимания.*;interior_dialog;;;
;*В посольство борков*;1;!reply_bork_used && !war1_explore.intelligence_get;;reply_bork_used
;*В посольство клисков*;11;!reply_klisk_used && !war1_explore.intelligence_get;;reply_klisk_used
;*В посольство бродяг*;27;!reply_rogues_used && !war1_explore.intelligence_get;;reply_rogues_used
;*В посольство зорсан*;35;!reply_zorsan_used && !war1_explore.intelligence_get;;reply_zorsan_used
;*В посольство Земли*;36;!reply_humanity_used && !war1_explore.intelligence_get;;reply_humanity_used
;Нет смысла идти к послам - разведданные у меня уже есть. Хотя можно зайти к Джозефу...;36;war1_explore.intelligence_get;;
;Пора возвращаться на корабль.;-1;;;
1;"*Небольшое отличие с твоего первого посещения: теперь тут есть секретарша. Так вот, как выглядят женщины борков? не слишком отлично от мужчин. Разве что, чуть-чуть поменьше в плане общих объёмов, но эту разницу трудно заметить. Борковский секретарь скептично посматривает на тебя, когда ты просишь аудиенции у посла.* Вы не записывались заранее, капитан людей? Вряд ли господин Грорра согласится вас принять... *Она качает головой, но, тем не менее, связывается с послом, приложив два пальца к виску, где поблёскивает переговорное устройство.* Господин Грорра, тут капитан ""Авроры-2""... Но, он не записан... Безусловно, господин посол. *Обращается уже к тебе.* Капитан - проходите.";bork_dialog;;;
;*пройти*;2;;;
2;*На этот раз в кабинете посла не сияет голографическая карта. Сам же посол сидит спиной к входной двери, смотря в окно.* Капитан людей? Вот мы и встретились снова. В следующий раз вам бы лучше записаться заранее, да? *Посол тихо взрыкивает, хихикая.* Иначе вам придётся ждать. Вам повезло, что в этот момент у меня не было посетителей... Вы по какому-то делу?;bork_dialog;;;
;Есть кое-что. Войска Земли планируют наступление на зорсанские системы?;4;;;
;Ничего, это просто визит вежливости. ;3;;;
3;*Посол, не оборачиваясь, кивает.* Я обрадован и польщён вашим визитом, капитан. Теперь же, если вы не против, я хотел бы остаться один? у меня ещё много дел сегодня, и своё свободное время мне бы хотелось потратить на отдых.;bork_dialog;;;
;Конечно. *уйти из посольства*;0;;;reject
4;Да? *Посол поворачивается и неприятно скалится, что делает его изуродованное лицо ещё страшнее.* Хоть кому-то надоело сидеть на месте, хрррр? *Он взрыкивает.* И зачем вы мне это говорите?;bork_dialog;;;
;Моему командованию необходимы данные о том, что находится в этих системах? вы можете нам помочь?;7;metropole_burden.embargo_signed=false;;
;Моему командованию необходимы данные о том, что находится в этих системах? вы можете нам помочь?;5;metropole_burden.embargo_signed=true;;
5;Помочь вам? да? Помочь? *Борк скалится, обнажая ту часть челюсти, где зубы отсутствуют.* Когда вы приходили сюда в первый раз, капитан людей, моё начальство просило вас, через меня, конечно же, сделать так, чтобы ваши колонисты продолжали сотрудничество с нами... ;bork_dialog;;;
;Ох.;6;;;
6;Я всё понимаю, капитан. Вам отдали приказ и вы его выполнили. Но мне, после ваших действий, тоже отдали приказ? Прошу меня простить. *Борк снова поворачивается спиной и смотрит в окно.*;bork_dialog;;;
;В таком случае будем считать мой визит простой данью вежливости.;3;;;
7;Совет ветеранов уведомил меня, что мы обязаны время от времени посылать инспекторов и ревизоров к противостоящим сторонам. *Борк кивает.* Мне кажется, что буквально сегодня мы отправим комиссию к зорсанам? Как раз в те системы, которые являются объектом ваших интересов. Конечно, непросто будет получить данные такого уровня, но... *Борк что-то делает за столом, и там, где раньше была голографическая карта, на недолгое время высвечивается цифра 160.* Это нужно не для меня, капитан людей. Всё-таки вопрос очень щекотлив...;bork_dialog;;;
;Вопрос щекотлив. И он того стоит.;10;can_pay_bork;;
;Сумма впечатляющая. Может я могу оплатить ваши услуги как-то иначе?;9;;;
;Слушайте, я же посодействовал тому, чтобы колония продолжала торговать с вами?;8;;;
;Я не могу себе этого позволить. Будем считать мой приход сюда простым визитом вежливости.;3;;;
8;И именно поэтому мы с вами обсуждаем поднятый вами вопрос. В противном случае я бы вам попросту отказал.;bork_dialog;;;
;Вопрос щекотлив. И он того стоит.;10;;;
;Сумма впечатляющая. Может я могу оплатить ваши услуги как-то иначе?;9;;;
;Я не могу себе этого позволить. Будем считать мой приход сюда простым визитом вежливости.;3;;;
9;"Как я уже сказал - это зависит не только от меня. Я понимаю, что принцип ""услуга за услугу"" часто действует даже в подобных случаях, но как мы смогли бы распределить вашу услугу между звеньями целой чиновничьей цепи? Кредиты, капитан людей, только кредиты. Иногда без них никуда.";bork_dialog;;;
;Вопрос щекотлив. И он того стоит.;10;;;
;Слушайте, я же посодействовал тому, чтобы колония продолжала торговать с вами?;8;;;
;Я не могу себе этого позволить. Будем считать мой приход сюда простым визитом вежливости.;3;;;
10;*После того, как договор о безвозмездном пожертвовании подписан, борк мягко жмёт тебе руку и скалится, улыбаясь.* Прошу вас - будьте гостем нашего посольства на время комиссии. Через несколько дней вы получите то, что хотели.;bork_dialog;;;
;?;-1;;1;
11;*В посольстве клисков сегодня удивительно много существ, некуда даже присесть - все места заняты. Клиск-секретарь, тот же самый, кто был в прошлый раз, смотрит на тебя устало и отвечает голосом хоть и спокойным, но с нотками недовольства.* Вы не записаны на приём, капитан людей? Я понимаю, что это вы, но сегодня у нас... вы видите. Я спрошу господина Фшиира... ;klisk_dialog;;;
;Надеюсь, он выделит мне время.;13;klisk_pirate.quest_result!=rejected;;
;Надеюсь, он выделит мне время.;12;klisk_pirate.quest_result=rejected;;
12;*Неясно, что ответил посол секретарю, но, закончив говорить, тот спокойно щёлкает и говорит извиняющимся тоном.* Простите, капитан людей, но господин Фшиир в данный момент не может вас принять. Он занят решением того вопроса? *Тон стал ещё более извиняющимся.* того вопроса, от помощи в котором вы предпочли отказаться. Посол не может вас принять. Извините.;klisk_dialog;;;
;Понимаю. Передайте послу, что мне очень жаль.;0;;;reject
13;*Неясно, что ответил посол секретарю, но, закончив говорить, тот спокойно щёлкает, говоря мягко и уважительно.* Посол готов вас принять, капитан людей. Проходите.;klisk_dialog;;;
;Отлично.;14;;;
14;Капитан людей! Прекрасно, прекрасно, что вы зашли ко мне! *Посол встречает тебя сразу же на входе в кабинет. Горячо жмёт руку, насколько клиск может пожать руку человеку, лично провожает до своего стола, усаживает, и лишь только потом мягко левитирует на гравиплатформе к своему месту.* Что же, я думаю, теперь вы не слишком заняты и сможете мне ответить... так как вам мой фонтан?;klisk_dialog;;;
;*осмотреть фонтан*;15;;;
15;*Хм? это было незаметно для быстрого взгляда, но если приглядеться, то видно, что он немного изменился. На одной из сторон фонтана появилась резьба: кривоватая, даже неумелая, словно бы делал её непрофессионал. Ну, вот. Теперь ты это заметил и это ощутимо царапает тебе глаз.*;klisk_int;;;
;Кто-то испортил вам фонтан? уж простите меня за прямоту.;16;;;
;Резьба выглядит странно. Но это наверняка что-то значит, да?;18;;;
;Прекрасная резьба, посол.;19;;;
;Я не за этим сюда пришёл.;20;;;
16;Приятно видеть, что вы далеки от? как это у вас говорится? Искать чёрного кошку в чёрного комнате? *Посол хихикает и щёлкает.* Впрочем, вы могли бы задуматься: а может эта резьба что-то значит? ;klisk_dialog;;;
;А она что-то значит?;17;;;
17;*Посол снова хихикает.* Подумайте об этом на досуге! Хе-хе-хе? зачем вы пришли, капитан?;klisk_dialog;;;
;Войска Земли планируют наступать на несколько зорсанских систем.;21;;;
18;Пытаетесь смотреть в суть вещей? Это похвально, похвально? *Посол хихикает.* Особенно в этом случае. Но, представьте: а что, если некоторые вещи ничего не значат? Что, если бы эта резьба ничего не значила? Вы наверняка почувствовали бы себя немного неловко... хе-хе-хе!;klisk_dialog;;;
;А что, эта резьба ничего не значит?;17;;;
19;Говорить другим то, что они хотят услышать - это отличное качество для политика! Впрочем?*Посол хихикает.* это ли я хотел услышать? Если нет - то вам наверняка стало бы слегка-слегка неловко!;klisk_dialog;;;
;А что же вы хотели услышать?;17;;;
20;*Посол разочарованно щёлкает.* Вы настолько спешите? Так уж и быть? зачем вы пришли, капитан?;klisk_dialog;;;
;Войска Земли планируют наступать на несколько зорсанских систем.;21;;;
21;*Клиск задумчиво привзлетает вверх и пару раз качается из стороны в сторону.* Мы? мы догадывались. И что же вы хотите? К чему вы мне это рассказываете?;klisk_dialog;;;
;Мне необходимы данные о войсках зорсан в этих системах. Вы можете мне помочь?;22;;;
22;*Клиск улетает в другой конец комнаты, потом возвращается назад, потом улетает в другой конец комнаты и, наконец, налетавшись, снова оседает за своим столом.* Вы понимаете о чём вы просите? Это? нарушение, и я уже мог бы? *Клиск задумчиво щёлкает.* Впрочем... Мне понятны причины вашей просьбы, ведь армия зорсан действительно сильна... ;klisk_dialog;;;
;Так вы поможете?;23;;;
23;"Вы сами не осознаёте, насколько вовремя прибыли - в самое ближайшее время мы, Единство, планируем отправить независимых наблюдателей к вам и к зорсанам. ""Единство"" хочет провести проверку? в том числе и в нужных вам системах. Если вы хотите, чтобы вам предоставили полученные данные - это можно устроить. Двести кредитов.";klisk_dialog;;;
;Я готов заплатить.;26;can_pay_klisk;;
;Я могу расплатиться как-то иначе?;25;;;
;Это слишком дорого!;24;;;
24;Что поделаешь, капитан людей. *Клиск деловито и сухо щёлкает.*  Значит, мы ни о чём не говорили? полагаю, вас здесь больше ничего не держит? У меня впереди ещё долгий приём.;klisk_dialog;;;
;Конечно. До свидания, посол. *уйти*;0;;;reject
25;Простите, капитан? *Грустные щелчки.* В данном случае это невозможно. *Что это? Да он оправдывается!* Хотя, поверьте, я знаю, что услуги вы способны оказать неординарные, но, в данном случае, - только деньги. Иногда всё бывает очень просто. Настолько просто, что даже сложно.;klisk_dialog;;;
;Я готов заплатить.;26;can_pay_klisk;;
;Это слишком дорого!;24;;;
26;*После того, как деньги переданы, клиск снова жмёт тебе руку и льстиво, но не приторно, улыбается.* Я горжусь тем, что веду дела с человеком, могущим позволить себе в одночасье такие траты! Будьте же гостем нашего посольства, прошу вас! Вам всё равно придётся ждать, пока не прилетит комиссия...;klisk_dialog;;;
;?;-1;;2;
27;*Вход в посольское крыло открывается сразу, как ты подходишь к ним. Странно, но посольство абсолютно пустое. Теперь в нём нет даже подсоединённых к стенам охранников, которые были тут в прошлый раз. Входя внутрь ты слышишь:* Капитан людей, добро пожаловать снова?;rogues_dialog;;;
;Посол! Вы меня слышите?;28;;;
28;Я же говорил вам, капитан? *Тут и там в пустой зале раздаются смешки.* Посольство - это я. Проходите в мой кабинет, я буду рад с вами поговорить.;rogues_dialog;;;
;*пройти*;29;;;
29;*Хотя бы одна вещь не изменилась - кабинет посла всё так же напоминает кладовую. Стул снова с тихим жужжанием выезжает из пола.* Садитесь, землянин. О чём вы хотели бы поговорить? *Голос посла расслаблен и безмятежен.*;rogues_dialog;;;
;Я хотел? слушайте, а почему в вашем посольстве никого нет? Даже посетителей!;30;;;
;Войска Земли планируют наступление?;31;!reject;;
;Войска Земли планируют наступление?;34;reject;;
30;"Потому что я решаю все дела дистанционно. Специфика моего существования позволяет мне очень легко наносить гостевые визитые в те или иные части ""Единства"", в конце концов все они подсоединены к одной сети? *Голос посла всё так же спокоен.* Посольство нужно нам лишь как демонстрация силы и влияния. Что же мы были бы за народ, без собственного посольства? *В голосе проскальзывают нотки иронии.* Так зачем вы пришли, капитан?";rogues_dialog;;;
;Войска Земли планируют наступление?;31;!reject;;
;Войска Земли планируют наступление?;34;reject;;
31;И зачем вы мне это говорите?;rogues_dialog;;;
;Нам были бы очень полезны данные о системах, на которые наша армия будет наступать. Я подумал, что вы могли бы нам помочь.;32;;;
32;*Голос становится сожалеющим.* Я догадывался, что вы попросите меня об этом. И я вынужден вам отказать? Это не вопрос чести и не вопрос порядочности - это вопрос выгоды. Бродяги - нейтральны, и не собираются поддерживать одну из сторон в конфликте Земли и Зорсана. По крайней мере на данный момент времени.;rogues_dialog;;;
;Это ваше окончательное решение?;33;;;
33;Безусловно.;rogues_dialog;;;
;В таком случае я прощаюсь с вами. *покинуть посольство*;0;;;
34;Я знаю суть вашей просьбы, капитан. *Голос стал более грустным.* И сразу говорю, что вынужден вам отказать. Прежде чем вы что-нибудь скажете, я добавлю, что в схожей просьбе я вынужден был отказать и послу зорсан. В настоящее время бродяги хотят оставаться нейтральными.;rogues_dialog;;;
;Спасибо за информацию о после зорсан? и я уважаю ваше решение. Что же, в таком случае вынужден вас покинуть. *уйти из посольства*;0;;;
35;*Охранники у дверей посольства новые, но не пускают они тебя точно так же. Более того, один из них демонстративно щёлкает одной из кнопок на своём оружии, и то начинает загадочно гудеть на высокой частоте. Очевидно, это был предохранитель. Чего бы ты ни хотел от посла зорсан, он явно не желает с тобой видеться.*;zorsan_int;;;
;Что же, я не удивлён. ;0;;;
