0;*при попытке установить линию связи, тебя резко перехватывает Генри* Капитан. Постойте.;marine_dialog;;;
;Черт возьми, Лишкевич. В чем дело?;1;;;
1;Я изучил всю доступную мне информацию об этих борках. Думаю, будет правильным, если в вашем сопровождении пойду лично я.;marine_dialog;;;
;Зачем?;2;;;
2;Мне кажется, я кое-что понял об этих существах… именно как военный, с поведенческой точки зрения…. Я могу вам пригодиться.;marine_dialog;;;
;При всем уважении, Генри, твое место на корабле. ;3;;;
;Хм…. Это звучит разумно. Хорошо. Собирайся.;4;;;henry.taken
3;Приказ ясен. *Генри отключает связь*;marine_dialog;;;
;А теперь надо связаться с планетой.;5;;;
4;Слушаюсь. Я встречу вас у шаттла.;;;;
;А теперь надо связаться с планетой.;5;;;
5;*с планеты быстро отвечают, удивительно быстро, уж тем более для борков* Кхм… *говорящий прочищает горло* Судно без опознавательного кода, пираты к посадке не допускаются. Повторяю, не допускаются. Повторяю! Не допускаются! ПОВТОРЯЮ!! НЕ!! ДОПУСКАЮТСЯ!!;;;;
;Мы не пираты. Говорит Аврора-2, планета приписки - Земля, у нас дипломатическая миссия.;6;;;
6;Ого. Если это так, тогда, типа, извините за грубость. *изменения в тоне голоса не слышно никакого. Говорящий все так же громок, груб, и напорист* Не знаю, известно вам или нет, но боркам-пиратам не втолкуешь ничего, если не повторить это раза два или три. Что, серьезно дипломатическая миссия?;;;;
;Серьезно. Серьезнее не бывает.;7;;;
7;Ну,  тогда, типа…. А. Вот. Нашел. *шелест бумаг, и небольшой рык* Долго искал, простите. Короче, посадка вам разрешается, но корабль ваш просканируем, уж простите. Если вы действительно дипломаты, то вас доставят в посольство со всем старанием и уважух... уважением. Уважением, во. Это, самое.... А. Во. Забыл. Для всех. Оружие брать можно, если оно часть парадного костюма. В составе делегации не более семи бо... существ. ;;;;
;Отлично. Уже можно садиться?;8;;;
8;Конечно! Рады видеть вас на Шипшиар… точнее, у вас же это Сипсия. Шиприар? Сипсия? Один хрен. Для нас Шипшиар, для вас Сипсия… а, мать мою! Извините! Конец связи. * и тишина*;;;;
;Интересно, у них все такие? Забавный народ. Ладно, пора вылетать.;-1;;;
