0;*The Bork Embassy is obviously built according to mixed standards: there are only four floors, but the building is huge. Your transport makes it past two rings of security (apparently, the guards are watching local porn and playing video games fervently) and stops next to the entrance* There we are.;;;
;Thanks for the lift.;1;;
1;*The driver doesn't answer. The transport drives off. The same Bork who was at the spaceport greets you.*;;;
;Heh, that was quick.;2;;
;How come you're here? We hurried here straight away.;11;!bork.city_view;
2;You just have to know the best routes. *The Bork looks extremely pleased with himself* From the looks of it, you decided to look around Shorter after all. How did you like our capital? Did you see anything interesting on the way? ;;;
;Shorter. Is that what the city is called?;3;;
;It's a beautiful city. Why are there so few tall buildings?;4;;
;We saw a fight, and the local law enforcer just stood there and didn't do anything. Why? ;5;;
;We saw the obelisk honoring your victory over the Zorsan.;7;;
;Maybe we should get to business already.;10;;
3;Shorter, yeah. But you can call it Sorter, too. Us borks are used to pronouncing the S as sh. A peculiarity of our vocal apparatus, it's easier for us that way. ;;;
;It's a beautiful city. Why are there so few tall buildings?;4;;
;We saw a fight, and the local law enforcer just stood there and didn't do anything. Why? ;5;;
;We saw the obelisk honoring your victory over the Zorsan.;7;;
;Maybe we should get to business already.;10;;
4;It's a relatively new city. Old Shorter was destroyed. So we're rebuilding it, there are no tall buildings yet. ;;;
;Shorter. Is that what the city is called?;3;;
;We saw a fight, and the local law enforcer just stood there and didn't do anything. Why? ;5;;
;Obviously, it has to do with the obelisk we saw? The one honoring your victory over the Zorsan. ;7;;
;Maybe we should get to business already.;10;;
5;Oh... That has to do with our culture. As you may have noticed, the Borks are a pretty agressive people. And most of them aren't too bright, either. So these things happen *The Bork shrugs, and the very human gesture makes him look rather ridiculous.*;;;
;Actually, they had knives. But your cop only got involved when one of the fighter lost consciousness.;6;;
6;A cop?.. Hm. I understand what you're trying to say. Yes. What can you do? Borks are sturdy creatures.Trying to punch each other's lights out with our fists really won't work. So no one really gives us any mind if the fight involves makeshift weapons. Until it becomes a murder.;;;
;Shorter. Is that what the city is called?;3;;
;It's a beautiful city. Why are there so few tall buildings?;4;;
;We saw the obelisk honoring your victory over the Zorsan.;7;;
;Maybe we should get to business already.;10;;
7;Obelisk? Victory? Did the driver tell you all that? *The Bork laughs. More accurately, he lets out a dull roar, blinks and pats his sides, but the essence of these actions could be logically explained as laughter.* He lied to you. ;;;
;…;8;;
