0;*кабинет дипломатического представителя борков очень торжественный, и немного пугающий. Это потому, что он обит резным деревом. От пола и до потолка. Сам хозяин, видимо, чувствует себя вполне отлично, потому что вид у него весьма бодрый*;;;;;
;Приветствую вас.;1;;;;
1;*борк встает, во все свои два с лишком метра роста. Из-за чего-то, что похоже на земной двубортный костюм, он выглядит еще шире, чем есть на самом деле.* Я вас тоже приветствую. *он подходит к тебе, и торжественно хлопает тебя по плечам. Голос у него рокочущий, довольный.*;;;;;
;….;2;;;;
2;Я - Картар Хрррака, дипломатический представитель своей республики. И от лица всего нашего народа, я хотел бы просить у вас прощения за произошедшее в моей приемной. Знайте, этот борк, кто бы он ни был, понесет тяжкое наказание за содеянное.;;;;;
;Да что вы! Пустое. Давайте перейдем к делам.;9;;;;
;Наказание? Зачем? Думаю, ему достаточно и раны.;3;;;;
;Вот касательно всего произошедшего. Мне кажется, что он специально пытался спровоцировать конфликт.;4;henry.taken;;;
3;*Картар гулко хохочет, но тут же вновь обретает серьезность* Позвольте решать это мне.;;;;;
;Хорошо. Ладно. Давайте перейдем к делам.;9;;;;
;Вот касательно всего произошедшего. Мне кажется, этот борк специально пытался спровоцировать конфликт.;4;henry.taken;;;
4;При всем моем к вам уважении…. Вы считаете себя таким знатоком моего народа, что можете судить, какое поведение было типичным, а какое нет? *Картар усмехается*;;;;;
;Очевидно, я был несколько самоуверен. Давайте перейдем к делам.;9;;;;
;Клиски поделились со мной информацией о борках. Не хочу выставлять себя профессионалом, но….;5;klisk.bork_info;;;
5;Хах. Если все люди такие как вы, то мне остается только удивиться уму вашего народа! *Картар приветливо скалится*  Вы такой информированный. И что же еще вам известно? Быть может поделитесь секретом кодекса клисков, или тайной Опустошителя? Или вы способны вытянуть официальное извинение из императора зорсан? ;;;;;
;А что не так кодексом клисков?;6;;;;
;Опустошитель? Что это такое?;7;;;;
;Извинение от императора зорсан?;8;;;;
;К сожалению, я не настолько информирован. Давайте перейдем к основной цели моего приезда.;9;;;;flag
6;Ну, давайте подумаем вместе. Торговцы вселенского масштаба проводят свои сделки исходя не из логической выгоды, а из какого-то кодекса, в котором сказано что и на что менять. Глупо.;;;;;
;Опустошитель? Что это такое?;7;;;;
;Извинение от императора зорсан?;8;;;;
;Ладно, хватит.  Давайте перейдем к основной цели моего приезда.;9;;;;flag
7;Опустошитель? А вы не знаете? О. Я не буду портить вам грядущие впечатления. *Картар снова скалится, есть в его теперешнем оскале что-то издевательское*;;;;;
;А что не так кодексом клисков?;6;;;;
;Извинение от императора зорсан?;8;;;;
;Ладно, хватит.  Давайте перейдем к основной цели моего приезда.;9;;;;flag
8;Недавно только закончился конфликт, который спровоцировали они…. Плюс ко всему, зорсаны - очень высокомерный народ. Считайте это бесплатным предупреждением.;;;;;
;А что не так кодексом клисков?;6;;;;
;Опустошитель? Что это такое?;7;;;;
;Ладно, хватит.  Давайте перейдем к основной цели моего приезда.;9;;;;flag
9;Дела. Хорошо. Я знаком с целью вашего прилета, и уже получил посланный с вашего корабля информационный пакет. Он был внимательно изучен. Плюс ко всему, исходя из вашегоповедения в приемной, мы уже вынесли свой вердикт.;;;;;
;А что не так с моим поведением в приемной?;10;;;;
;Я весь внимание.;13;;;;
