0;*Кабинет дипломатического представителя борков очень торжественный и немного пугающий. Подобное впечатление создается из-за обилия массивных резных элементов, расположенных буквально повсюду, от пола и до потолка. Сам хозяин, видимо, чувствует себя в подобной обстановке вполне отлично, вид у него бодрый.*;;;;
;Приветствую вас.;1;;;
1;*Борк встает во весь рост, представая каким-то уж совсем непропорционально широким — видимо, из-за костюма. Он кивает тебе и садится назад.* Присаживайтесь. Рад вас видеть… кха! *это очень похоже на попытку подавить смех*;;;;
;Я тоже рад.;2;;;
2;Можете называть меня Картар. Я уполномочен представлять мою страну в дипломатических делах. Сразу хочу извиниться за то, что произошло в моей приемной… уф… *и снова кряхтенье, очень похожее на сдерживаемый смех* Предлагаю вам изложить цель своего прибытия.;;;;
;Погодите с целью. Тот борк явно пытался спровоцировать конфликт, он вел себя очень нетипично. Это было неспроста.;3;henry.taken;;
;Хорошо. У меня дипломатическая миссия. Вы получили пакет информации с корабля?;8;;;
3;Ох ты. А вы можете судить, что типично для борков, а что — нет? Я думал, вы больше по танцам…;;;;
;Отличная шутка. Вот только почти не к месту. Давайте перейдем к серьезным делам. Вы получили информационный пакет с моего корабля?;8;;;
;Родина скажет «танцуй» — я отвечу «слушаюсь»! Хех. Нет. На самом деле, я купил нужную информацию у клисков и кое-что в поведении борков теперь понимаю.;4;klisk.bork_info;;
4;*борк стал более серьезным* Мудрое решение. Но, увы, вы ошибаетесь. Лучше бы вы купили информацию о кодексе клисков. Или об Опустошителе. *внезапно он кряхтит и чешет затылок* Не могу ничего придумать про зорсан. В общем, что-нибудь, чтобы с ними было легче общаться. *далее говорит тихо, почти неслышно, не удается разобрать.*;;;;
;Кодекс клисков? А что с ним такое?;5;;;
;Что за Опустошитель?;6;;;
;А что, с зорсанами тяжело общаться?;7;;;
;Что же, значит, мои деньги пропали зря. Перейдем к делам. Вы получили информацию с моего корабля?;8;;;
5;Ну-у-у… Поверьте, он очень нелогичен. Совершенно не подходит для существ, которые как бы... имеют репутацию вселенских торгашей.;;;;
;Что за Опустошитель?;6;;;
;А что, с зорсанами тяжело общаться?;7;;;
;Хорошо, порешим на том, что мои деньги пропали зря. Перейдем к делам. Вы получили информацию с моего корабля?;8;;;
6;А вы еще не знаете, что это? Да кто я тогда такой, чтобы портить вам впечатления? *борк скалится*;;;;
;Кодекс клисков? А что с ним такое?;5;;;
;А что, с зорсанами тяжело общаться?;7;;;
;Хорошо, порешим на том, что мои деньги пропали зря. Перейдем к делам. Вы получили информацию с моего корабля?;8;;;
7;Они считают себя лучше всех. Вообще всех. Да, поверьте, с ними тяжело общаться.;;;;
;Кодекс клисков? А что с ним такое?;5;;;
;Что за Опустошитель?;6;;;
;Что же, значит, мои деньги пропали зря. Перейдем к делам. Вы получили информацию с моего корабля?;8;;;
8;Да, пакет я получил. Более того, его уже успели изучить в соответствующих органах, и решение по этому вопросу уже готово.;;;;
;Я в предвкушении.;9;;;
9;Скажем так, вряд ли сотрудничество между нами будет особо продуктивным… но, по крайней мере, мы можем научиться лучше танцевать. *Картар хохочет во все горло, не пытаясь сдержаться*;;;;
;Несмотря на то, что я рад положительному ответу, сказать могу только одно: дурацкое у вас чувство юмора.;10;;;
10;Меня оно устраивает. *Картар снова скалится, показывая, кто тут хозяин положения* У вас есть что-то еще? Или эту встречу можно считать законченной?;;;;
;Нет, я обсудил все, что хотел. Когда вы пришлете на Землю вашего представителя?;-1;;;
;Есть кое-что. Моя планета находится в блокаде флота борков. Ими командует некий Хрррака. Он сказал, что «умные борки» могли бы дать ему некую «грабильню», и тогда он снимет блокаду. Вы в силах мне помочь?;11;bork_blockade.communicated;;hrakka_flag
;Очень важное дело. Моя планета в опасности — зорсаны собирают флот, дабы оккупировать ее. Мне не надо описывать последствия. Нам нужна помощь.;12;zorsan.war_preparations;;zorsan_flag
11;Вероятно, вашу планету блокируют пираты. К сожалению, ничем помочь не могу. На преступников и отщепенцев я влияния не имею. Что-то еще?;;;;
;Нет, я обсудил все, что хотел. Когда вы пришлете на Землю вашего представителя?;-1;;;
;Очень важное дело. Моя планета в опасности — зорсаны собирают флот, дабы оккупировать ее. Мне не надо описывать последствия. Нам нужна помощь.;12;zorsan.war_preparations && !zorsan_flag;;zorsan_flag
12;*борк хмурится* Это очень плохо. Плохо еще и потому, что любая серьезная помощь будет воспринята зорсанами как повод для претензий. Мы только недавно перестали с ними конфликтовать, так что новую войну позволить себе не можем.;;;;
;То есть вы ничем не поможете моему народу?;13;;;
13;Я этого не говорил. Перешлите мне необходимую информацию по этому поводу. Я передам ее на рассмотрение Совету Ветеранов. Решение примут они. Скажу сразу — будет это не ранее чем через два месяца.;;;;
;Это очень долго. Но выбирать не приходится. Надеюсь, вы нам поможете.;14;;;
14;Все может быть. У вас что-то еще?;;;;
;Есть кое-что. Моя планета находится в блокаде флота борков. Ими командует некий Хрррака. Он сказал, что «умные борки» могли бы дать ему некую «грабильню», и тогда он снимет блокаду. Вы в силах мне помочь?;11;bork_blockade.communicated && !hrakka_flag;;hrakka_flag
;Нет, я обсудил все, что хотел. Когда вы пришлете на Землю вашего представителя?;-1;;;
