0;*никто из твоих людей тебя ни о чем не спрашивает, либо давая отдохнуть, либо стесняясь это делать при борках. На Авроре к тебе подходит Генри* Вы в порядке, капитан?;;
;Более или менее.;1;
1;Как все прошло?;;
;Лучше, чем даже я представлял. Теперь Земля и Сипсия официально сотрудничают. Плюс, мы заключили посольский договор - через две недели борки пришлют своего представителя.;2;injure
;Ни шатко, ни валко. О сотрудничестве мы договорились, и своего представителя они к нам скоро пришлют…. Но, это, похоже, максимум, который пока удастся получить.;7;miss
;Отвратно, Генри. Похоже, сотрудничества с борками нам не видать.;11;kill
2;Замечательно, кэп. Как вам это удалось?;;
;Наверное, я хорошо себя показал. Плюс информация о Земле… да, надо выдать премию тому, кто собирал этот пакет.;3;
;Это из-за случая в приемной.;4;henry.taken
3;Тогда поздравляю вас, капитан. На Земле будут довольны.;;
;У них есть причина. Все, Генри. Отправляйся к себе. У нас у обоих куча дел.;-1;
4;Что вы имеете в виду?;;
;Ну, ты сам говорил, что тот борк явно вел себя необычно даже для борка. И потом, при разговоре с дипломатическим представителем, я понял - за всем этим стоит он.;5;
5;*Генри мгновенно все понимает* Так что, вы считаете, что это было своего рода испытанием? Этот дипломатический представитель хотел увидеть вашу реакцию… на что?;;
;Вот это-то мне и непонятно. Реакцию на агрессию? На опасность? Или на типичное поведение типичного глупого борка? Трудно понять. Ясно только то, что этот представитель - очень жесток. Хотя и приятен в общении.;6;
6;Значит тем, на кого он работает, очень повезло.;;
;Ты так считаешь? Не буду спорить, есть и другие дела. Полагаю, у тебя тоже.;-1;
7;Ну… это лучше, чем ничего. Наполовину пустой стакан - наполовину полон.;;
;Да, я тоже так считаю. Но, все могло быть и лучше. Интересно, в чем я облажался?;10;
;Так то оно так, но, мне кажется, что все из-за того случая в приемной.;8;henry.taken
8;Почему вы так решили?;;
;Из-за разговора с этой важной шишкой. Мне кажется, будто за всем этим стоял он. Может быть это было испытанием. Которое я, как видно, не прошел.;9;
9;Может быть. Борки, капитан, любят решимость и жесткость. Вот ее-то вы и не проявили.;;
;Это будет мне уроком на будущее…. Мне надо идти. Тебе тоже, я полагаю.;-1;
10;У вас будет время поразмыслить, капитан. Я должен идти в армейский отсек.;;
;Удачи, Лишкевич.;-1;
11;Это очень плохо. Почему вы… *Генри запинается* не смогли?;;
;Я не знаю! Совершенно! Идиотский день. Идиотская планета. Идиотские борки.;14;
;Мне кажется, что все из-за произошедшего в приемной.;12;henry.taken
12;Мне тоже так кажется. Борки любят решимость и жесткость, но убивать того борка не стоило.;;
;Он напал, и я защищался. К тому же, мне кажется, что за этим стоит сам дипломатический предствитель.;13;
13;Тем хуже для убитого бедняги. Тем лучше для тех, на кого он работает.;;
;Ты одобряешь его действия? Мда. Я не буду ничего говорить, и поразмыслю над этим на досуге, но…. Удачи, Генри.;-1;
14;Возможно, в будущем ваше общение с борками наладится.;;
;Я тоже на это надеюсь. Ладно, Генри, мне пора идти.;-1;
