0;Ка…к-к…к-капитан! *Гордон, как обычно - внезапен и эмоционален. Кажется нужно немного убавить звук.*;
;Да-да! Только… тише, ай. По ушам резануло.;1
1;И…и-звините. Я просто. Я так. Не помешал?;
;Нет, все в порядке. Так чего тебе?;4
;А что такое?;2
;Слегка. Я занят, Гордон.;3
2;Да… разговор. Просто разговор. Нет, я не хочу  мешать, если вы так… ну… заняты, вот.;
;Нет, все в порядке. Так чего тебе?;4
;Получается, занят. Давай потом?;3
3;Конечно, капитан. *кивнув, Гордон отключается*;
;Ему следует докладывать потише.;-1
4;Я… капитан. Это все так хорошо. Я рад, что я  работаю тут, на Авроре-2. Я хотел это сказать.;
;Кхм. Спасибо. Мне это действительно льстит. А в чем причина такого доклада?;5
5;Ну… я… мы просто видим столько нового. Столько всего необычного. Я и не знал, что космос может быть… *взмахивает руками* ТАКИМ!;
;Теперь ты это знаешь, Гордон.;6
6;Д-да-да. К-конечно. Просто… знаете… *Гордон нервничает, и его губы дрожат. В конце концов он выпаливает* Я хотел уйти, после того, как мы вернемся в первый раз! Еще тогда, когда была пресс-конференция!;
;*молчать, давая ему продолжить*;7
7;Я хотел в тот проект! В третью стадию! Я… хотел уйти.;
;Дай вспомнить. Ты упоминал про некоего Гейба…;8
8;Да. *Гордон кивает, и немного краснеет* Гейб. Просто Гейб. Это псевдоним. Он руководил проектом.;
;Так почему же не ушел?;9
;Я так и не понял тогда, что за проект? Какие-то стадии…;10
;А кто такой этот Гейб? Можно подробнее?;12
;Понятно. Я тоже рад, что ты работаешь на моем корабле… у тебя что-то еще?;15
9;Третьей стадии нет. Я не смог связаться с Гейбом. А потом мне понравилось работать тут. Нет, честно, понравилось!;
;Так почему же не ушел?;9
;Я так и не понял тогда, что за проект? Какие-то стадии…;10
;А кто такой этот Гейб? Можно подробнее?;12
;Понятно. Я тоже рад, что ты работаешь на моем корабле… у тебя что-то еще?;15
10;Первая стадия - изучение способов попадания в ПФП. Пространство с иными Физическими Параметрами.;
;Так что это такое-то?;11
11;"Вы это назвали ""параллельными мирами"" *Гордон морщится*. Неверно, в корне неверно! Но, можно и так.";
;Так почему же не ушел?;9
;Я так и не понял тогда, что за проект? Какие-то стадии…;10
;А кто такой этот Гейб? Можно подробнее?;12
;Понятно. Я тоже рад, что ты работаешь на моем корабле… у тебя что-то еще?;15
12;"Он… э-э-э… я не знаю, капитан. *Гордон пожимает плечами, и теребит кончик галстука* Просто все держалось на нем. Говорили, что проект все еще есть, работы ведутся, но Гейб завел его под такую секретность, что… *выражение лица ученого позволяет понять, что он имел в виду этим ""что""*";
;А как же он хотя бы выглядел?;13
13;Я не знаю! Никто из нас не знал! *ученый, сам того не замечая, смахнул со своего стола на пол какую-то тетрадь* Он не общался с нами напрямую. Единственный раз я случайно увидел его мельком, и запомнил лишь очки. Старомодные, в круглой железной оправе.;
;Загадочно.;14
14;*в ответ - растерянное пожатие плечами. Затем, Гордон поднимает с пола упавшую тетрадь. Кажется там какие-то формулы.*;
;Так почему же не ушел?;9
;Я так и не понял тогда, что за проект? Какие-то стадии…;10
;А кто такой этот Гейб? Можно подробнее?;12
;Так или иначе, я тоже рад, что ты работаешь на моем корабле… у тебя что-то еще?;15
15;К-кап-питан! Мне просто было стыдно. Вот. Надеюсь, что… э-э-эм… что…;
;Все в порядке. Продолжай работу… над чем ты там работаешь… в общем, продолжай.;16
16;*Гордон кивает, растерянно улыбается, и отключает камеру*;
;Ах, эти причуды гениев…;-1
