0;К-к-капитан?;;;;
;Хочу кое-что обсудить.;4;;;
;Доложи состояние лаборатории и персонала.;3;condition=ok;;
;Доложи состояние лаборатории и персонала.;997;condition=bad;;
;Доложи состояние лаборатории и персонала.;996;condition=very_bad;;
;Нет, ничего. Просто проверка. Конец связи.;-1;;-1;
3;*Гордон кивает, поправляя очки* Все в порядке, исследования идут нормально, дискомфорта не ис-с-спытываем. Мои отчеты, касающиеся исследований, уже у вас.;;;;
;Отлично. Рад слышать.;0;;;
997;Есть не…*запинается* небольшие проблемы, но работа идет. Хорошо бы прислать сюда пару ремонтников…;;;;
;Я отдам нужные приказы.;0;;;
996;Все плохо! Мы не можем работать! Лаборатория трещит по швам! Сделайте что-нибудь!;scientist_dialog_scared ;;;
;Отставить панику! Меры уже предпринимаются.;0;;;
4;Я готов слуш-шать.;;;;
;Хотелось бы поговорить о тебе.;5;;;
;Гордон, я уже передал тебе стенографию и запись моего разговора с садовником. Что скажешь?;-1;gardener.first_contact && !gardener_first_contact;;gardener_first_contact
;Ты уже знаешь, что на Зорсане меня пытались убить?;-1;zorsan.escape && !zorsan_escape;;zorsan_escape
;Вот представь себе — инопланетяне! И даже разумные! Конечно, они встречались еще первой «Авроре», но… я в некотором замешательстве. Что думаешь на этот счет?;-1;turn > 1000 && klisk.first_contact && !about_aliens;;about_aliens
;Ты уже знаешь, нас ждет война — зорсаны готовят флот для нападения на Землю.;-1;zorsan.war_preparations && !zorsan_war_preparations;;zorsan_war_preparations
;Что думаешь о Саре Фронтц и Генри Лишкевиче?;-1;!about_officers;;about_officers
;Этот синий шар в вашей лаборатории. Что нам с ним делать?;-1;energy_sphere.started && !energy_sphere;;energy_sphere
;Я думаю, не требуется объяснять происходящее. Где мы? И как нам тут воевать?;-1;inside.in_parallel_universe && !inside;;inside
;Вернемся к другим вопросам.;0;;;
5;Обо мне? *Гордон сцепляет пальцы и нервно похрустывает ими* Ч…ч-что такое?;;;;
;Расскажи о себе.;-1;!about_himself;;about_himself
;Насчет того, о чем мы говорили. Этот твой проект: первая и вторая фазы. Я хочу знать подробности.;-1;parallel_worlds=1;;parallel_worlds_2
;Какие впечатления от службы на корабле?;-1;turn > 200 && !about_service;;about_service
;Как проводишь личное время?;-1;turn>100 && !private_time;;private_time
;Вернемся к другим вопросам.;0;;;
