0;Они… э-э-э… хорошие люди… *Гордон чешет затылок.* Эм… ну…;
;Стоп, это что - все твое мнение?;1
1;Не… ну… спрашивайте конкретнее.;
;Давай про офицера Лишкевича.;2
;Что ты думаешь об офицере Фронтц?;4
;Нет, ничего не надо. Закончим. Конец связи.;-1
2;Он… профессионал. Я так думаю. Часто ходит к с-с-священнику. Всегда тренируется с с-солдатами, я видел.;
;Негусто.;3
3;Я никогда не обращал внимания. *Гордон выглядит виноватым.* Не знал, что вы з-с-с-захотите это знать.;
;Что ты думаешь об офицере Фронтц?;4
;Закончим. Конец связи.;-1
4;Часто к нам заходит по делам. В-в-веселая. Шутит. Я р-р-расказывал, как доктор Фишерман выкрасил кошку в синий цвет? Крас-с-ску дала ему она.;
;Хм. Выкрасить кошку в синий цвет… у гениев свои странности.;5
5;М…может быть. А про офицера Ф-ф-фронтц больше ничего сказать не могу.;
;Давай про офицера Лишкевича.;2
;Нет, ничего не надо. Закончим. Конец связи.;-1
