0;They're… uhh… good people… *Gordon scratches his neck.* Uhm… wel… ;scientist_dialog_puzzled 
;Wait, that's it? That's the entirety of your opinion? ;1
1;No, well… be more precise. ;
;Let's talk about Officer Liszkiewicz. ;2
;What do you think about officer Frontz? ;4
;No, it's okay. That's all for now. Over and out. ;-1
2;He's a… professional. I think. He goes to see the p-p-priest often. Always trains with the s-s-soldiers, I've seen it. ;
;Not a lot.;3
3;I've never thought about it. *Gordon looks guilty.* I didn't know you w-w-would want to know about it. ;
;What do you think about officer Frontz? ;4
;No, it's okay. That's all for now. Over and out. ;-1
4;She comes here often on business. She's f-f-fun. Jokes a lot. I t-t-told about the time when Dr Fischerman painted the cat blue, right? She was the one who gave him the p-p-paint.;
;Hm. Painting a cat blue… geniuses have their own quirks.;5
5;C… could be. And I can't tell you anything else about Officer F-F-Frontz.;
;Let's talk about Officer Liszkiewicz. ;2
;No, it's okay. That's all for now. Over and out. ;-1
