0;*Гордон задумчиво щурится* Я много работаю. Ну… иногда хожу в спортзал. Стреляю в тире. Зовут в кино еще, но редко.;
;Не слишком ли трудно постоянно работать?;1
;Спортзал?;2
;Стреляешь в тире? В твоем досье сказано, что ты не любишь насилие.;3
;Не любишь кино?;4
;Рад знать, что ты не скучаешь. Конец связи.;-1
1;А… а что в этом трудного? Это же моя работа.;
;Спортзал?;2
;Стреляешь в тире? В твоем досье сказано, что ты не любишь насилие.;3
;Не любишь кино?;4
;Рад знать, что ты не скучаешь. Конец связи.;-1
2;Да. Сидячий образ ж-ж-жизни негативно влияет на организм. Иногда надо р…развеиваться.;
;Не слишком ли трудно постоянно работать?;1
;Стреляешь в тире? В твоем досье сказано, что ты не любишь насилие.;3
;Не любишь кино?;4
;Рад знать, что ты не скучаешь. Конец связи.;-1
3;Но ведь не оружие убивает людей. Люди убивают людей, инопланетяне иногда. А с-с-стрельба меня успокаивает.;
;Не слишком ли трудно постоянно работать?;1
;Спортзал?;2
;Не любишь кино?;4
;Рад знать, что ты не скучаешь. Конец связи.;-1
4;Не… Просто оно очень глупое. Настоящий космос гораздо более ф-фантастичен, чем любая другая ф-ф-фантастика.;
;Не слишком ли трудно постоянно работать?;1
;Спортзал?;2
;Стреляешь в тире? В твоем досье сказано, что ты не любишь насилие.;3
;Рад знать, что ты не скучаешь. Конец связи.;-1
