0;*Гордон нервно ежится* Я же говорил… это секретно…;;
;Но что-то же ты мне в прошлый раз рассказал.;1;
1;*осторожный кивок*;;
;Значит, кое-что ты можешь рассказать. Надо же мне знать, чем ты занимался раньше?;2;
2;Я говорил. Миры с другими физическими условиями. Вы назвали их параллельными, но это не так! Они не такие! Они никак не связаны с нашим измерением, они абсолютно другие!;;
;Расскажи подробнее про сам эксперимент.;5;
;Типа того, в котором мы побывали в ТОТ раз? Я имею в виду... кхм… ты помнишь.;3;inside.completed
3;Да! Да! Этот мир не параллелен нам, такого термина вообще нет. Просто в некоторые моменты... ослабевают… *Гордон что-то показывает на пальцах* Вы не поймете... Некоторые связи ослабевают, и в такие миры можно проникнуть! Целью того эксперимента, где участвовал я, был анализ воздействия таких миров на разного типа материалы нашего мира.;;
;А о том измерении, в котором побывали мы, вам было известно?;4;
4;*Гордон отрицательно качает головой*;;
;Расскажи подробнее про сам эксперимент.;5;
5;Три ф-ф-фазы. И наш главный… Гейб…;;
;Расскажи про первую фазу.;6;
;Расскажи про вторую фазу.;7;
;Расскажи про третью фазу.;8;
;Гейб?;9;
;Хм. Это все, что ты можешь сказать?;10;
;Думаю, пока с меня хватит объяснений. Закончим на этом.;-1;
6;Первая фаза эксперимента. Воздействие иномирных физических условий на неодушевленные объекты. Практической пользы от этого не было, поэтому Гейб санкционировал переход ко второй фазе.;;
;Расскажи про вторую фазу.;7;
;Расскажи про третью фазу.;8;
;Гейб?;9;
;Хм. Это все, что ты можешь сказать?;10;
;Думаю, пока с меня хватит объяснений. Закончим на этом.;-1;
7;Вторая фаза. Воздействие иномирных физических условий на разные типы животных. Это дало огромный толчок развитию некоторых медицинских технологий, таких как… эмм… имплантация, в основном, и классическое клонирование. Снятие количеств клеточного деления.;;
;Расскажи про первую фазу.;6;
;Расскажи про третью фазу.;8;
;Гейб?;9;
;Хм. Это все, что ты можешь сказать?;10;
;Думаю, пока с меня хватит объяснений. Закончим на этом.;-1;
8;Третья фаза. Гейб пропал, и эксперимент закрыли. Засекретили окончательно. Третья фаза подразумевала помещение человека в условия другого мира. Это было бы… *Гордон мечтательно вздыхает* великолепно.;;
;Расскажи про первую фазу.;6;
;Расскажи про вторую фазу.;7;
;Гейб?;9;
;Хм. Это все, что ты можешь сказать?;10;
;Думаю, пока с меня хватит объяснений. Закончим на этом.;-1;
9;Он был… старой закалки. Настоящий ученый, очень упертый и умный. Я очч-чень его уважаю. Скорее всего, теперь он работает в абсолютной секретности. И третья фаза уже прошла. Без меня.;;
;Расскажи про первую фазу.;6;
;Расскажи про вторую фазу.;7;
;Расскажи про третью фазу.;8;
;Хм. Это все, что ты можешь сказать?;10;
;Думаю, пока с меня хватит объяснений. Закончим на этом.;-1;
10;Это с-с-секретные с-с-сведения. Я… просто больше не могу.;;
;Расскажи про первую фазу.;6;
;Расскажи про вторую фазу.;7;
;Расскажи про третью фазу.;8;
;Гейб?;9;
;Думаю, пока с меня хватит объяснений. Закончим на этом.;-1;
