0;Что рассказать? Я… й…й… я не знаю, что говорить! Вы же читали досье, этого мало?;
;У тебя в досье ничего не сказано про семью.;1
;Ты работал на раскопках UAC? Та самая UAC, которая пыталась колонизировать Марс?;4
;В досье говорится, что ты бывал на МКС-34.;6
;А если без досье? Расскажи о себе своими словами.;8
;Не бери в голову. Я передумал. Конец связи.;-1
1;У меня нет семьи.;
;Почему?;2
2;*Гордон тихо кашляет в кулак.* Я… у меня никого нет. Родителей и… остальной семьи. Я сирота.;
;Оу. Извини, что заговорил на эту тему.;3
3;*Гордон кивает.*;
;Ты работал на раскопках UAC? Та самая UAC, которая пыталась колонизировать Марс?;4
;В досье говорится, что ты бывал на МКС-34.;6
;А если без досье? Расскажи о себе своими словами.;8
;Не бери в голову. Я передумал. Конец связи.;-1
4;*кивок.* В Алжире, это было в Алжире. Мы нашли материалы якобы внеземного происхождения. Проводили над ними эксперименты.;
;Какие эксперименты?;5
5;Облучение, резонирование… эм… да много чего, в общем-то. Но ни к чему это не привело. Компания в очередной раз потеряла деньги. ;
;У тебя в досье ничего не сказано про семью.;1
;В досье говорится, что ты бывал на МКС-34.;6
;А если без досье? Расскажи о себе своими словами.;8
;Не бери в голову. Я передумал. Конец связи.;-1
6;*кивает.*;
;И что конкретно ты там делал?;7
7;Эксперименты с животными в основном. Насекомые, рептилии, рыбы. ;
;У тебя в досье ничего не сказано про семью.;1
;Ты работал на раскопках UAC? Та самая UAC, которая пыталась колонизировать Марс?;4
;А если без досье? Расскажи о себе своими словами.;8
;Не бери в голову. Я передумал. Конец связи.;-1
8;Я… капитан, я не знаю, чч-что говорить. *Гордон нервно пожимает плечами, что выглядит как резкое дергание ими вверх и вниз.* Я не очень силен в… этом. В смысле, я хороший ученый. Доктор наук в области теоретической физики, и профессор-микробиолог. А ч-что еще рассказать, я и не знаю...;
;Похоже, будто бы вся твоя жизнь - это научная работа.;9
9;*Гордон опять пожимает плечами.* Нн-наверное.;
;У тебя в досье ничего не сказано про семью.;1
;Ты работал на раскопках UAC? Та самая UAC, которая пыталась колонизировать Марс?;4
;В досье говорится, что ты бывал на МКС-34.;6
;Не бери в голову. Я передумал. Конец связи.;-1
