0;Я читал. Может, я ошибаюсь, но… *Гордон морщится* Как сказать… Вы называли это странным. Но оно не странное. Это существо мне таким не показалось.;
;Почему это существо не показалось тебе странным?;1
;Я хотел спросить другое. Садовник сказал, что видел «Аврору-1». Как думаешь, это правда?;2
;Что за Философия Пути?;6
;Хорошо. Я рад, что знаю твое мнение на этот счет. Конец связи.;-1
1;Мы же его поняли. З-значит оно не так уж сильно отличается от нас в психологическом плане.;
;Я хотел спросить другое. Садовник сказал, что видел «Аврору-1». Как думаешь, это правда?;2
;Что за Философия Пути?;6
;Хорошо. Я рад, что знаю твое мнение на этот счет. Конец связи.;-1
2;Я бы не с-с-стал принимать это всерьез. Нам не до этого.;
;Да. Точно. Ты прав.;3
;Ты, конечно, прав, но разве не хотелось бы помочь своим?;4
;Гордон, мы должны спасти наших товарищей.;5
3;*Гордон кивает*;
;Почему это существо не показалось тебе странным?;1
;Что за Философия Пути?;6
;Хорошо. Я рад, что знаю твое мнение на этот счет. Конец связи.;-1
4;Но… как же тогда остальная планета?..;
;Почему это существо не показалось тебе странным?;1
;Что за Философия Пути?;6
;Хорошо. Я рад, что знаю твое мнение на этот счет. Конец связи.;-1
5;Но… если мы попытаемся найти их, то как? Мы… мы просто пропадем! Мы подведем всех! К-капитан. Это было бы… нерационально.;
;Почему это существо не показалось тебе странным?;1
;Что за Философия Пути?;6
;Хорошо. Я рад, что знаю твое мнение на этот счет. Конец связи.;-1
6;Похоже, это к-к-какой-то устав поведения, жизненный стиль… может, даже религиозного плана. Кто бы мог подумать? Казалось бы, в к-к-космосе этому не место…;
;Почему это существо не показалось тебе странным?;1
;Я хотел спросить другое. Садовник сказал, что видел «Аврору-1». Как думаешь, это правда?;2
;Что за Философия Пути?;6
;Хорошо. Я рад, что знаю твое мнение на этот счет. Конец связи.;-1
