0;Да. Нам п-п-придется нелегко. *Гордон выглядит сосредоточенным.* Я не думал, ч-что все будет так, к-капитан.;
;Ты о чем?;1
1;Что это выльется в… во все вот это вот. Исследовательская миссия… в войну. Я… капитан… это проблема мира? Или это мы такие?;
;Что?;2
2;Это мир агрессивен, или дело в нас? В л… людях? Мы несем вв-войну всюду, куда не попадем?;
;Это не мы такие, Гордон. Таков мир. Природа.;3
;Нельзя ответить однозначно.;4
;Ты говоришь, словно бы наша агрессия - что-то плохое. Не были бы такими - были бы мертвы.;5
3;Мир? П… природа?.. *Гордон качает головой.* Я не уверен…;
;Трудно сказать точно.;6
4;П…пожалуй.;
;Трудно сказать точно.;6
5;Да… но… разве хорошо, когда все начинания перетекают в войну? К…капитан, это же… ужасно.;
;Трудно сказать точно.;6
6;Капитан! Не отключайтесь. Я х-хотел узн…ать. Вы… не боитесь? Смерти? Проигрыша?;
;А кто не боится?;7
;Думаю… и да и нет.;8
;Нет. Мне не страшно.;9
7;Никто… *Гордон покачивает головой и смотрит в пол.* М… мне надо работать. Куча дел, надо все успеть.;
;Конечно, Гордон. Конец связи.;-1
8;Это х-хорошо. Если вы не боитесь, то и нам не так страшно… *Гордон кивает.* Мне надо работать. Куча дел, надо все успеть.;
;Конечно, Гордон. Конец связи.;-1
9;Ничего не бояться - это хорошо или плохо? Я не знаю… наверное… не знаю… Мне бы так, как вам. К-капитан, мне надо работать. Куча дел, нужно все успеть.;
;Конечно, Гордон. Конец связи.;-1
