0;*совершенно внезапный вызов от Генри* Капитан? Вы… *он слегка мнется* Вы можете говорить?;
;Конечно.;3
;А что такое?;2
;Нет, извини. Давай потом?;1
1;Да нет… что вы. Пустое. Извините, что помешал, капитан. *отключается, не дав тебе ответить*;
;Странно.;-1
2;Разговор. *больше он не распространяется* Так вы можете говорить?;
;Конечно.;3
;Нет, извини. Давай потом?;1
3;Я по поводу того фильма, что мы смотрели в кинотеатре. Военный.;
;«Черта»?;4
4;Да. Да, именно он… Он меня… Этот человек, который… *Генри играет желваками и щурится. Нервничает?* Он ведь хотел сделать всем как лучше. Спасти их всех, в этом городе, в Дубае. Но вышло, что главным злодеем оказался он сам.;marine_dialog_puzzled
;Да, вышло все очень плохо.;5
5;А в конце он простил себя. *Генри молчит* Как вы думаете, это было правильно?;
;В смысле?;6
6;Эм…  я задам вопрос иначе. Смогли бы вы простить себя, зная, что из-за ваших действий, пусть и имевших благие намерения, погибли и погибнут как минимум сотни людей? Детей? Намерения действительно благие.;marine_dialog_puzzled
;Возможно, тебя удивит мой ответ, но да. Смог бы.;7
;Не знаю, Генри. Не могу ответить. Я в такие ситуации не попадал… Хотя… Нет, не попадал.;7
;Нет. Я бы не смог.;7
7;*Генри кивает и более желания говорить не выказывает*;
;Так… к чему ты это все?;8
8;Я смотрел этот фильм и вспоминал войны. Те, в которых участвовал. Конфликты.;
;И…;9
9;Да так, капитан… просто. Сначала я был молод, а потом — не очень. Знаете, кто-то когда-то сказал, что война никогда не меняется. А кто-то — что она наборот, изменилась. Я считаю, это все неверно. Война не меняется, но она меняет людей. Ты прошел через нее, и ты стал другим. Хуже или лучше? *постучав пальцем по Библии на столе, Генри добавляет* Скорее всего, второе. Да.;marine_dialog_puzzled
;Странно, что тебя так растрогал этот фильм.;10
10;Возможно. Просто, понимаете… этот выбор в конце… Было бы хорошо, будь оно так на самом деле. Так легко.;marine_dialog_puzzled
;Ты слишком серьезно все воспринял.;11
11;Возможно. Но… все же… накатило. Не обращайте внимание, капитан. Это все пустое. Просто старику приспичило поговорить. *отключается*;
;Это было странно.;-1
