0;Да. Что-то не так?;;;
;Почему именно католик?;1;;
1;Именно католик? Кажется, я вас понимаю. Я слышал, что скоро новые религии будут образовываться каждую пару секунд. *усмехается* Шутка ли, а? *Снова серьезен. Генри смотрит в камеру с выражением легкой грусти на лице.* Старое доброе католичество, с его раем для праведников и вечным адом для грешников. Хочется верить, что хотя бы на том свете будет справедливость.;;;
;Этот мир по-твоему несправедлив?;2;;
;И к какой категории относишь себя ты?;3;;
2;Местами.;;;
;Грешники, праведники… И к какой категории относишь себя ты?;3;;
3;Попробуйте догадаться? Сорок лет греха за свое отечество. Сорок лет наград за это. Остается надеяться лишь на то, что хотя бы ТАМ будет справедливость.;;;
;Я тебя не совсем понимаю…;4;;
;Этот мир по-твоему несправедлив?;2;;
4;Не знаю, как объяснить. *всем своим видом Генри показывает, что более продолжать этот разговор не хочет*;;;
;Ладно. Поговорим о другом.;-1;;
;Странно… В любом случае у меня есть другие дела. Конец связи.;-1;;-1
