0;Что я думаю? С позиции просто человека — это очень необычный опыт для всех нас. *Генри пожимает плечами* С точки зрения военного — надо пойти проинспектировать орудийные системы. Говори мягко, но всегда держи в руке большую дубину. Слышали о таком?;;;
;Не очень приятно говорить с тем, кто потрясает у тебя перед носом дубиной. Какими бы мягкими не были слова.;1;;
;Действительно, в данном случае лучше перестраховаться. Говори мягко, но держи в руках… Ммм… какая хорошая фраза.;2;;
;Рано или поздно нам придется сразиться, я уверен. Поэтому да — без дубины не обойтись.;3;;
1;Я с вами согласен. *Генри кивает* Разрешите начать инспекцию?;;;
;Нет, есть еще кое-что.;-1;;
;Упертый ты, Лишкевич. Может, это и к лучшему. Разрешаю, отправляйся. Конец связи.;-1;;-1
2;Фраза неплохая. Разрешите начать инспекцию?;;;
;Нет, есть еще кое-что.;-1;;
;Конечно. Конец связи.;-1;;-1
3;Конечно. Рано или поздно придется. Но лучше бы не пришлось. Я могу приступать к инспекции?;;;
;Нет, есть еще кое-что.;-1;;
;Конечно. Конец связи.;-1;;-1
