0;Я кажется уже говорил, что не хочу обсуждать мое прошлое. Для всего остального есть досье, капитан.;;;
;Я не об этом. Просто расскажи о себе. Считай это психологическим опросом.;1;;
;Мда. Ну, ладно. Тогда поговорим о другом.;-1;;
;Печально. В таком случае оставляю тебя в покое. Конец связи.;-1;;
1;А. Вы об этом. *Генри кивает.* Меня зовут Генри Лишкевич, и мне пятьдесят три года. Женат, трое детей: старшей двадцать семь, младшему восемь. Всю сознательную жизнь служу в армии. ;;;
;Пятьдесят три года. Не считаешь себя слишком старым для всего этого? Извини, если чем задел.;2;;
;Расскажи про семью.;4;;
;Что можешь рассказать об армии?;6;;
;Кратко и по делу, типичный военный. Послушал бы дальше, но других дел полно.;-1;;
;Остановимся на этом, у меня дела. Конец связи.;-1;;-1
2;*отрицательно качает головой.* Нет, что вы, все в порядке. Будь я слишком старым - меня бы списали, нет? Да, старое золото редко блестит. Но оно все еще золото.;;;
;Поэтично.;3;;
3;В самом деле? *улыбается.* Быть может я наконец старею.;;;
;Расскажи про семью.;4;;
;Что можешь рассказать об армии?;6;;
;Кратко и по делу, типичный военный. Послушал бы дальше, но других дел полно.;-1;;
;Остановимся на этом, у меня дела. Конец связи.;-1;;
4;А что конкретно рассказать? В голову ничего не идет, капитан. С Мэганн я познакомился рано, в двадцать три. Спустя год мы сыграли свадьбу. И… *Генри мнется, пожалуй, впервые делая это так открыто.* Не знаю. Наверное это все?;;;
;А дети?;5;;
5;Дети… *снова мнется.* Это дети. Я их люблю, и они меня любят. Но с армией у меня сложилось как-то получше.;;;
;Пятьдесят три года. Не считаешь себя слишком старым для всего этого? Извини, если чем задел.;2;;
;Что можешь рассказать об армии?;6;;
;Кратко и по делу, типичный военный. Послушал бы дальше, но других дел полно.;-1;;
;Остановимся на этом, у меня дела. Конец связи.;-1;;-1
6;"Сначала я был во флоте. USS ""Хайнлайн"", слышали же о таком? Который в честь писателя. Потом попал в SEAL, лейтенантом.  Там служил вплоть до перевода в ""Ребят Марсинко"". И так вплоть до момента, пока меня не приписали к Авроре-2.";;;
;Ух. Наверное это было очень захватывающе?;7;;
7;Я не буду скрывать, капитан, многое рассказывать нельзя. Можно ли считать это захватывающим? Каждый решает сам для себя. Наверное можно. Если бы я так не считал, то не был бы военным, нет?;;;
;Пятьдесят три года. Не считаешь себя слишком старым для всего этого? Извини, если чем задел.;2;;
;Расскажи про семью.;4;;
;Что можешь рассказать об армии?;6;;
;Кратко и по делу, типичный военный. Послушал бы дальше, но других дел полно.;-1;;
;Остановимся на этом, у меня дела. Конец связи.;-1;;-1
