0;Капитан?;;;;
;Хочу кое-что обсудить.;4;;;
;Доложи состояние вверенного имущества.;996;condition=very_bad;;
;Доложи состояние вверенного имущества.;997;condition=bad;;
;Доложи состояние вверенного имущества.;3;condition=ok;;
;Нет, ничего. Просто проверка. Конец связи.;-1;;;
2;В таком случае жду вас у себя в кабинете. Он сразу после основной казармы, мимо не пройдете.;;;;
;Отлично. Конец связи, Лишкевич, сейчас я буду.;-1;;;
3;*Генри отвлекается от камеры, смотрит в другой экран, и затем быстро докладывает* Армейский состав укомплектован полностью. Бригада быстрого реагирования - тоже. Основные боевые системы - в порядке. Мы готовы воевать, если говорить по-простому, капитан. Более подробные данные вы можете получить из моего отчета, он уже в вашем распоряжении.;;;;
;Отлично. Рад слышать.;0;;;
997;*Генри спешно высматривает что-то в другом экране* Частичная недоукомплектация армейского состава, капитан. Хотите знать мои рекомендации? Лучшим вариантом было бы возвращение на Землю, и допнабор новых солдат. Но, рациональное функционирование возможно и без них. Подробные данные, как обычно, в моем отчете. Он уже у вас.;;;;
;Спасибо, Лишкевич. Я подумаю.;0;;;
996;*Генри хмурится, всем своим видом показывая, как обстоят дела* Большие потери, капитан. Убедительно рекомендую возвращаться на Землю. В конфликты не вступать, проведение операций отложить. Таково мое мнение, сэр.;;;;
;Хорошо. Я тебя понял.;0;;;
4;Я весь внимание, капитан.;;;;
;Хотелось бы поговорить о тебе.;5;;;
;Лишкевич, ты знаешь содержание моего разговора с этим инопланетянином, Садовником. Мне нужна твое мнение.;-1;gardeners.first_contact;;gardener_dialog
;На Зорсане меня пытались убить.;-1;zorsan.escape;;zorsan_embassy
;Вот представь себе - инопланетяне! И даже разумные! Конечно, они встречались еще первой Авроре, но… я в некотором замешательстве. Что думаешь на этот счет?;-1;klisk.first_contact;;first_contact
;Ты уже знаешь, нас ждет война - зорсаны готовят флот, для нападения на Землю.;-1;zorsan.war_preparations;;zorsan_war_preparations
;Что думаешь об офицерах Фронтц и… эм… как же его фамилия…;-1;;;about_officers
;Вернемся к другим вопросам.;0;;;
5;*Генри удивлен.* Слушаю.;;;;
;Я по поводу того, о чем шла речь во время экскурса, Лишкевич. Эти все твои военные дела в прошлом. Почему ты не любишь о них говорить?;-1;;;henry_secrets_1
;Лишкевич, расскажи о себе?;-1;;;henry_private_life
;Скучаешь по семье?;-1;zorsan.escape;;henry_family
;В досье сказано, что ты католик.;-1;;;henry_religion
;Как проводишь личное время?;-1;turn>100;;henry_private_time
;Вернемся к другим вопросам.;0;;;
