0;Я вас понял, капитан. Что касается Гордона, то… как ни странно - он типичный ученый. Даже слишком типичный.;;;
;Слишком типичный?;1;;
1;*Генри кивает.* Необычное поведение, легкое заикание, зацикленность на своем деле. Стереотипы словно с него и писали. Считаю ли я это нормальным? Не совсем. Считаю ли я Гордона плохим членом команды? Нет, он отлично проявляет себя.;;;
;Но все же нормальным ты его не считаешь.;2;;
2;*Генри снова кивает.*;;;
;А что насчет Сары Фронтц?;3;;
3;Кажется, ей крупно повезло: попасть на такое место да в таком молодом возрасте. Впрочем, я знаю, что она считается гением в своей области. Так что ничего удивительного нет, капитан. *немного помолчав, Генри добавляет.* А еще она не работает по субботам, и постоянно угощает всех чем-то национальным. Даже нам приносила какое-то печенье. Очень вкусное.;;;
;Так она хороший член экипажа?;4;;
4;Хороший. Но с этой своей религией странности не лишена. Нет, не то. Я тоже верю в Бога, я католик, но… *Генри морщится кривит губы.* Забудьте. Я слишком подозрителен. В конце концов все мы тут со странностями. И, извините, но и вы тоже, капитан.;;;
;Ага, вот оно как? Я это учту. Но давай пока забудем о моих странностях, и обсудим другие дела.;-1;;
;Внезапно. Тогда мне стоит пойти и порассуждать в одиночестве, чем же таким я странный. Конец связи, Лишкевич.;-1;;-1
