0;Как и все, капитан. Читаю книги, смотрю фильмы, занимаюсь спортом… Кстати говоря, заходите к нам в спортзал. Там отличный бассейн.;
;Любишь почитать?;1
;Что посоветуешь из фильмов?;2
;Зайти в спортзал? Это намек на то, что мне надо привести себя в порядок?;3
;Рад, что ты не скучаешь. А теперь о другом.;-1
1;Не очень. В основном американскую классику. *Генри лезет рукой под стол и достает оттуда — вот уж удивительно! — бумажную книгу. Она не в лучшем состоянии. На обложке можно разобрать: «Стейнбек. Избранное».* Мне нравится Стейнбек. Каждое слово там, где ему надо быть.;
;А что насчет фильмов?;2
;Зайти в спортзал? Это намек на то, что мне надо привести себя в порядок?;3
;Рад, что ты не скучаешь. А теперь о другом.;-1
2;Много хороших фильмов. Люблю пересматривать «Черту». Тот фильм про отряд солдат в Дубае.;
;Подробнее?;4
4;Отряд солдат должен был выйти из разрушенного города, но их капитан отправился вглубь, нарушил приказ. Намерения у него были хорошие, но все это в итоге привело к окончательному уничтожению города. Много смертей, к концу в живых из отряда остается только капитан. Фильм кончается хорошо, и мне это нравится. Капитан сломался, но смог через все это пройти, и даже выжил. Для этого надо быть очень сильным человеком.;
;Любишь почитать?;1
;Зайти в спортзал? Это намек на то, что мне надо привести себя в порядок?;3
;Рад, что ты не скучаешь. А теперь о другом.;-1
3;*Генри вежливо улыбается* Вот уж нет, капитан. Кто-кто, а вы в отличной форме. Никогда такого не видел. Наверное, у вас хороший обмен веществ. Но спортзал лишним не бывает.;
;Любишь почитать?;1
;Что посоветуешь из фильмов?;2
;Рад, что ты не скучаешь. А теперь о другом.;-1
