0;Очень жаль.;;;
;Что?;1;;
;Я не о том. Мы к ней готовы?;2;;
;Понятно. В таком случае - другой вопрос.;-1;;
1;Связь сбоит? Нет? Я сказал - очень жаль. *Генри повторил это громче* С другой стороны - это закономерно.;;;
;Я не о том. Мы готовы к войне?;2;;
2;Мы? *Генри усмехается* Готовы. Но нам неизвестны технологии противника, их военный потенциал. Если учесть то, что я уже успел увидеть - нам придется тяжело.;;;
;Ты слишком негативно мыслишь. Человечество переживало войны не раз и не два.;3;;
;Мрачно, но реализм - это всегда хорошо.;7;;
;Упадничеством занимаешься, Лишкевич? Ну-ну.;9;;
3;"Человечество и раньше с успехом вырезало само себя. Можете называть это своего рода военным онанизмом, эдакое: ""Тихо сам с собою"". *Генри едко улыбается, смотря исподлобья.* А теперь нам предстоит первое космическое противостояние. Мы раньше никогда не воевали в открытом космосе. Ко всему прочему добавьте еще то, что у нас есть лишь один боевой корабль дальнего действия - Аврора 2. Ну, как, я все еще слишком мрачно мыслю?";;;
;Мы все равно победим.;4;;
;Вынужден согласиться.;6;;
4;Да-да. Конечно победим. *кивает Генри.*;;;
;Сарказм?;5;;
5;Нет, что вы. Я предельно честен… Знаете, тема себя исчерпала. У вас что-то еще, капитан?;;;
;Да. Есть одно дело.;-1;;
;Нет, можешь приступать к своим обязанностям. Конец связи.;-1;;-1
6;Вынуждены. Впрочем, не отчаивайтесь. Шансы есть всегда… У вас что-то еще, капитан?;;;
;Да, конечно. ;-1;;
;Нет, ничего. Конец связи.;-1;;-1
7;Не беспокойтесь, реализм - привилегия высоких чинов, хех. *Генри усмехнулся.* Нам это положено по должности. Вы хотели знать, готовы ли мы? Что же. Нам предстоит воевать с противником, который уже наверняка имел опыт боевых действий в открытом космосе. Может быть даже неоднократный. В то время как у нас этого опыта нет, а даже если бы и был, то единственный боевой корабль дальнего радиуса действия это...;;;
;Аврора 2.;8;;
8;Точно. Вот видите. И что, как считаете, готовы ли мы? Или реализм тут неуместен?;;;
;Мы все равно победим.;4;;
;Вынужден согласиться.;6;;
9;Прикажете меня расстрелять перед строем?;;;
;Шутишь. А в досье ты таким шутником не представлен.;10;;
10;А что еще мне остается? Перед лицом войны с противником, который наверняка неоднократно воевал в космосе, в то время как у нас такого опыта нет, да и боевой корабль всего один - Аврора 2… Что мне остается, кроме как шутить?;;;
;Мы все равно победим.;4;;
;Вынужден согласиться.;6;;
