0;*вызов от Сары. Странно. Она не докладывает, но сигнал вызова есть.*;
;*принять вызов*;1
1;*очевидно это какой-то сбой системы, и вызов произошел сам собой. Камера включилась, и показывает комнату Сары. Она стоит прямо, неестественно вытянувшись, и молится. Ее лица не видно - стоит к камере спиной. Можно заметить лишь то, на что она смотрит. Это фотография какого-то бородатого старика в черной шляпе.*;
;*не мешать*;2
;Эм… Сара. У тебя какие-то неполадки с камерой.;8
2;аЭль агадоль агибор веанора, Эль эльйон гомэль хасадим товим, веконэ аколь везохэр хасдэй авот, умэви гоэль ливнэй венээм лемаан шемо беаава. *Сара глубоко вдыхает, немного покачиваясь взад и вперед, после чего продолжает читать дальше*;
;*не мешать*;3
;Сара? Не хочу мешать, но у тебя что-то с системой связи…;8
3;*длится это достаточно долго - примерно полчаса, если не больше. Тем не менее, смотреть на это интересно. У Сары мелодичный, с хрипотцой (но женской) голос, и умения выразительно декламировать ей не занимать. Все заканчивается фразой:* веарева лА-донай минхат Йеуда вИрушалаим кимэй олам ухшаним кадмонийот. *Сара берет в руки фотографию, и смотрит на нее долгим взглядом, который скрыт от камеры. Она что-то шепчет. Слов не расслышать, понятен лишь общий тон: злой, раздраженный. В конце концов, она ставит фотографию лицевой стороной к стене.*;
;*молчать*;4
;Сара? У тебя что-то со связью. Вызов сам собой произошел. Я не хотелмешать тебе молиться.;8
4;*Сара включает какую-то музыку. Что-то старое, электроника. Пританцовывает, легко покачивая бедрами. Улыбается. Танцевать она не умеет, но смотрится мило. Уже секунд через тридцать, что-то вспомнив, она отбегает за пределы камеры. Звук открывшейся двери, а затем - воды из под крана. Сара снова вбегает в зону охвата камеры, и начинает... раздеваться?!*;
;*ждать*;5
;Сара! Эм… черт возьми… у тебя камера включена!;8
5;*комбинезон. Затем стандартное войсковое нижнее белье. Она так и не отключила музыку, и скидывать одежду продолжает в легком ритме танца, расшвыривая вещи по комнате.*;
;*слишком поздно давать о себе знать*;6
6;*у нее определенно близкое к мальчишескому тело. Худая, почти тощая, однако с упругостью мышц проступающей через кожу. От полностью андрогинного сложения, Сару отличают типичные женские черты тела. Маленькая, но крепкая грудь, упругие ягодицы. Сара улыбается, и все еще танцуя взмахивает головой. Черные волосы спадают назад, полностью открывая смеющееся лицо. Она раскинула руки, и кружится вокруг себя, легко перебирая ногами.*;
;*дальше*;7
7;*заканчивается песня, и танец Сары тоже заканчивается. Она берет полотенце из шкафчика. Теперь, когда она не двигается, можно кое-что заметить. Ее шрамы. Их много. На спине, на руках, на ногах. Как застарелые, так и нанесенные давно, но не настолько, чтобы почти сгладиться. Это не пулевые ранения, не ножевые удары. Невозможно понять, откуда они, похожие на мазки кисти плохого художника... Сара выходит из поля зрения камеры. Звук закрывающейся двери.*;
;Странные шрамы… ее кто-то бил? А если да, то кто, и как можно бить настолько сильно?.. Странно…;-1
8;А?! Что?!! Кэп, какого…;engineer_dialog_angry
;Успокойся! Говорю же, неполадки с камерой! Или со связью! Вызов от тебя произошел сам собой!;9
9;*Сара щурится, и быстро что-то проверяет. Пристально глядит в объектив. На ее губах появляется типичная для нее легкая улыбка* И действительно. Какой-то сбой… надо провести диагностику систем… кэп, извините за то, что произошло.;
;Тут нет твоей вины.;10
10;Ага. *кивает* Но все равно. *торопится, и слегка смущена* Конец связи. *отключается*;
;Надо же. На удивление короткий разговор вышел. И все же… да ладно.;-1
