0;Трудно это слышать. *Сара немного сникает.* Все очень плохо?;
;Наверное. Я думаю, что нам необходимо просить помощи у остальных инопланетян. Может это нам что-то и даст.;1
1;А что, сами мы одолеть зорсан не сможем?;
;Шансы этого крайне малы.;2
;Я не знаю, Сара. В любом случае, со сторонней помощью будет меньше жертв.;3
;Что за чепуха? Конечно сможем!;4
2;Мрачно мыслите, кэп. Но вы хотя бы честны… *Сара вздрагивает.*;
;Тебе страшно?;5
3;Да. Но ведь все равно, погибнут многие…;
;Тебе страшно?;5
4;Мне кажется, вы слегка бахвалитесь, кэп… *Сара вздрагивает.* Вот мне бы так…;
;Тебе страшно?;5
5;Я… мне… неуютно. Я представила себе все это, и… ведь зорсаны действительно умеют воевать! Что нас ждет?;
;Я уже сказал, что собираюсь делать. Не надо паниковать раньше времени, Сара.;6
6;Кэп, разве вы… *Сара выглядит так, словно прямо сейчас начнет истерить.*;
;Фронтц! Это приказ. Успокойся.;7
7;Да… конечно…;
;Успокойся и не паникуй. Еще ничего не случилось, еще ничего не известно. Держи себя в руках. Если это повторится - тебе пропишут успокоительное.;8
8;*Сара кивает.* Прошу извинить. *На лице у нее по прежнему смятение, но выглядит она бодрее, чем пару минут назад.* Действительно. Накатило.;
;Вот и отлично. Постарайся не принимать это так близко к сердцу. Конец связи. ;-1
