0;В самом деле? Ох, ну, пусть будет так! Не знаю, правда, что уж тут такого…;
;Как думаешь, почему именно ты?;1
1;Разве мы об этом уже не говорили? *Сара морщится, вспоминая.* Не помню… ладно! Почему я? Все просто - я очень хороший инженер. Может быть даже гений, кэп. Разве это не отлично, когда на корабле работает гений?;
;Не слишком зазнаешься?;2
;И много вас там таких, талантливых?;4
;А как конкретно ты попала на Аврору?;6
;Понятно. Неплохое у тебя самомнение, Фронтц. Может быть и зря, но говорить сейчас нет времени. Конец связи.;-1
2;*улыбнувшись, Сара отрицательно мотнула головой.* Не-а. А что, вы бы хотели, чтобы вместо меня тут была какая-нибудь столетняя развалина, которая последний раз в живой движок лезла лет пятьсот назад? Э-э-э, не-е-е, кэп, это не так работает. Для инженера, и уж тем более для хорошего, главное - это практический опыт! Я могу починить все что угодно. Хоть танк голыми руками. А из того, что останется, собрать новый танк. Вы когда-нибудь меняли гусеницу на траках в сорокаградусную жару?;
;Э-э-э… не менял.;3
3;А я меняла! *Сара говорит это с гордостью.* В некоторых аспектах, это ценнее тысячи прочитанных книг.;
;И много вас там таких, талантливых?;4
;А как конкретно ты попала на Аврору?;6
;Понятно. Неплохое у тебя самомнение, Фронтц. Может быть и зря, но говорить сейчас нет времени. Конец связи.;-1
4;Там - это в кибуцах? Мой брат - снайпер, хороший. Так и остался в армии, вроде даже сейчас майор… а так... все. Отец пишет мне. Он не говорил, что во Флаве кто-то сумел чего-то добиться. Я у них там главная знаменитость. *Сара усмехается, но теперь эта усмешка грустна.*;
;Что-то не так с отцом?;5
5;Нет, с отцом все в порядке. Просто он очень-очень строгий. Ортодоксальный иудей. ;
;Не слишком зазнаешься?;2
;И много вас там таких, талантливых?;4
;А как конкретно ты попала на Аврору?;6
;Понятно. Неплохое у тебя самомнение, Фронтц. Может быть и зря, но говорить сейчас нет времени. Конец связи.;-1
6;Как и все мы - заполнила анкетку, бросила в коробочку, и потом меня выбрали. Удивительно, уже какой год на дворе, а эти придурки все еще пользуются бумажными опросниками… Проверить миллионы этих листков - жуть, да? И выбрали меня.;
;Лучшая из лучших?;7
7;Заметьте, это ваши слова. *улыбается, смотрит прищурясь.*;
;Не слишком зазнаешься?;2
;И много вас там таких, талантливых?;4
;А как конкретно ты попала на Аврору?;6
;Понятно. Неплохое у тебя самомнение, Фронтц. Может быть и зря, но говорить сейчас нет времени. Конец связи.;-1
