0;Я — Сара Фронтц. У меня пять братьев и пять сестер, папа и мама еще. Я родилась в кибуце Флава, служила в армии, потом меня отправили в институт, я получила докторскую степень… Кэ-э-эп! Это нудистика. Я отличный инженер, вот и все.;
;Кибуц?;1
;Расскажи про армию?;3
;Каким было твое студенчество?;5
;Надо же, я разговариваю с доктором наук.;7
;Дальше-то что?;10
;Ладно, на этом остановимся. Конец связи, Сара.;-1
1;Да, кибуц. Это такая… э-э-э… деревня, где все живут сообща и работают сообща. У нас еще это все было с религиозным уклоном. Мама говорила, что жили в городе, но потом отец увез нас из-за работы…;engineer_dialog_puzzled
;А кем работал твой отец?;2
2;Кэп, да я уже и не помню, честно сказать. *Сара пожимает плечами и смотрит в камеру не отрываясь* Давно дело было.;
;Расскажи про армию?;3
;Каким было твое студенчество?;5
;Надо же, я разговариваю с доктором наук.;7
;Дальше-то что?;10
;Ладно, на этом остановимся. Конец связи, Сара.;-1
3;Люблю армию, там было весело. Меня научили стрелять и чинить танки. Я рассказывала, как однажды мы застряли вдали от базы и целый день меняли у танка гусеницу? А жара была — сорок градусов! А нас-то — шесть девчонок! ;
;И чем все кончилось?;4
4;Сварились и умерли. *корчит рожицу, но тут же поправляется* Капитан, а вы как думаете? Поменяли, конечно же!;
;Кибуц?;1
;Каким было твое студенчество?;5
;Надо же, я разговариваю с доктором наук.;7
;Дальше-то что?;10
;Ладно, на этом остановимся. Конец связи, Сара.;-1
5;Более скучным, чем армия. Но полезным. Именно там я начала изобретать. Кэп, а вы знаете, что я принимала участие в проектировке наших гиперпрыжковых двигателей?;
;Ты их изобрела?!;6
6;Кхм! *Сара делает вид, что поперхнулась* Я сказала «принимала участие». Над их созданием работал целый институт, и я в том числе. Что-то над преобразованием энергии и прорывом сквозь слабеющее гравитационное поле звезд… Долго говорить, куча слов. В общем, да, я довольна своим студенчеством.;
;Кибуц?;1
;Расскажи про армию?;3
;Надо же, я разговариваю с доктором наук.;7
;Дальше-то что?;10
;Ладно, на этом остановимся. Конец связи, Сара.;-1
7;А я разговариваю с капитаном, которому уже кое-где на Земле ставят памятники при жизни. И кому из нас лучше?;
;Серьезно, ставят?;8
8;Точно не знаю, но не удивилась бы. Впрочем, это не мерило славы. Мерило славы — это когда про тебя сочиняют анекдоты. Или снимают порно.;
;Порно про меня? Хм…;9
9;Кэп, не увлекайтесь, мы еще не закончили. *Сара ехидно кривит губы*;engineer_dialog_happy
;Кибуц?;1
;Расскажи про армию?;3
;Каким было твое студенчество?;5
;Надо же, я разговариваю с доктором наук.;7
;Дальше-то что?;10
;Ладно, на этом остановимся. Конец связи, Сара.;-1
10;Работала, изобретала, а потом — бац! И я тут. Такие дела.;
;Как-то очень коротко.;11
11;Не люблю вспоминать прошлое. Лучше смотреть вперед, да?;
;Кибуц?;1
;Расскажи про армию?;3
;Каким было твое студенчество?;5
;Надо же, я разговариваю с доктором наук.;7
;Дальше-то что?;10
;Ладно, на этом остановимся. Конец связи, Сара.;-1
