0;Ох, кэп… Я поняла только то, что этот тип видел первую «Аврору». А дальше — какая-то путаница. Это же инопланетянин. Может быть, нормально, что мы его не понимаем?;
;Так что скажешь?;1
1;Да ничего не скажу. *Сара пожимает плечами* Может, он видел «Аврору-1», а может, и нет. Нам все равно сейчас не до этого, так? Что же касается остального — повторюсь, кэп, я ничего не поняла. Вся это Философия Пути показалась мне дикой мутью.;engineer_dialog_puzzled 
;Понятно, Сара. Да, ты права. У нас сейчас другое задание.;2
;Да, я понимаю. Но все же… если он видел «Аврору-1», это могло бы помочь в поисках…;3
;Ты предлагаешь нам бросить своих?;4
2;*Сара улыбается и кивает*;engineer_dialog_happy 
;На этом и закончим. Конец связи.;-1
3;Что поделаешь. Планета важнее.;
;Да. Конечно. Закончим на этом.;-1
4;Нет, кэп, вы чего? Я бы и сама хотела помочь нашим, но ведь планета важнее! Как-то это было бы глупо. Сам экипаж «Авроры-1» не одобрил бы.;
;Наверное. Но я все равно считаю, что своих бросать нельзя. Закончим на этом. Конец связи.;-1
