0;я не могу обсуждать действи€ капитана.  апитан так решил, руководству€сь своим опытом, обстановкой и уставом. ƒело подчиненного Ч выполн€ть.;;;;
;я не хотел бы этого делать, но вы с √енри просто не оставили мне выбора.;1;;;
;–ад, что ты это понимаешь. » постарайс€ впредь не забывать о субординации.;-1;;;
1;ћы сделали полезное дело с минимальным риском. » за это получили вот такое вот вознаграждение?;;;;
;Ќе накажи € вас Ч завтра кто-нибудь из ученых √ордона взорвет реактор, чтобы проверить какую-нибудь свою теорию. “оже из самых благих побуждений.;2;;;
2; ак € уже сказала, вы Ч капитан. » вольны делать на этом корабле все, что не противоречит законам. я могу идти? ћен€ ждут дела.;;;;
;Ќадеюсь, не очередна€ попытка взорвать мой корабль?;3;;;
;“ы непробиваема. ћожешь идти.;-1;;;
3;≈сли бы € хотела это сделать, то давно бы уже сделала. *ќна быстро выходит в коридор. ѕохоже, последнее замечание ее пор€дком обидело.*;engineer_dialog_angry;;;
;...;-1;;;insult
