0;Тут просто замечательно! Никогда бы не подумала, что на космическом корабле так интересно работать. Знаете, мы недавно подкараулили Флинта в душе и отрубили ему там гравитацию! Вуу-ух, это было нечто!;
;Забавно. И всегда у тебя там так весело?;1
;Кто такой Флинт?;2
;Отключили гравитацию? Это не опасно?;3
;То есть, в течение рабочего времени, ты предпочитаешь дурачиться?;5
;Мда. Я даже не знаю, что сказать. А ничего не скажу. Конец связи, Фронтц.;-1
1;Главное - знать, что отключить и в какой последовательности! А шутка про теннисный шарик в кислородной трубке скафандра не устареет никогда! *Тут же добавляет.* Шучу я, шучу! Какой шарик, вы чего? Он же туда не пролезет.;
;Кто такой Флинт?;2
;Отключили гравитацию?Это не опасно?;3
;То есть, в течение рабочего времени, ты предпочитаешь дурачиться?;5
;Мда. Я даже не знаю, что сказать. А ничего не скажу. Конец связи, Фронтц.;-1
2;Главный механик в третьем отсеке техобслуживания. Он в душ заходит, а мы ему - бзыньк! Пять минут крутился волчком, а вокруг шарики воды. Злился, конечно, страшно. Но потом ничего, отошел.;
;Забавно. И всегда у тебя там так весело?;1
;Отключили гравитацию? Это не опасно?;3
;То есть, в течение рабочего времени, ты предпочитаешь дурачиться?;5
;Мда. Я даже не знаю, что сказать. А ничего не скажу. Конец связи, Фронтц.;-1
3;Не, вы что, кэп. Аврора на это рассчитана! Наш корабль на многое рассчитан. Уж поверьте.;
;Например?;4
4;Мы можем запитываться от некоторых звезд. И даже летать в атмосфере, знаете? Первая Аврора такого не могла! *задумавшись, Сара добавляет.* А еще можно четыре года не опустошать накопители отходов. Бытовые, химические, биологические… фу…;
;Забавно. И всегда у тебя там так весело?;1
;Кто такой Флинт?;2
;То есть, в течение рабочего времени, ты предпочитаешь дурачиться?;5
;Мда. Я даже не знаю, что сказать. А ничего не скажу. Конец связи, Фронтц.;-1
5;Кэп, вы чего? Корабль нормально функционирует, значит мы работаем нормально. Что такого-то? *Сара немного сникла.*;
;Да нет, ничего. Извини.;6
;Просто мне это кажется странным.;7
;На работе надо работать.;8
6;Может вы и правыЮ в самом деле, не стоило так откровенно валять дурака.*Сара виновато улыбается.*;
;И всегда у тебя там так весело?;1
;Кто такой Флинт?;2
;Отключили гравитацию? Это не опасно?;3
;Мда. Я даже не знаю, что сказать. А ничего не скажу. Конец связи, Фронтц.;-1
7;Все люди странные. А особенно мы. И вообще, Флинт, когда остыл, недовольным не выглядел! Он сказал, что это был один из лучших видов душа, который он только принимал. Вот.;
;И всегда у тебя там так весело?;1
;Кто такой Флинт?;2
;Отключили гравитацию? Это не опасно?;3
;Мда. Я даже не знаю, что сказать. А ничего не скажу. Конец связи, Фронтц.;-1
8;Слушаюсь, капитан. *губы Сары сжаты в узкую полоску.*;
;И всегда у тебя там так весело?;1
;Кто такой Флинт?;2
;Отключили гравитацию? Это не опасно?;3
;Мда. Я даже не знаю, что сказать. А ничего не скажу. Конец связи, Фронтц.;-1
