0;Ты вовремя вернулся. Первая партия колонистов готова к отправке.;;
;Они достаточно подготовлены?;1;!colony_search.explored_fully
;Они достаточно подготовлены?;2;colony_search.explored_fully
;Что мне нужно будет делать?;3;
1;Мы готовили их исходя из собранной вами информации о той планете. Так что это вопрос к тебе — достаточно ли вы ее исследовали.;;
;Что мне нужно будет делать?;3;
2;Мы учли твои донесения насчет агрессивной местной фауны и снабдили колонистов дополнительным вооружением и средствами защиты. Хорошо, что вы как следует там все изучили, иначе им бы пришлось туго.;earth_puzzled_dialog;
;Что мне нужно будет делать?;3;
3;Сейчас мы погрузим колонистов и их оборудование на твой корабль. Твоя задача — доставить их до места и высадить. Дальше смотри сам. Конечно, неплохо было бы помочь им там обустроиться, лишние рабочие руки всегда пригодятся. Вопросы?;;
;Кто будет заниматься их снабжением в дальнейшем? Я?;4;
;Каковы вообще планы по развитию этой колонии?;5;
;Нет, мне все ясно. ;6;
4;Пока ты. Но мы тут изо всех сил напрягаем промышленность и скоро начнем серийное производство межзвездных транспортных кораблей. Первый опытный образец уже почти готов. Так что в скором времени доставкой грузов колонистам займутся они.;earth_puzzled_dialog;
;Ясно;3;
5;Первоочередная задача — развернуть жилье и наладить на месте производство товаров первой необходимости и продуктов питания, чтобы обеспечить максимальную автономность. Параллельно с этим колонисты будут производить подробное исследование планеты и звездной системы.;;
;Ясно;3;
6;И да, не пытайся их припахать к корабельным делам, в пути они будут заняты подготовкой своего собственного снаряжения.;earth_puzzled_dialog;
;Ну вот, только хотел их отправить реактор чистить.;-1;
