0;*шлюзовой отсек. Последние приготовления. Лидер колонизаторов - грузный мужчина лет пятидесяти, с небольшим брюшком. Он не похож на человека, привыкшего к преодолению невзгод* Капитан, вижу, вы пришли нас проводить.;;
;Точно. Ну, как, готовы к тяготам и трудностям?;1;colony_search.explored_fully
;Конечно. Привезите мне какой-нибудь суверничик.;3;!colony_search.explored_fully
1;А то. Та зверушка, которую вы  привезли с собой… *он прихохатывает, и обтянутое костюмом брюшко слегка трясется* Если там вся фауна такая, то нам будет нелегко. Хорошо, что мы вооружились до зубов. Как считаете, это все, эта планета ресурсы, это того стоит?;;
;Конечно стоит, черт возьми.;5;
;Стоит ли того, чтобы за это бороться? Да. Стоит ли того, чтобы за это умирать? Это уже будет видно.;2;
;Ничто не перевесит смерть человека.;7;
2;*улыбка сходит с пухлого лица* Я вас не понял.;;
;А и не надо. Вам уже вылетать пора.;-1;
3;Пару цветочков, и шкурку зайчика?;;
;Можно и так.;4;
4;*мужчина хохочет, и заходит в шаттл. Дверь за ним закрывается. Лучше бы тебе покинуть шлюзовой отсек.*;;
;…;-1;
5;Ха! Я тоже так считаю! *он хлопает в ладоши* Удачи вам! Знаете, это прекрасное начало, капитан!;;
;Начало чего?;6;
6;*он уже не слышит тебя. Дверь шаттла закрывается.*;;
;*выйти из шлюзового отсека*;-1;
7;Зря вы так считаете, капитан. Порой без этого никак.;;
;Что поделать, такой вот я человек.;9;
9;*лидер колонистов качает головой, и заходит в шаттл. Закрывается дверь. Пора покинуть шлюзовой отсек*;;
;…;-1;
