0;Эй! Я тут!! Спасите!;
;Еще один. Вы как? В порядке?;1
1;Я жив, но еле-еле… На нас напали хищники…;
;И вы все разбежались, знаем.;2
2;Нам стоило бы держаться вместе…;
;Умение приходит с опытом. Вам придется пойти с нами, а потом мы все вместе вернемся в колонию. Готовы идти?;3/4 (4 - в случае бонуса)
3;Конечно же! Спасибо, что спасли меня!;
;Скажете, когда выберемся отсюда.;-1
4;Да, но… тут неподалеку какие-то наземные залежи руды. Хорошо бы найти их, и запомнить место…;
;Не обещаю, но постараюсь вам помочь. Это было бы полезно и для  лаборатории Авроры-2.;-1
