0;Приветствую гостей с Земли. Рад, что вы прилетели проведать нас. Вы по делу, или что-то другое? Может помочь хотите?;;;;
;Мы выполнили задание по поиску спелеологов.;27;colony.dungeon_quest.completed=0;;
;Мы выполнили задание по поиску пропавшей группы.;29;colony.lost_group_quest.completed=0;;
;Мы выполнили задание по отстрелу животных.;33;colony.hunt_quest.completed=0;;
;Капитан приказал проверить, как вы тут.;1;!colony_news;;
;Капитан приказал проверить, как вы тут.;2;colony_news=1;;
;Капитан приказал проверить, как вы тут.;3;colony_news=2;;
;Капитан приказал проверить, как вы тут.;4;colony_news=3;;
;Капитан приказал проверить, как вы тут.;5;colony_news=4;;
;Капитан приказал проверить, как вы тут.;6;colony_news=5;;
;Капитан приказал проверить, как вы тут.;7;colony_news>5;;
;Если вам нужна помощь, мы можем задержаться.;21;;;
;Нет, нам приказано лишь удостовериться в том, что вы живы, и уходить не задерживаясь. Помочь не можем.;-1;;;
1;*разводит руками* А что, не видно? Дела идут ни шатко ни валко. Неделю назад какая-то местная крыса нам прогрызла главный лабораторный компьютер, и это хорошо, что у нас еще есть запасной! А так, все в порядке.;;;;
;Как это она так умудрилась?;8;;;
2;*указывает на окно* Гляньте. Посмотрите-посмотрите. Что, удивлены? Да! У нас тут образовался подземный провал, и половина центра связи ухнула вниз! Но вроде бы все цело. Еще, мы засекли какие-то инопланетные корабли в атмосфере, но они просто вели наблюдение, ничего такого. Жизнь идет своим чередом. Все в порядке.;;;;
;Тогда как же вы с нами связались, если у вас центр связи под землю провалился? Да и не провалился он. Вон же стоит.;10;;;
3;Все на удивление тихо и спокойно. Даже последний из набегов местного зверья мы отбили на ура. Так что… все гладко.;;;;
;Это хорошо.;12;;;
4;Так-то все нормально, но у нас человек погиб. Два дня назад, позавчера.;;;;
;Сожалеем. Очень жаль.;13;;;
5;У нас тут кислотный дождь час назад был. Он был фиолетовый. Очень красиво! Как жаль, что вы этого не видели!;;;;
;Дождь из кислоты?;15;;;
6;Да ничего такого. Загрузите нам новых книг?;;;;
;Это не к нам надо обращаться. Мы - просто вас проверить пришли.;16;;;
7;Да все в порядке тут у нас. Хотите остаться до вечера, парни? У нас сегодня совместный просмотр кино, и торжественный ужин.;;;;
;По какому поводу?;19;;;
8;Проглядели! Забежала в исследовательский центр, прогрызла компьютер, и тяпнула за ногу Сьюзен Хонг. Сьюзи упала в обморок, представляете? Мда… тут у нас не соскучишься. Ну, ладно. У вас какое-то дело, парни, или что-то еще? А может помочь хотите?;;;;
;Капитан приказал проверить, как вы тут.;9;;;
;Если вам нужна помощь, мы можем задержаться.;21;;;
;Нет, нам приказано лишь удостовериться в том, что вы живы, и уходить не задерживаясь. Помочь не можем.;-1;;;
9;Я же вам только что все рассказал. Вы что, глухие?;;;;
;Капитан приказал проверить, как вы тут.;9;;;
;Если вам нужна помощь, мы можем задержаться.;21;;;
;Нет, нам приказано лишь удостовериться в том, что вы живы, и уходить не задерживаясь. Помочь не можем.;-1;;;
10;Ну… *он смущен.* Не провалился. Просто сильно осел. Но все равно. Это же знаете сколько лишней работы? Теперь придется искать в чем тут дело. И если не повезет - придется переносить колонию.;;;;
;Черт. Должно быть неприятно.;11;;;
11;Еще как… Ладно. Вы по делу, или просто так? Может помочь хотите?;;;;
;Капитан приказал проверить, как вы тут.;9;;;
