0;I sincerely welcome our guests from Earth. I'm glad that you've come to visit us. Are you here on business? Maybe you want to help us?;;;;
;We've found all the speleologists.;27;colony.dungeon_quest.completed=0;;
;We've found the lost group.;29;colony.lost_group_quest.completed=0;;
;We've hunted the animals.;33;colony.hunt_quest.completed=0;;
;The Captain told us to check how you're doing.;1;!colony_news;;
;The Captain told us to check how you're doing.;2;colony_news=1;;
;The Captain told us to check how you're doing.;3;colony_news=2;;
;The Captain told us to check how you're doing.;4;colony_news=3;;
;The Captain told us to check how you're doing.;5;colony_news=4;;
;The Captain told us to check how you're doing.;6;colony_news=5;;
;The Captain told us to check how you're doing.;7;colony_news>5;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
1;*He shrugs.* Can't you see? We're not doing great. A week ago some local rat chewed all the way through our main lab computer. We're lucky to have a replacement one! Otherwise, we're okay.;;;;
;How did it manage to do that?;8;;;
2;*He points to the window.* Look. Come on, take a look. What, are you surprised? Yeah! We have a cave-in, and half of our communication center dropped down there! But I don't think anything broke. We also clocked some alien ships in the atmosphere, but they were just watching, no funny business. Life goes on. We're okay.;;;;
;How did you contact us if your comms center fell underground? And it didn't, actually. There it is.;10;;;
3;It's surprisingly quiet and calm. Even the last local animal raid was taken care of all right. So… it's all good.;;;;
;That's great.;12;;;
4;We're doing okay, but someone died here. Two days ago, the day before yesterday.;;;;
;We're sorry. We really are.;13;;;
5;We had an acid rain an hour ago. It was purple. Very beautiful! Too bad you couldn't see it.;;;;
;It rained acid?;15;;;
6;Not much to tell. Can you upload some more books for us?;;;;
;Talk to someone else about that. We just came to check up on you.;16;;;
7;We're doing okay here. You guys want to spend the night? We have a film screening and a banquet.;;;;
;What's the occasion?;19;;;
8;We missed it! It ran into the research center, chewed through the computer and bit Susan Hong's leg. Susie fainted, can you imagine? Yeah, this place is something else. Right, then. Did you have any business, guys? Or maybe you wanted to help?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
9;I just told you. Are you deaf?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
10;Well… *He blushes.* It didn't fall through. It just sagged a lot. But still, that's a lot of extra work! Now we have to find out why it happened. And in the worst case scenario, we'll have to move the colony.;;;;
;Wow. That's unpleasant.;11;;;
11;Tell me about it… Right. Anything else? Maybe you want to help?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
12;Definitely. Did you want to ask something else or did you come here to offer some help?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
13;Professor Cusie was a good man. But he shouldn't have strayed from the rest of the group. You know, guys, we wanted to send his body to Earth at first. But we only managed to find his hand and a part of his collarbone. So we decided to bury Cusie here. He's the only client of our only cemetery now. *He shakes his head.* God damn it.;;;;
;Uhhhh… Yeah. God damn it.;14;;;
14;Did you have any more business? Or did you want to help out?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
15;No, just unusually acidic water. It won't make you burn, but it'll definitely give you a rash. Otherwise, we're all good. I don't even have anything to tell you... Did you have anything else? Or maybe you wanted to help?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
16;Yeah, yeah… It sucks! There's no fiction to read!;;;;
;Don't you have a great supply of movies and video games?;17;;;
17;Young man, even in times like these there are people who love to read!;;;;
;Okay, we'll tell the Captain.;18;;;
18;That's great. So, why have you come here? Do you want to help us out?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
19;Another six months on this planet! A great occasion, isn't it? So, are you staying?;;;;
;We can't. We have orders.;20;;;
20;Too bad, but you can't go against your orders. In that case… why have you come here? You want to help us out a bit?;;;;
;The Captain told us to check how you're doing.;9;;;
;If you need help, we could stay for a bit.;21;;;
;No, our orders are to make sure you're alive and leave right away. We can't help you.;-1;;;
21;*The colonist leader's meaty lips stretch into a smile.* The place we live in, we always need help. If you want, you could help us find some missing people, in the forest or in a cave. But we can do that ourselves, that's pretty easy. We'd rather you hunt some animals. Or helped us repel an attack.;;;;
;Missing people? What's with that cave?;22;!colony.dungeon_quest && !colony.dungeon_quest.completed;;
;People have gone missing in the forest?;24;!colony.lost_group_quest && !colony.lost_group_quest.completed;;
;Tell me more about hunting animals.;25;!colony.hunt_quest && !colony.hunt_quest.completed;;
;Who's going to attack you, then?;26;;;
;We can't help you with anything today, our orders won't let us. We have to go.;-1;;;
22;A group of researchers, speleologists, has gone missing in one of the local caves. Again, we can find them ourselves, but help is always welcome, right? I don't want to risk my men. And if you save the scientists, you'll get valuable scientific data.;;;;
;It's better to risk someone else's men, right? Okay. We'll help you.;999;;;colony.dungeon_quest
;Find them yourselves, then. Maybe we could help you with something else?;23;;;
23;Of course. It's your call.;;;;
;Missing people? What's with that cave?;22;;;
;People have gone missing in the forest?;24;;;
;Tell me more about hunting animals.;25;;;
;Who's going to attack you, then?;26;;;
;We can't help you with anything today, our orders won't let us. We have to go.;-1;;;
24;Yeah. Our field guys were supposed to report in about seven hours ago. We can find them ourselves, we have the experience, but I'd be glad to accept your help. The animals are pretty fierce in these woods, and look at the armor and weapons you've got! If you save the scientists, you'll get the scientific data you need. I know exactly what they want from you back on Earth, huh?;;;;
;You're right. We do need the data, and we do have decent weapons. Show us the way.;999;;;colony.lost_group_quest
;Maybe there's something else? Screwing around in the woods isn't really our thing.;23;;;
