0;Экипаж корабля Торгового флота Земли приветствует вас! Отрадно увидеть соотечественника в такой дали.;;;
;Нам нужны ресурсы для ремонта и производства. Может, у вас что-нибудь найдется?;1;;
;Торговый флот? Я хотел бы узнать о нем побольше.;2;;
;Да, я тоже рад встрече. Но нам уже пора.;-1;;
1;Конечно. Помощь вам — одна из наших приоритетных задач. Сейчас вышлем вам все, что есть.;;;
;Отлично, ждем.;-1;;1
2;С радостью отвечу на ваши вопросы.;;;
;Какие задачи у Торгового флота?;3;;
;Как он связан с проектом «Аврора»?;4;;
;Будете ли вы помогать нам при встрече?;5;;
;У меня больше нет вопросов.;0;;
3;Торговый флот создан для осуществления межзвездной торговли и дипломатии, а также снабжения человеческих поселений вне Солнечной системы.;;;
;Я хочу спросить еще.;2;;
;Понятно, вопросов больше нет.;0;;
4;Наш флот был создан благодаря вам, для поддержания установленных вами дипломатических и торговых контактов, с использованием добытых вами технологий. Но напрямую с организацией «Аврора» мы не связаны и ей не подчиняемся, у нас другие задачи. Вы, исследователи, открываете для нас новые миры. Мы, торговцы и дипломаты, осваиваем их.;;;
;Я хочу спросить еще.;2;;
;Понятно, вопросов больше нет.;0
5;Поможем, чем сможем. Мы всегда готовы поделиться с вами ресурсами для ремонта, хотя не ожидайте многого — лишнего у нас нет. Ну и поддержать в бою мы вас тоже постараемся при необходимости, хотя мы все-таки торговцы, а не солдаты.;
;А что насчет помощи людьми?;6
;Я хочу спросить еще.;2
;Понятно, вопросов больше нет.;0
6;Увы, нет. Это у вас там на борту огромный экипаж, а у нас тут лишь необходимый для управления кораблем минимум. Дать вам людей мы не сможем.;
;Жаль. Я хочу еще спросить…;2
