0;*с экрана видеосвязи снова смотрит Гордон. Если раньше он выглядел подавленным, то сейчас его состояние просто невозможно описать. Он выглядит, как человек очень четко осознающий свою смерть, и смирившийся с этим* Все… мы не сможем…;
;Что такое?!! Почему мы не прыгаем?!;1
1;*не отвечает*;
;Гордон!;2
2;*все еще не отвечает. Что-то шепчет одними лишь губами.*;
;Офицер! Я приказываю начать доклад!!;3
3;*крик и резкий тон подействовал. В себя Гордон не пришел, но по крайней мере теперь он разговаривает* Гравитационные возмущения… звезда расширяется, понимаете? *он говорит тихо и спокойно, даже не заикается, как с ним бывало раньше* И границы системы тоже. Мы просто не можем их догнать. Прыгнуть отсюда мы тоже не можем...;
;И что делать?! Сара, мы можем разгоняться быстрее?;4
4;Нет, шеф. Мы тут делаем все что можем и выжимаем из двигателей все 110 процентов, выбрали все запасы. Еще сильнее раскочегарить их не выйдет!;
;Гордон, у тебя есть какие-нибудь идеи?;5
5;*Гордон собирается уже ответить, но кто-то его отвлекает. Это группа ученых. Их столько, что все они не вмещаются в экран. Разговора не слышно, но судя по тону и настрою становится понятно, что похороны они еще не празднуют. Гордон появляется в экране снова, на этот раз он даже улыбается* К-капитан! Звездный ветер!! Сильный звездный ветер!! Понимаете?!! Это же просто, как я сам не понял!! Звездный ветер!!;
;Гордон… скорее. Времени мало.;6
6;А… д-д-да. Звездный ветер. Вот. Сейчас он очень сильный, так как звезда готовится взорваться… *он кашляет, и смущается. Обращается в сторону.* не совсем взорваться, но я говорю, чтобы понял наш к-к-капитан… да.  *снова в камеру* Если мы будем следовать в самом сильном потоке, то наверняка достигнем границы системы, и спасемся.;
;Это как с парусными кораблями?;7
7;П-ппочти. Типа того. Чтобы вы легче понимали, да.;
;И как следовать этому ветру?;8
8;Это нелегко. Долго выдерживать такое корпус Авроры-2 не сможет… *Гордон постукивает пальцем по очкам* Но времени должно хватить… выбора нет… точно, нет. Только так. Капитан, потоки звездного ветра легко дислоцируются нашими приборами. Останется лишь следовать им, и постепенно набирать скорость.;
;В таком случае - начинаем. Надеюсь… ох, черт. Надеюсь. Удачи, Гордон.;9
9;Удачи вам, капитан.;
;…;-1
