0;Хмм, дай подумать…;;
;…;80;flag_good
;…;180;flag_ok
;…;280;flag_bad
80;Что же. Ты хорошо поработал. Доказательство того, что ты на это место назначен не зря. Думаю…. *Мартан щурится, и улыбается* Думаю, можно рассказать.;;
;Что рассказать?;81;
81;Все вооружение и детали, которые нам передали твои инопланетяне, пойдут на улучшение Вояджера. Я уже упоминал о нем, помнишь?;;
;Да. При том так и не ответил, что же это такое.;82;
82;Вояджер - это линкор. Больше Авроры-2 почти в три раза, с новейшим вооружением основанным на принципе рельсотрона…. Венец наших военных технологий.;;
;Звучит круто. Но представить трудно.;83;
83;И с инопланетной техникой, Вояджер станет нашим тузом в рукаве.;;
;Тузом, способным уничтожить всю вражескую флотилию?;84;
84;Может быть. А ты сомневаешься?;;
;Сомневаюсь. Но выбора нет. Раз с этим закончено, какие будут приказания?;85;
85;Постарайся что-либо узнать о планах захватчиков. Но не забывай про разведку и исследования. Можешь идти, и, да. Там тебе из научного отдела что-то новое передали. Я приказал отправить на Аврору-2, в техническую часть.;;
;Хоть что-то хорошее. Ладно. Я ухожу.;-1;
180;Вижу, ты хорошо поработал, хотя до идеала и далеко. Ладно. Думаю, тебе интересно знать, как будет использована полученная помощь.;;
;Как же?;81;
280;Положение дел отвратительно. Кто виноват - ты, или инопланетяне, не знаю…. Это уже не важно. Не все еще потеряно.;;
;Не все?;86;
86;Не все. У нас есть шанс. И этот шанс - Вояджер. Я тебе уже рассказывал о нем.;;
;Какой-то корабль, да. Помню.;87;
87;Не просто корабль. Космический линкор, с новейшим вооружением. Очень мощная штука, но он у нас один, да и сомневаюсь, что наше новейшее вооружение впечатлит этих твоих зорсан. *Мартан вздыхает* Эх. Если бы твои переговоры сложились удачно, то…. А, черт. Мне даже трудно представить, что это могло бы нам дать.;;
;Мне действительно жаль. И ничего уже не изменишь…. Тем не менее, не время унывать. Есть новые приказы?;88;
88;Если сможешь - сунь нос в планы захватчиков. Но не рискуй собой, и уж тем более не рискуй Авророй-2. Нам только ее еще потерять не хватало. Плюс, не забывай про разведку и исследования. Это все. Можешь идти.;;
;Еще раз извини, Мартан. Знаю, что это не поможет но все же.;-1;
