0;Эй, а какими были эти годы для тебя? Уже давно, очень давно хочу тебя об этом спросить.;
;Кхм… я отвлёкся… Было очень сложно. Прямо таки очень… Мартан, зачем меня сюда вызвали?;1
1;*Мартан щурится.* Было сложно? И почему же?;
;"Не так уж и легко быть героем. В основном из-за административной работы. Лучше бы меня оставили летать на ""Авроре"". Знаешь, повышение мне на пользу явно не пошло. Год из этих пяти можно считать за два. А то и за три.";2
;Давай всё-таки ближе к делу.;6
2;О-о-о? *Всем своим видом Мартан показывает, что он готов слушать дальше.*;
;"Открытие филиалов ""Авроры"" и я везде как чёртово лицо проекта. Встречи-конференции-мероприятия… Скажу честно: в Битве за Землю было легче. Гораздо легче.";3
;Давай всё-таки ближе к делу.;6
3;Так чего не связывался? Я уж начал думать, что ты зазнался.;
;Было бы время. ;4
4;*Мартан тянется куда-то под стол и достаёт оттуда бутылку… ох, надо же, это ром. Налив немного в два небольших стакана, Мартан спокойно передаёт тебе один, оставив другой себе.* Знаю, что ты давно бросил. Но, тем не менее… давно не виделись, дружище.;
;Давно не виделись. *выпить*;5
5;*Кашлянув, Мартан ставит бутылку назад и откидывается на спинку кресла. Выдыхает.* А у нас всё по-старому. Только разве что людей больше стало: головной офис проекта, как-никак… И зарплату прибавили. Жена довольна. Дети тоже. Инопланетяне ещё шныряют туда и сюда, подумать только... Помнишь нашего полковника, который у нас военную историю преподавал? Так три года назад он сюда перевёлся, старый козёл. А через полтора года умер. Вот так. *Мартан покачивает головой и молчит.*;
;Как семья?;8
;Да, новостей, я гляжу, немного. Ладно. Давай всё-таки ближе к делу.;6
8;"Нтанда в порядке. Как обычно. Сын… *Мартан сжимает кулаки.* Вступил к этим… антиспейситам. ""Не надо туда соваться, земляне должны жить на Земле!"". Впрочем, пятнадцать лет парню. Перебесится.";
;Ладно. Давай всё-таки ближе к делу.;6
6;Всё так сложно… Война эта, колония, да ещё и Опустошитель… Даже не знаю с чего и начать.;
;Что там с зорсанами?;7
;Колония? Что не так с колонией?;13
;Даже не напоминай про этот Опустошитель.;16
7;Зорсаны раз за разом шлют сюда мизер, который мы раз за разом разносим в щепки. Боятся посылать основные силы. Мы, меж тем, атаковать хотели бы, да не можем. Оборона Земли превыше всего.;
;Дальше?;9
9;Помощи от инопланетян тоже дождаться было трудно… до этого момента. *Мартан покачивает головой.* С месяц назад они объявили, что война затянулась и грозит перерасти во что-то, что им не нравится. Короче, они объявили, что хотят создать некую организацию, для регулировки политических отношений между народами обитаемой части Вселенной.;
;Пахнет конвенцией. Они хотят… регулировать нашу с зорсанами войну? Зачем?;10
10;*Мартан разводит руками.* Трудно сказать. Так или иначе, они потребовали, чтобы от Земли в штаб-квартиру организации один полномочный представитель… которого и доставишь ты. Кого другого послать нельзя, сам понимаешь: ты у нас личность достаточного масштаба.;
;Столько вопросов…;11
11;И ответить на них я не могу. Ты поговоришь с полномочным представителем, он тебе всё объяснит гораздо лучше меня.;
;Хорошо. Что дальше?;12
12;Много чего. Война, колония, Опустошитель. Могу объяснить тебе что-то заново, если ты не понял.;
;Что там с зорсанами?;7
;Колония? Что не так с колонией?;13
;Даже не напоминай про этот Опустошитель.;16
;Думаю, этого хватит. Так что… когда я вылетаю? И на чём?;19
13;Здесь всё просто. Нужно доставить припасы и кучу всякой документации… *Мартан вздыхает.* Ненавижу всю эту корпоративную шелуху, сил моих нет. Короче, нужно, чтобы глава колонии подписал кучу всяких бумаг.;
;А если он откажется?;14
14;"Можешь приставить ему пистолет к виску. *Мартан улыбается.* И я сейчас серьёзно. *Перестаёт улыбаться.* За этим делом стоят огромные деньги, приятель. И уйма необходимых ""Авроре"" ресурсов.";
;С каких пор героя можно заставить быть рэкетиром?;15
15;Ха-ха. Чудо как смешно. *Мартан достаёт из ящика стола стопку документов.* Вот как-то так. И ещё… семья главы колонии. Они полетят с тобой в качестве пассажиров. Их нужно просто доставить.;
;Хорошо. Что дальше?;12
16;Мда. Опустошитель… какое чертовски верное название… Я думаю, глупо что-то рассказывать. Ты о нём знаешь лучше меня.;
;Достаточно знать лишь то, что эта штука старит наше Солнце.;17
17;В этом и суть. Десять лет. Это всё, что у нас осталось. Если мы ничего не успеем, то нам придётся эвакуировать всех, кого только можно, в колонию. А мы этого делать не хотим.;
;От меня-то что требуется?;18
18;Ты думаешь, что всё так просто? Ясно лишь одно: ты - единственный из наших капитанов, которого знают и уважают все инопланетные народы. Кроме, может быть, зорсан. Если кому и пытаться искать среди них хоть какое-то решение… понятное дело, что тебе. Само собой: у тебя полный карт-бланш на любые действия. Можешь даже развязать вторую войну, если будет нужно. И это не шутка.;
;Хорошо. Что дальше?;12
19;"На самом деле мы хотели дать тебе боевой корабль… что-то типа ""Вояджера"". *Мартан хитро улыбается и покачивает пальцем.* Однако… у тебя ведь снова исследовательская миссия, так?";
;"""Аврора-2""?!";21
21;И ровно с тем же экипажем! *Картинно раскинув руки в стороны, твой начальник выглядит крайне довольным собой.* Хотя, признаюсь, было трудно вернуть на пост Гордона. Когда его вытащили из лаборатории, первое время он совсем не понимал чего от него хотят. Заработался человек, бывает же, да? Тем не менее, теперь он в порядке. И тоже готов служить под твоим командованием.;
;Гордон…;22
;Сара…;24
;Генри…;25
;"Будет приятно вернуться к моей старой-доброй ""Авроре-2""… Когда я вылетаю? И чем приказано заняться первым делом?";27
22;Да, как я уже сказал, он стал немного более… странным. *Мартан тычет пальцем в досье, которое лежит у него на столе.* Однако, на его профессиональных качествах это не сказалось. А если и сказалось, то в лучшую сторону.;
;Сара…;24
;Генри…;25
;"Будет приятно вернуться к моей старой-доброй ""Авроре-2""… Когда я вылетаю? И чем приказано заняться первым делом?";27
24;"*Мартан кашляет в кулак.* Сара Фронтц так и продолжала работать начальником инженерной части на ""Авроре-2"". Думаю, теперь она знает о корабле ещё больше тебя.";
;Гордон…;22
;Генри…;25
