0;*Наконец-то всё кончилось. А вот и Сара. Она снова выглядит смущённой.*;
;И как это произошло?;1
1;Ну… это… Эм… Понимаете…;
;Сара.;2
2;Газировка. Один из младших техников решил пообедать на рабочем месте и пролил газировку на распределительный щиток.;
;Отправь его на гауптвахту! Или ещё что-нибудь сделай! Мы из-за него чуть не погибли!;3
3;Уже, кэп, уже. *Сара улыбается.* Правда, его сперва пришлось реанимировать. Знаете, из него дымок шёл. И уши обуглились… *Сара хмыкает.* Странно… уши обуглились… почему… ;
;Он хоть жив?;4
4;Могла бы я отправить на гауптвахту мертвеца? Нет, с ним всё более-менее в порядке. Уши уже намазали всем, чем нужно, и замотали бинтами. Это не будет ему отбывать наказание.;
;Вот и отлично. Конец связи, Фронтц. Хорошо, что всё так закончилось.;-1
