0;*Только что корабль особо чувствительно тряхнуло. Стоит вызвать Сару. Вот и она. Вид у нее… смущенный.*;;;
;Что это такое было?;1;;
1;Кэп… Да ничего такого. Мелочи. Вы же знаете, что у нас есть система автоматического отклонения от разных космических объектов? Всякий космический мусор, метеориты…;;;
;Знаю. К чему ты это?;2;;
2;Теперь ее у нас нет. *Сара поправляется, очевидно, увидев выражение твоего лица* Временно, кэп! Честно! Просто… мы попали в очень плотный астероидный поток, с системой что-то случилось... *Сара корчит рожицу и щелкает языком* Кое-что там сгорело, не знаю почему. Надо менять. Нужно, чтобы кто-то провел корабль через метеоритный поток.;;;
;Погоди, ты хочешь, чтобы я взял ручное управление?;3;;
3;Точно так, ага. *Сара кивает* Главная и дублирующая система вместе вышли из строя. Я могу активировать третью запасную систему, но она слишком маломощная для этого потока. Никто не предвидел, что откажут сразу обе основных, а чертовых камней будет так много! Там двадцать пять процентов погрешности, кэп!  Каждый четвертый метеорит будет попадать в нас... ой-ой-ой! А у вас прямой доступ к командованию с капитанской клавиатуры управления. Возьметесь?;;;
;Конечно. Принимаю управление на себя.;4;;0
;Не думаю, что человеческой реакции хватит, чтобы провести корабль лучше компьютера. Включай запасную систему.;-1;;
4;*Используйте кнопки управления для перемещения корабля и пробел для стрельбы.*;;;
;<Начать>;-1;;1
